Senior Office Title,Value,Claim Date,Expenses Category,Details of Claim
Head of Technical and Service Support,3.74,10-Nov-2014,Travel,H-HQ-GLA-H
Head of Technical and Service Support,4.42,11-Nov-2014,Travel,H-HQ-Conference SW1-HQ-Lambeth FS-H
Commissioner,139.00,11-Nov-2014,Training and Conferences,"1 day (30% earlybird discount) for delegate attendance to the Blue Light Innovation Summit on 11 November 2014. Commissioner sent apologies on 10/11/14 and was unable to find another staff member to attend in his place, this conference was also attended by other staff members of LFB."
Head of Technical and Service Support,24.00,11-Nov-2014,Car Park,Q-Park Abingdon.  Parking for QEII Conference Centre - Blue Light Innovation Conference.  Car needed for AC duties
Head of Operational Policy,5.98,11-Nov-2014,Travel,St/By Base - Office - Lambeth - Office - St/by base (Blue Light collaboration conference @ QE2 conference centres)
Head of Operational Policy,8.45,12-Nov-2014,Travel,St/By Base - Office - Milwall - Office - St/by base (Meeting)
Head of Operational Policy,20.67,13-Nov-2014,Travel,St/By Base - Office - Worcester via M40 (Meeting with DCFO Lawrence)
Head of Operational Policy,3.90,13-Nov-2014,Subsistence,"Attend meeting at Hereford & Worcester FRS HQ with DCFO Lawrence, National flood lead"
Head of Operational Policy,16.48,13-Nov-2014,Subsistence,Attend meeting with DCFO Lawrence at H & W FRS HQ
Head of Operational Policy,4.15,14-Nov-2014,Subsistence,Attend meeting with DCFO Lawrence at H & W FRS HQ
Head of Operational Policy,20.28,14-Nov-2014,Travel,Worcester Premier Inn - H &amp; W FRS HQ - St/by base via M40 (Meetring with DCFO Lawrence)
Head of Technical and Service Support,6.80,14-Nov-2014,Travel,"H-HQ-H, H-HQ-H"
Head of Operational Policy,16.64,17-Nov-2014,Travel,St/By - base - Gatwick Airport (return - to present to S &amp; R conference in Rome)
Head of Operational Policy,6.60,17-Nov-2014,Subsistence,Attend international Search & Rescue conference in Rome (Breakfast at Gatwick airport)
Head of Operational Policy,15.46,17-Nov-2014,Subsistence,"Attend international Search & Rescue conference in Rome 
(Evening meal = 19.33 euros; conversion rate 1 euro = 80p)"
Head of Operational Policy,39.00,17-Nov-2014,Travel Expense,"Attend international Search & Rescue conference in Rome 
(Taxi fare from airport to hotel = 50 euros; conversion rate 1 euro = 80p)"
Head of Operational Policy,335.64,17-Nov-2014,Travel,"Travelling to: airport Leonardo Da Vinci-Fiumicino, Rome, Italy
Reason for travel: LFB have been invited to make a presentation on 'Exercise Teal' and multi-agency exercise planning at The Search, Rescue & Recovery 2014 Conference in Rome"
Head of Operational Policy,16.48,18-Nov-2014,Subsistence,"Attend international Search & Rescue conference in Rome 
(Evening meal in hotel = 24 euros; conversion rate 1 euro = 80p)"
Head of Operational Policy,16.48,19-Nov-2014,Subsistence,"Attend international Search & Rescue conference in Rome 
(Evening meal = 48 euros; conversion rate 1 euro = 80p)"
Head of Technical and Service Support,7.00,19-Nov-2014,Travel Expense,Taxi from Birmingham motobike Museum (Draeger conference) to Hampton-in-Arden train station.
Head of Technical and Service Support,11.40,19-Nov-2014,Travel Expense,One-day travel card.  Draeger conference in Birmingham.
Head of Operational Policy,16.64,20-Nov-2014,Travel,St/By - base - Gatwick Airport (return - to present to S &amp; R conference in Rome)
Head of Operational Policy,8.65,20-Nov-2014,Subsistence,"Attend international Search & Rescue conference in Rome 
Lunch taken on journey home"
Head of Operational Policy,14.40,20-Nov-2014,Accommodation,"Attend international Search & Rescue conference in Rome 
(Local room tax not paid as part of booking and in advance by Redfern. 6 euros per night; 3 nights = 18 euros; conversion rate 1 euro = 80p)"
Head of Operational Policy,38.40,20-Nov-2014,Travel Expense,"Attend international Search & Rescue conference in Rome 
(Taxi fare from hotel to airport = 48 euros; conversion rate 1 euro = 80p)"
Third Officer,3.12,20-Nov-2014,Travel,BASE - BHQ - ST JAMES' COURT - BASE (Joint Secretaries Concilliations)
Head of Technical and Service Support,4.25,21-Nov-2014,Travel,H-HQ-Lambeth FS-HQ-H
Head of Operational Policy,5.46,21-Nov-2014,Travel,St/By - base - Office (return)
Head of Operational Assurance,4.42,24-Nov-2014,Travel,Base - HQ - Base
Head of Operational Assurance,2.21,25-Nov-2014,Travel,Base - HQ 
Head of Operational Assurance,0.78,25-Nov-2014,Travel,HQ- West Norwood (opening ceremony)
Head of Operational Assurance,1.56,25-Nov-2014,Travel,West Norwood - Base
Head of Technical and Service Support,5.78,25-Nov-2014,Travel,H-HQ-West Wickham BR4 - West Norwood FS - H
Head of Operational Assurance,4.42,26-Nov-2014,Travel,Base - HQ - Base
Head of Operational Assurance,4.42,27-Nov-2014,Travel,Base - HQ - Base
Head of Operational Policy,54.60,27-Nov-2014,Travel,Home to office - November 2014
Head of Operational Resilience,112.06,28-Nov-2014,Travel,Home to office - November 2014
Director of Operational Resilience and Training,281.25,28-Nov-2014,Travel,Home to office - November 2014
Third Officer,32.76,28-Nov-2014,Travel,Home to office - November 2014
Head of Operational Assurance,4.42,28-Nov-2014,Travel,Base - HQ - Base
Commissioner,239.38,28-Nov-2014,Travel,This special allowance is in recognition of the on-call requirements placed upon the Commissioner and is in place of monthly mileage claims.
Head of Technical and Service Support,57.80,30-Nov-2014,Travel,Home to office - November 2014
Third Officer,3.12,01-Dec-2014,Travel,BASE - BHQ- ST JAMES' COURT - BASE (JOINT SECRETARIES CONCILLIATIONS)
Head of Operational Policy,32.63,02-Dec-2014,Travel,"St/by base - Office - Park Hotel, Merseyside via M40/M6 (to attend USAR NWG)"
Head of Strategy and Inclusion,12.00,02-Dec-2014,Travel Expense,Visit to Scottish Fire Service Board meeting in Perth to discuss funding for phase two of the National Operational Guidance programme
Head of Strategy and Inclusion,5.10,02-Dec-2014,Travel Expense,Visit to Scottish Fire Service Board meeting in Perth to discuss funding for phase two of the National Operational Guidance programme
Head of Operational Policy,8.30,02-Dec-2014,Subsistence,USAR national working group @ Merseyside FRS HQ
Head of Operational Policy,5.50,02-Dec-2014,Travel Expense,Attending USAR national working group at Merseyside FRS HQ
Head of Operational Policy,15.00,02-Dec-2014,Subsistence,Attend USAR national working group @ Merseyside FRS HQ
Head of Operational Policy,57.44,02-Dec-2014,Accommodation,"EVENT: USAR NATIONAL WORKING GROUP

DESTINATION: PARK HOTEL, NETHERTON
"
Head of Operational Policy,5.50,03-Dec-2014,Travel Expense,Attending USAR national working group at Merseyside FRS HQ
Head of Operational Policy,6.75,03-Dec-2014,Subsistence,Attend USAR national working group at Merseyside FRS HQ
Head of Operational Policy,28.73,03-Dec-2014,Travel,Park Hotel - Merseyside FRS HQ - St/by base via M6 Toll and M40 (to attend USAR NWG)
Head of Strategy and Inclusion,7.50,04-Dec-2014,Travel Expense,Taxi from Tamworth station to CFOA HQ for attendance at National Operations Committee
Head of Strategy and Inclusion,7.20,04-Dec-2014,Travel Expense,Taxi from CFOA HQ to Tamworth station after attendance at CFOA National Operations Committee
Head of Strategy and Inclusion,46.30,04-Dec-2014,Travel Expense,Attendance at CFOA National Operations Committee.
Head of Operational Resilience,7.00,04-Dec-2014,Travel Expense,taxi from station to CFOA HQ Tamworth attending NOC meeting. 
Head of Operational Policy,10.40,05-Dec-2014,Travel,St/by base - Kingston (return via M25 to attend colleague funeral)
Third Officer,2.60,09-Dec-2014,Travel,BASE - MERTON (STRIKE)
Third Officer,3.51,11-Dec-2014,Travel,BASE - BHQ - ST ERMINS HOTEL - BHQ - ST ERMINS HOTEL - BHQ - WESTMINSTER CATHEDRAL - BASE (JOINT SCRETARIES CONCILLIATIONS AND BRIGADE CAROL SERVICE) 
Head of Operational Policy,30.81,11-Dec-2014,Travel,St/by base - FSC - Westminster Cathederal - St/by base (To deliver presentations to USAR NUG and steward/attend carol service)
Head of Operational Policy,6.35,11-Dec-2014,Subsistence,Deliver Ex Teal and missing persons search presentations to USAR national user group at Fire Service College
Head of Operational Policy,5.89,11-Dec-2014,Subsistence,Deliver Ex Teal and missing persons search presentations to USAR national user group at Fire Service College
Commissioner,42.72,11-Dec-2014,Travel,Return train ticket from London St Pancras to Nottingham to attend the FRS Council and CFOA Board meetings on 11th December 2014.
Head of Technical and Service Support,2.56,17-Dec-2014,Travel,H-New Mitcham PFI FS - H
Head of Operational Policy,9.23,18-Dec-2014,Travel,"St/by base - DP World, Coryton - St/by base via M25 (liaison meeting and site visit with ACFO Bill Essex FRS)"
Head of Operational Policy,6.48,18-Dec-2014,Subsistence,Liaison meeting and famiuliarisation visit with Essex FRS at London Gateway port
Head of Technical and Service Support,44.80,19-Dec-2014,Travel,Home to office - December 2014
Head of Operational Policy,54.60,22-Dec-2014,Travel,Home to office - December 2014
Head of Operational Assurance,53.04,24-Dec-2014,Travel,Home to office - December 2014
Director of Operational Resilience and Training,168.30,24-Dec-2014,Travel,Home to office - December 2014
Third Officer,34.19,24-Dec-2014,Travel,Home to office - December 2014
Commissioner,239.38,24-Dec-2014,Travel,This special allowance is in recognition of the on-call requirements placed upon the Commissioner and is in place of monthly mileage claims.
Head of Operational Resilience,70.59,29-Dec-2014,Travel,Home to office - December 2014
Head of Operational Assurance,0.65,06-Jan-2015,Travel,HQ - MPS - HQ
Head of Operational Resilience,13.70,08-Jan-2015,Travel Expense,"attending CFOA HQ Strategic Leads Meeting 
paid additional fares -  unable to catch booked train due to meeting with commissioner over running paid excess for next train. "
Head of Operational Resilience,4.99,08-Jan-2015,Subsistence,Attending CFOA HQ Tamworth Strategic Leads meeting
Head of Operational Resilience,14.50,08-Jan-2015,Subsistence,Attending CFOA HQ TAmworth Strategic Leads Meeting 
Head of Operational Resilience,40.77,08-Jan-2015,Travel,"EVENT: Meeting At CFOA HQ
Destination: Tamworth With Super Off Peak Return"
Head of Operational Resilience,68.70,08-Jan-2015,Accommodation,"Arriving 8/1/15 For 1 Night At Holiday Inn Express Tamworth
Event: Meeting At CFOA HQ, Tamworth"
Head of Operational Policy,8.32,09-Jan-2015,Travel,St/by base - Park Royal T/C (return via M25 - visit with the Commissioner)
Head of Strategy and Inclusion,99.00,09-Jan-2015,Travel Expense,Attendance at CFOA NOC Strategic Leads meeting
Head of Strategy and Inclusion,7.20,09-Jan-2015,Travel Expense,Attendance at CFOA NOC Strategic Leads meeting
Head of Operational Policy,5.35,09-Jan-2015,Subsistence,Familiarisation visit to Park Royal training facility
Head of Operational Policy,5.90,13-Jan-2015,Subsistence,Heathrow Airport (flight to Helsinki for high rise presentation to Kone conference)
Head of Operational Policy,13.24,13-Jan-2015,Subsistence,"Helsinki for high rise presentation to Kone conference
(cost is based on 1 Euro = 74p, Evening meal cost 17.90 euros)"
Head of Operational Policy,12.74,13-Jan-2015,Travel,St/by base - Heathrow T3 (return via M25 - drop off at airport for overseas high rise presentation)
Head of Operational Policy,12.74,15-Jan-2015,Travel,St/by base - Heathrow T3 (return via M25 - collect from airport for overseas high rise presentation)
Deputy Commissioner,22.00,15-Jan-2015,Travel Expense,"Deputy Commissioner attended the London Government Dinner at Mansion House, London EC4 to promote partnership working."
Head of Operational Assurance,7.28,19-Jan-2015,Travel,Base - Eastbourne FRS (WFS NEC)
Head of Operational Assurance,7.28,20-Jan-2015,Travel,Eastbourne FRS - Base
Commissioner,72.90,21-Jan-2015,Travel,Standard Advance Single train tickets to and from London Euston and Manchester Piccadilly to the CFOA Board meetings (21-22 January). The Commissioner did not use these tickets due to arising commitments at HQ which required his attendance. 
Head of Operational Policy,28.34,23-Jan-2015,Travel,St-by base - Hampshire FRS HQ Eastleigh (return - meeting to discuss IEC and co-responding)
Head of Operational Policy,6.60,23-Jan-2015,Subsistence,Visit to Hampshire FRS HQ Eastleigh to discuss HFRS IEC and co-responding arrangements
Third Officer,3.12,26-Jan-2015,Travel,BASE - BHQ - ST JAMES' COURT - BASE (JOINT SECRETARIES CONCILLIATIONS)
Head of Strategy and Inclusion,13.60,27-Jan-2015,Travel Expense,Travel to and from Harold Hill to attend staff engagement event 
Head of Technical and Service Support,2.88,28-Jan-2015,Travel,Base-Mitcham PFI FS-Base
Commissioner,239.38,30-Jan-2015,Travel,This special allowance is in recognition of the on-call requirements placed upon the Commissioner and is in place of monthly mileage claims.
Head of Operational Assurance,75.14,30-Jan-2015,Travel,Home to office - January 2015
Head of Operational Policy,70.98,30-Jan-2015,Travel,Home to office - January 2015
Head of Operational Resilience,90.09,30-Jan-2015,Travel,Home to office - January 2015
Third Officer,62.92,30-Jan-2015,Travel,Home to office - January 2015
Head of Technical and Service Support,67.20,31-Jan-2015,Travel,Home to office - January 2015
Head of Operational Assurance,4.42,02-Feb-2015,Travel,Base - HQ - Base
Head of Operational Assurance,4.42,03-Feb-2015,Travel,Base - HQ - Base
Head of Operational Policy,6.76,03-Feb-2015,Travel,St/by base - Office - Millwall - Office - St/by base (Meeting regarding discipline case)
Head of Operational Policy,5.20,04-Feb-2015,Travel,St/by base - St Pancras station (return - drop off for EUR meeting)
Head of Operational Assurance,4.42,04-Feb-2015,Travel,Base - HQ - Base
Head of Operational Policy,539.60,04-Feb-2015,Travel,"Travelling To: Brussels Midi
Reason For Travel:  To Attend The Initial EU Exercise Unified Response Kick Off Meeting At The Commission Headquarters in Brussels"
Head of Operational Assurance,4.42,05-Feb-2015,Travel,Base - HQ - Base
Head of Strategy and Inclusion,47.40,05-Feb-2015,Travel Expense,Attendance at CFOA National Operations Committee in Tamworth
Head of Strategy and Inclusion,7.00,05-Feb-2015,Travel Expense,Attendance at CFOA National Operations Committee in Tamworth
Head of Operational Policy,5.20,05-Feb-2015,Travel,St/by base - St Pancras station (return - drop off for EUR meeting)
Head of Operational Policy,1.95,06-Feb-2015,Travel,St/By base - VW dealer Debden (lease car MOT)
Head of Technical and Service Support,6.56,06-Feb-2015,Travel,Sandby base-G29-Park Royal TC-BHQ-City Hall-Standby base
Third Officer,5.59,06-Feb-2015,Travel,BASE - BHQ - PARK ROYAL FACILITY - BHQ - CITY HALL - BASE (OPENING OF EMERGENCY TRAINING CENTRE AND AWARD CEREMONY)
Head of Operational Assurance,4.42,06-Feb-2015,Travel,Base - Gatwick Airport (flight to Scotland(liaise with Scottish FRS))
Head of Operational Assurance,4.42,07-Feb-2015,Travel,Gatwick Airport - Base
Head of Operational Assurance,4.42,09-Feb-2015,Travel,Base - HQ - Base
Head of Operational Assurance,4.42,10-Feb-2015,Travel,Base - HQ - Base
Head of Operational Assurance,10.40,11-Feb-2015,Travel,"Base - ELP (BMW Academy,Wokefield Park (Training Input))"
Head of Strategy and Inclusion,22.70,11-Feb-2015,Travel Expense,Attendance at Wokefield Park for ELP training event
Head of Strategy and Inclusion,22.00,11-Feb-2015,Travel Expense,Attendance at Wokefield Park for ELP training event
Head of Strategy and Inclusion,20.00,12-Feb-2015,Travel Expense,Attendance at Wokefield Park for ELP training event
Head of Operational Assurance,10.40,12-Feb-2015,Travel,"ELP (BMW Academy,Wokefield Park (Training Input)) - Base"
Third Officer,3.12,13-Feb-2015,Travel,BASE - BHQ - ST JAMES' COURT - BASE (JOINT SECRETARIES CONCILLIATIONS)
Head of Operational Assurance,4.42,16-Feb-2015,Travel,Base - HQ - Base
Head of Operational Assurance,4.42,17-Feb-2015,Travel,Base - HQ - Base
Head of Operational Assurance,4.42,18-Feb-2015,Travel,Base - HQ - Base
Head of Operational Assurance,4.42,19-Feb-2015,Travel,Base - HQ - Base
Head of Operational Assurance,4.42,23-Feb-2015,Travel,Base - HQ - Base
Head of Operational Assurance,4.42,24-Feb-2015,Travel,Base - HQ - Base
Third Officer,3.38,24-Feb-2015,Travel,BASE - BHQ - CAMDEN TOWN HALL - BHQ - MERTON (STRATEGY COMMITTEE MEETING AND STRIKE)
Head of Operational Resilience,2.86,25-Feb-2015,Travel,BASE - Beckton IMC Training - BASE 
Head of Operational Assurance,4.42,25-Feb-2015,Travel,Base - HQ - Base
Head of Operational Assurance,2.34,25-Feb-2015,Travel,Base - Merton (Strike Response)
Head of Operational Assurance,2.34,26-Feb-2015,Travel,Merton - Base
Head of Operational Policy,43.68,26-Feb-2015,Travel,Home to office - February 2015
Third Officer,38.74,26-Feb-2015,Travel,Home to office - February 2015
Head of Technical and Service Support,77.44,27-Feb-2015,Travel,Home to office - February 2015
Head of Operational Resilience,60.32,27-Feb-2015,Travel,Home to office - February 2015
Head of Operational Assurance,4.42,27-Feb-2015,Travel,Base - HQ - Base
Commissioner,239.38,27-Feb-2015,Travel,This special allowance is in recognition of the on-call requirements placed upon the Commissioner and is in place of monthly mileage claims.
Third Officer,3.51,27-Feb-2015,Travel,BASE - BHQ - NINE ELMS - BHQ - CITY HALL - BASE (CAR MAINTENANCE AND AWARD CEREMONY)
Head of Operational Policy,6.50,27-Feb-2015,Travel,St/by base - Office - Arup offices W1 - Office - St/by base (high presentation to consulting engineers)
Head of Operational Assurance,0.33,03-Mar-2015,Travel,HQ - City Hall (meeting with Member) - HQ
Head of Operational Policy,6.38,03-Mar-2015,Travel,St/by base - Office - Thames Barrier - Office - St/by base (Meeting with national flood lead)
Head of Operational Policy,5.17,04-Mar-2015,Travel,St/by base - Woolwich Barracks (return - present at LFB Flood Conference)
Third Officer,1.98,04-Mar-2015,Travel,BASE - GRAND DEPOT ROAD SE18 - STRATFORD F S - BASE (LONDON FLOOD RESILIENCE MEETING AND GM MEETING)                           
Head of Operational Assurance,1.76,04-Mar-2015,Travel,HQ - East Ham (speech) - HQ
Third Officer,1.98,04-Mar-2015,Travel,BASE - GRAND DEPOT ROAD SE18 - STRATFORD F S - BASE (LONDON FLOOD RESILIENCE MEETING AND GM MEETING)                           
Head of Operational Policy,3.29,05-Mar-2015,Subsistence,Meeting with SEGRO in Slough to discuss Exercise Unified Response
Head of Operational Policy,8.80,05-Mar-2015,Subsistence,Meeting with SEGRO in Slough to discuss Exercise Unified Response
Head of Operational Policy,15.07,05-Mar-2015,Travel,"St/by base - SEGRO, Slough (return via M25 - EUR meeting)"
Head of Operational Resilience,7.30,06-Mar-2015,Travel Expense,Taxi from rail station to CFOA HQ Tamworth attending a National Meeting.
Commissioner,128.55,09-Mar-2015,Travel,"Standard off-peak train travel return between London's King's Cross and Newcastle on 9th and 11th March to attend the LGA Annual Fire Conference in Gateshead, Newcastle. "
Head of Technical and Service Support,4.80,09-Mar-2015,Travel Expense,Underground travel to Kings Cross for LGA Fire Conference
Head of Technical and Service Support,10.60,09-Mar-2015,Travel Expense,Taxi fare from Train Station to Hotel for LGA Fire Conference.
Head of Technical and Service Support,16.48,09-Mar-2015,Subsistence,Evening Meal - Jury's Inn Hotel for LGA Fire Conference
Third Officer,2.53,10-Mar-2015,Travel,BASE - BHQ - HOUSES OF PARLIAMENT - BASE (FIRE SERVICE PARLIAMENTARY SCHEME)        
Third Officer,2.53,10-Mar-2015,Travel,BASE - BHQ - HOUSES OF PARLIAMENT - BASE (FIRE SERVICE PARLIAMENTARY SCHEME)        
Head of Procurement,54.32,11-Mar-2015,Travel,Return train journey: London Waterloo to Mortimer. For Babcock Away Day
Head of Technical and Service Support,3.30,11-Mar-2015,Subsistence,Out of pocket expense - return journey from LGA Fire Conference
Head of Technical and Service Support,2.30,11-Mar-2015,Travel Expense,Return tube fare from Kings Cross re. LGA Fire Conference
Third Officer,79.66,12-Mar-2015,Travel,Home to office - March 2015
Head of Operational Resilience,6.38,14-Mar-2015,Travel,BASE - HEATHROW  CONFERENCE USA
Third Officer,2.86,17-Mar-2015,Travel,BASE - BHQ - ST THOMAS STREET - BHQ - ST JAMES' COURT - BASE (VISIT THE SHARD WITH THE FIRE MINISTER AND JOINT SECRETARIES CONCILLIATIONS)
Third Officer,2.64,18-Mar-2015,Travel,BASE - BHQ - STRATFORD FS - BASE (REGULAR GM's MEETING)
Head of Operational Assurance,2.86,18-Mar-2015,Travel,Base - Croydon (Cadets Meeting) - Base
Third Officer,2.53,19-Mar-2015,Travel,BASE - BHQ - TUFTON STREET - BASE (EMERGENCY MEDICAL RESPONSE MEETING)
Head of Operational Policy,25.52,19-Mar-2015,Travel,St/by base - Portsmouth (return - to deliver presentation to IB students) )
Head of Operational Assurance,39.82,20-Mar-2015,Travel,Base - Staffordshire FRS (Meeting with CFO) - Base
Commissioner,73.87,20-Mar-2015,Travel,Two single return train tickets from London Euston and Liverpool Lime Street to attend the National Resilience Board on 20 March. The Commissioner was unable to attend the board meeting due to senior officer availability in London. A cancellation was not processed as the Authority would have incurred additional charges and train travel tickets cannot be refunded.
Head of Operational Resilience,6.38,21-Mar-2015,Travel,HEATHROW - BASE RETURN FROM CONFERENCE USA
Commissioner,94.05,23-Mar-2015,Accommodation,"One night accommodation at De Vere Venues, Wokefield Park, Reading – room only. The Commissioner opened and closed the LFB/Babcock ELP Presentation Day on 24th March 2015. "
Director of Finance and Contractual Services,47.88,24-Mar-2015,Travel,Travel from London Paddington to Reading (return) to attend the LFB ELP Leadership Programme.
Head of Operational Resilience,7.00,24-Mar-2015,Travel Expense,Taxi from Station to CFOA Spring Conference Crewe
Head of Operational Policy,16.28,24-Mar-2015,Travel,St/by base - Wokefield Park (return via M25- ELP course presentations)
Third Officer,12.65,24-Mar-2015,Travel,BASE - WOKEFIELD PARK READING - BASE (LEADERSHIP PROGRAMME PRESENTATION DAY)
Head of Strategy and Inclusion,22.00,24-Mar-2015,Travel Expense,Taxi from Reading Station to Wokefield Park for Executive Leadership Programme presentation day
Head of Strategy and Inclusion,8.00,24-Mar-2015,Travel Expense,Taxi from Crewe Station to Crewe Hall for CFOA Spring Conference
Head of Strategy and Inclusion,7.20,25-Mar-2015,Travel Expense,Taxi from Crewe Hall CFOA Spring Conference to Crewe Railway Station
Head of Operational Resilience,10.00,25-Mar-2015,Travel Expense,"Charged £10.00 excess fair for travelling on a later train. 
Returning from CFOA Spring Cobnference @ Crewe."
Head of Operational Resilience,6.60,25-Mar-2015,Travel Expense,Taxi from CFOA conference to Crewe railway station 
Head of Operational Policy,20.57,27-Mar-2015,Travel,St/by base - Sandwich Kent (return via M25 - to discuss LFB contribution to tall building conference)
Head of Operational Resilience,10.12,30-Mar-2015,Travel,BASE - VISIT TO RAFT - BASE
Commissioner,239.38,31-Mar-2015,Travel,This special allowance is in recognition of the on-call requirements placed upon the Commissioner and is in place of monthly mileage claims.
Head of Operational Assurance,44.88,31-Mar-2015,Travel,Home to office - March 2015
Head of Operational Policy,69.30,31-Mar-2015,Travel,Home to office - March 2015
Head of Operational Resilience,59.73,31-Mar-2015,Travel,Home to office - March 2015
Third Officer,23.10,31-Mar-2015,Travel,Home to office - March 2015
Head of Technical and Service Support,56.28,31-Mar-2015,Travel,Home to office - March 2015
