Senior Office Title,Value,Claim Date,Expenses Category,Details of Claim
Head of Strategy and Inclusion,38.00,06-Dec-2016,Travel Expense,"Travel to National Operations Committee, CFOA, Tamworth"
Head of Strategy and Inclusion,7.10,06-Dec-2016,Travel Expense,Travel from Tamworth station to CFOA offices for National Operations Committee meeting
Head of Technical and Service Support,149.00,06-Dec-2016,Training and Conferences,Attendance at Assets & Estates Management 2016 conference
Commissioner,149.00,07-Dec-2016,Travel,Return travel from London Euston to Liverpool Lime Street to attend the National Resilience Capability  Meeting with Dany Cotton and Dan Cartwright 
Head of Health and Safety,66.10,07-Dec-2016,Travel Expense,"Travel by car to Fire Service College (Moreton) to observe PPE trials.
Cost claimed is the cost of the cheapest return train fare in accordance with policy.
"
Director of Operations,2.75,07-Dec-2016,Travel,BASE - BHQ - STRATFORD FS - BASE (REGULAR GMs MEETING)
Head of Fire Stations,6.50,09-Dec-2016,Travel,Standby base-Harrow FS-Standby base
Head of Operational Response,3.30,10-Dec-2016,Travel,Henley Business School - H
Head of Operational Response,3.08,10-Dec-2016,Travel,14 x journies between hotel and business school over the week
Head of Operational Response,2.53,12-Dec-2016,Travel,HQ - LOC - H
Head of Health and Safety,75.00,12-Dec-2016,Travel Expense,"Travel to Merseysdie FRS HQ for Natioanl Operational learning meeting.
Cost claimed is most expeditious return train fare in accordance with policy."
Head of Operational Response,1.76,13-Dec-2016,Travel,HQ - A28 - H
Director of Operations,2.31,13-Dec-2016,Travel,BASE - BHQ - THE GABLE MOORGATE - BASE (XMAS RECEPTION)
Head of Fire Safety,3.87,14-Dec-2016,Travel,BHQ - Croydon Crematorium - Home
Head of Strategy and Inclusion,13.70,15-Dec-2016,Travel Expense,Travel to Surbiton Fire Station for LSP drop in session
Head of Strategy and Inclusion,7.00,15-Dec-2016,Travel Expense,Travel from Surbiton railway station to Surbiton Fire station
Head of Operational Response,6.49,19-Dec-2016,Travel,H - A38 - HQ - A38 - H
Director of Operations,2.64,20-Dec-2016,Travel,BASE - BHQ - ST PAULS - BASE (BRIGADE CAROL SERVICE)
Director of Operations,710.19,22-Dec-2016,Accommodation,Payment for Hotel accommodation in Dubai for Dave Brown - Director Of Operations to speak at Intersec Middle East Fire Safety Conference on behalf of LFB.
Head of Operational Resilience,35.20,22-Dec-2016,Travel,Home to office - December 2016
Head of Fire Stations,35.62,23-Dec-2016,Travel,Home to office - December 2016
Head of Fire Safety,4.05,25-Dec-2016,Travel,Home to office - December 2016
Director of Operations,23.10,27-Dec-2016,Travel,Home to office - December 2016
Head of Operational Policy,16.50,02-Jan-2017,Travel,B-Merton control via M25/A3 (inc)- B
Director of Operations,2.75,04-Jan-2017,Travel,BASE - BHQ - STRATFORD FS - BASE ( REGULAR GM's MEETING)
Head of Operational Response,3.30,04-Jan-2017,Travel,H - LOC - H
Head of Operational Response,4.18,06-Jan-2017,Travel,H - Dancers Way Deptford - H (12PF)
Head of Operational Response,7.26,09-Jan-2017,Travel,H - Beckton TC - H
Head of Operational Response,3.41,11-Jan-2017,Travel,HQ - H31 - H
Head of Fire Stations,7.54,14-Jan-2017,Travel,Standby base-H25-Standby base-TN15 7EH-Stanby base
Head of Operational Response,3.41,16-Jan-2017,Travel,HQ - A33 - H
Head of Operational Policy,95.00,17-Jan-2017,Accommodation,"Woodgrange Hotel, Leamington Spa, Warwickshire. CBRN Gold Commander's Course."
Head of Operational Policy,15.00,17-Jan-2017,Subsistence,Evening meal in the hotel. CBRN Strategic Gold Course
Head of Operational Policy,12.32,17-Jan-2017,Travel,B-Ryton-Hotel
Head of Operational Policy,1.32,18-Jan-2017,Travel,Hotel-Ryton-Hotel
Head of Operational Policy,12.00,18-Jan-2017,Subsistence,Evening meal in hotel.. CBRN Strategic Gold Course
Head of Operational Policy,95.00,18-Jan-2017,Accommodation,"Woodland Grange Hotel, Leamington Spa, Warwickshire.

CBRN Strategic Gold Commander Course"
Director of Operations,6.60,18-Jan-2017,Subsistence,breakfast at heathrow on the way out to Dubai for a conference
Director of Operations,11.40,18-Jan-2017,Travel Expense,Taxi from Airport to Hotel in Dubai
Director of Operations,2.19,19-Jan-2017,Travel Expense,From Hotel to meeting
Director of Operations,7.67,19-Jan-2017,Subsistence,Meeting location
Director of Operations,16.48,19-Jan-2017,Subsistence,Novotel Hotel at his accommodation
Head of Operational Policy,12.32,19-Jan-2017,Travel,Hotel- Ryton-B
Head of Operational Resilience,4.40,20-Jan-2017,Travel,BASE - 2 MARSHAM STREET (SW1P 4DF) - BASE
Director of Operations,13.81,20-Jan-2017,Subsistence,Local Dubai restaurant
Head of Operational Response,3.30,20-Jan-2017,Travel,H - LOC - H
Director of Operations,7.45,21-Jan-2017,Subsistence,Lunch in local Dubai  restaurant 
Director of Operations,16.48,21-Jan-2017,Subsistence,Dinner at local Dubai restaurant
Director of Operations,7.12,23-Jan-2017,Travel Expense,Taxi to Dubai Airport from Hotel
Head of Operational Response,2.42,24-Jan-2017,Travel,H - East Lane Wembley - H (20PF)
Director of Finance and Contractual Services,9.00,24-Jan-2017,Travel Expense,Taxi fromTamworth station to CFOA for an audit committee meeting. 
Head of Operational Resilience,12.43,25-Jan-2017,Travel,FSC Returning from SERT - BASE 
Head of Operational Response,2.53,25-Jan-2017,Travel,HQ - LOC - H
Director of Operations,2.31,26-Jan-2017,Travel,BASE - BHQ - CITY HALL - BASE (AUTHORITY)
Director of Safety and Assurance,226.75,30-Jan-2017,Travel,"EVENT: UKRO BOARD MEETING
 
DESTINATION: HESSLE
"
Director of Safety and Assurance,6.95,30-Jan-2017,Subsistence,Attending UKRO Board meeting at Humberside FRS Lunch at hotel 
Director of Safety and Assurance,16.48,30-Jan-2017,Subsistence,Attending UKRO Board meeting at Humberside FRS evening meal at hotel 
Head of Fire Stations,55.77,31-Jan-2017,Travel,Home to office - January 2017
Head of Operational Resilience,104.83,31-Jan-2017,Travel,Home to office - January 2017
Director of Operations,32.78,31-Jan-2017,Travel,Home to office - January 2017
Commissioner,79.00,31-Jan-2017,Travel,"Event: Chairs visit to FSC
Destination: FSC - Moreton-in-Marsh
"
Director of Operations,2.75,01-Feb-2017,Travel,BASE - BHQ - STRATFORD FS - BASE (REGULAR GM's MEETING)
Head of Fire Stations,3.25,01-Feb-2017,Subsistence,Attendance at SERT Capability exercise - Moreton
Head of Operational Resilience,12.10,01-Feb-2017,Travel,FSC SERT TRAINING - BASE
Head of Fire Stations,12.61,01-Feb-2017,Travel,Base-FSC
Director of Operations,1.21,02-Feb-2017,Travel,BASE - BHQ
Director of Operations,6.16,03-Feb-2017,Travel,BHQ - BUCKNALLS LANE WATFORD - BASE (LAUNCH OF A FLOOD RESILIENT HOUSE)
Head of Operational Policy,9.02,03-Feb-2017,Travel,B-Harrow-B
Head of Fire Stations,3.38,03-Feb-2017,Travel,Standby base-G35-BHQ-Standby base
Head of Operational Policy,16.17,06-Feb-2017,Travel,B-Lincs
Head of Operational Response,18.92,06-Feb-2017,Travel,H - LN2 1PN (Hotel re USAR training)
Head of Operational Response,1.32,07-Feb-2017,Travel,LN2 1PN - LN5 9FG - LN2 1PN (USAR)
Head of Operational Policy,2.42,07-Feb-2017,Travel,Hotel-Lincs-Hotel
Director of Operations,2.53,07-Feb-2017,Travel,BASE - BHQ - LAMBETH FS - BASE (150 YEAR WRAP)
Head of Operational Policy,15.62,08-Feb-2017,Travel,Hotel-Lincs-B
Head of Operational Response,19.47,08-Feb-2017,Travel,LN2 1PN - LN5 9FG - H
Director of Operations,2.31,09-Feb-2017,Travel,BASE - BHQ - CITY HALL - BASE (MEETING WITH THE CHAIR)
Head of Fire Stations,1.82,13-Feb-2017,Travel,Base-H31-Base
Director of Operations,2.75,15-Feb-2017,Travel,BASE - BHQ - STRATFORD FS - BASE (REGULAR GM's MEETING)
Commissioner,30.61,15-Feb-2017,Travel,"EVENT:    NFFC
DESTINATION:
BIRMINGHAM
"
Commissioner,159.00,15-Feb-2017,Accommodation,"TRAVEL DATES: 15 FEBRUARY 2017
EVENT: NATIONAL FIRE CHIEFS COUNCIL
DESTINATION: BIMRINGHAM
"
Director of Operations,4.95,17-Feb-2017,Travel,BASE - MERTON LOC - BHQ - HALKIN STREET - BASE (MEETING AT THE LOC &amp; MEETING WITH BABCOCK)
Commissioner,54.00,21-Feb-2017,Travel,"Travel Dates: 21 February 2017 - Return Rail Tickets
Event: Metropolitan Regional Operational Meeting
Destination: Manchester  
"
Head of Operational Resilience,14.95,21-Feb-2017,Subsistence,"Redesdale Arms Hotel 
High Street, Moreton-in-Marsh
Gloucestershire 
GL56 0AW 

Evening meal at the Redesdale Arms Hotel whiles attending SERT at the Fire service College "
Head of Operational Response,18.48,22-Feb-2017,Travel,H - FSC - H
Head of Operational Resilience,12.10,22-Feb-2017,Travel,SERT @ FSC - BASE
Director of Operations,20.79,27-Feb-2017,Travel,Home to office - February 2017
Head of Fire Stations,47.58,28-Feb-2017,Travel,Home to office - February 2017
Head of Operational Resilience,69.52,28-Feb-2017,Travel,Home to office - February 2017
Head of Fire Safety,7.92,28-Feb-2017,Travel,BHQ - FSC Moreton in Marsh
Director of Operations,2.31,28-Feb-2017,Travel,BASE - BHQ - CITY HALL - BASE (30 &amp; 40 YEAR AWARD CEREMONY)
Head of Fire Stations,16.48,01-Mar-2017,Subsistence,Attendance at SERT Capability Exercise - Moreton
Head of Operational Response,7.26,01-Mar-2017,Travel,H - Beckton TC - H
Head of Fire Safety,11.16,01-Mar-2017,Travel,FSC Moreton in Marsh - Home
Director of Operations,2.31,01-Mar-2017,Travel,BASE - BHQ - CITY HALL - BASE (RESOURCES COMMITTEE)
Head of Operational Resilience,12.10,01-Mar-2017,Travel,FSC SERT TRAINING - BASE 
Head of Operational Response,7.26,02-Mar-2017,Travel,H - Beckton TC - H
Director of Operations,3.52,02-Mar-2017,Travel,BASE - BHQ - DAGENHAM FS - BASE (LIFE PASSOUTS) 
Head of Operational Policy,5.17,02-Mar-2017,Travel,HQ-Wandsworth Barracks-B
Head of Operational Response,7.26,03-Mar-2017,Travel,H - Beckton TC - H
Head of Fire Stations,1.04,03-Mar-2017,Travel,Standby base-H28-Standby base
Head of Operational Response,4.50,06-Mar-2017,Travel Expense,LGA Conference 
Head of Operational Policy,9.24,07-Mar-2017,Travel,HQ-FSC
Head of Operational Policy,92.70,07-Mar-2017,Accommodation,"EVENT: TO OBSERVE THE LFB SERT CAPABILITY
 
DESTINATION: REDESDALE ARMS GL56 0AW
"
Head of Operational Policy,75.70,08-Mar-2017,Accommodation,"EVENT: ISAR NWG
DESTINATION: NOVOTEL LIVERPOOL
"
Head of Operational Policy,16.28,08-Mar-2017,Travel,FSC-Merseyside
Head of Operational Resilience,24.20,08-Mar-2017,Travel,BASE - FSC SERT TRAINING - BASE 
Head of Development and Training,6.60,08-Mar-2017,Travel Expense,Croydon fire station - meeting with almhouse residents
Head of Operational Policy,4.00,08-Mar-2017,Travel Expense,Midland Express way- IUSAR NWG.
Head of Operational Response,7.23,08-Mar-2017,Subsistence,LGA Conference. Lunch at station cafe
Head of Operational Policy,4.00,09-Mar-2017,Car Park,"Hotel Parking - Liverpool
ISAR NWG"
Head of Operational Policy,14.27,09-Mar-2017,Subsistence,Evening meal - Liverpool (Toddington service stn)
Head of Operational Resilience,50.00,09-Mar-2017,Car Park,Car Parking at Heathrow travelling to Barley for Foreign commonwealth office meeting 
Head of Development and Training,15.00,09-Mar-2017,Travel Expense,From Liverpool Lime Street to Mersyeside FRS HQ - National resilience training meeting
Head of Operational Resilience,7.92,09-Mar-2017,Travel,BASE - WIMBLEDON (SW19 5AE) - HEATHROW
Head of Operational Policy,29.15,09-Mar-2017,Travel,Merseyside (via diversions)-B
Head of Operational Policy,26.62,12-Mar-2017,Travel,journey 7/9 - Merseyside-B
Head of Operational Policy,26.62,12-Mar-2017,Travel,Journey 6/9 - B-Merseyside 
Head of Operational Policy,4.51,12-Mar-2017,Travel,Journey 31/8- HQ-Paddington-B
Head of Operational Policy,3.85,12-Mar-2017,Travel,Journey 30/8 - HQ-Islington-B
Head of Operational Policy,0.44,12-Mar-2017,Travel,Journey 5/8 - HQ-Lambeth-HQ
Head of Operational Policy,9.57,12-Mar-2017,Travel,Journey 2/8 - Harrow-Romford-B
Head of Operational Policy,3.41,12-Mar-2017,Travel,Journey 14/7 - HQ-Shoreditch-B
Head of Operational Policy,3.41,12-Mar-2017,Travel,Journey 12/7 - HQ-Millwall-B
Director of Operations,19.84,13-Mar-2017,Travel,Home to office - March 2017
Director of Operations,2.53,14-Mar-2017,Travel,BASE - BHQ - CITY HALL - BHQ -BASE ( STRATEGY COMMITTEE)
Head of Operational Resilience,8.36,17-Mar-2017,Travel,HEATHROW - BASE 
Head of Operational Policy,6.60,17-Mar-2017,Subsistence," Shankly's Cafe, Liphook - Hampshire Fire Box training, Bordon"
Head of Operational Policy,10.50,21-Mar-2017,Car Park,"Hotel Parking - Liverpool

USAR NWG"
Head of Operational Policy,16.48,21-Mar-2017,Subsistence,Evening meal in Liverpool
Head of Operational Policy,75.70,21-Mar-2017,Accommodation,"EVENT: USAR NWG MEETING
DESTINATION: NOVOTEL LIVERPOOL
"
Head of Information and Communications Technology ,3.80,21-Mar-2017,Travel Expense,Taxi from rail station to BAPCO event - Teleford
Head of Information and Communications Technology ,3.20,22-Mar-2017,Travel Expense,Taxi from BAPCO exhibition centre to rail station
Head of Operational Policy,5.50,22-Mar-2017,Travel Expense,Midland Expressway - USAR NWG
Head of Finance,11.80,23-Mar-2017,Travel Expense,Train from central London to Harrow to attend breaking bad news training at Harrow training centre.
Head of Development and Training,7.80,30-Mar-2017,Travel Expense,Harrow fire station - Breaking Bad News training
Head of Operational Resilience,11.22,30-Mar-2017,Travel,BASE - EUSTON STATION (NRB MEETING) - BASE
Head of Strategy and Inclusion,29.83,30-Mar-2017,Travel,"EVENT: CFOA SPRING CONFERENCE ON 30-31 MARCH 2017
 
DESTINATION: LONDON TO HADDENHAM & THAME PARKWAY  (RETURN)
"
Head of Fire Stations,40.95,30-Mar-2017,Travel,Home to office - March 2017
Head of Operational Resilience,44.88,31-Mar-2017,Travel,Home to office - March 2017
,,,,
