Ref No,Contract Title,Department,OJEU,Awarded,Has ext option,Expired,Service Type,Actual Cost,Duration  (months),Extended,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Actual exp date,Contracts awarded to
5765,Replacement Boiler - North Kensington FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 24,000",0,No,,16/11/2015,30/12/2015,,,30/12/2015, Cofely GDF Suez
5764,Replacement of N-Shield Connect,Information and Communications Technology ,No,Yes,No,No,Goods/Service,"£ 28,000",36,No,,16/11/2015,16/11/2018,,,, Thales E-Security
5763,Replacement Heating System - Southall FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 212,813",3,No,,03/05/2016,03/08/2016,,,03/08/2016, BTU (Installation & Maintenance) Ltd 
5762,Fire Safety Works - Finchley and Mill Hill FStns ,Technical and Service Support,No,Yes,No,Yes,Works,"£ 87,494",2,No,,12/01/2016,23/02/2016,,,13/04/2016, Collins Contractors Ltd
5761,Fire Safety Works - Harrow and Northolt FStns,Technical and Service Support,No,Yes,No,Yes,Works,"£ 60,979",2,No,,12/01/2016,23/02/2016,,,13/04/2016, Collins Contractors Ltd
5760,Library Management System,Information and Communications Technology ,No,Yes,No,No,Goods/Service,"£ 35,550",60,No,,01/02/2016,31/01/2021,,,, PTFS Europe Ltd
5759,Fire Safety Works - Hendon FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 41,265",1,No,,24/10/2016,19/11/2016,,,19/11/2016, Collins Contractors Ltd
5758,Footwear,Procurement,Yes,No,No,No,Goods/Service,,60,No,,,,,,,
5757,Heavy Duty Lockers,Procurement,No,Yes,No,No,Goods/Service,"£ 95,000",60,No,,01/03/2016,01/03/2021,,,, Garran Lockers Limited
5756,Bedding,Procurement,No,No,No,No,Goods/Service,,60,No,,,,,,,
5755,Catering Consumables,Procurement,No,Yes,Yes,No,Goods/Service,"£ 76,000",24,No,ESPO Light Catering Framework 97,22/07/2016,22/07/2018,,,, NISBETS PLC
5754,Cleaning Consumables,Procurement,No,Yes,No,No,Goods/Service,"£ 610,000",46,No,LCSG Framework Agreement for the Porvision of Cleaning Materials and Janitorial Products ,14/11/2016,01/09/2019,,,, Greenham 
5752,Respiratory Protective Equipment (RPE) Replacement Components,Technical and Service Support,Yes,Yes,No,No,Goods/Service,"£ 2,000,000",60,No,,01/07/2016,01/07/2021,,,, Draeger Limited
5751,Renewal of Rear Appliance Bay Doors - Harrow FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 49,298",1,No,,01/03/2016,29/03/2016,,,29/03/2016, Jewers Ltd
5750,Provision of Gas Automated Meter Reading (AMR) Services,Technical and Service Support,No,Yes,No,No,Goods/Service,"£ 50,000",60,No,CCS Framework RM 896,01/04/2016,01/04/2021,,,, Corona Energy
5749,Inspection of Fleet Vehicles,Technical and Service Support,No,Yes,No,No,Goods/Service,"£ 140,000",36,No,,01/04/2016,01/04/2019,,,, Applus Car Testing Service Ltd
5748,Property Integrator,Technical and Service Support,Yes,Yes,No,No,Goods/Service,"£ 13,000,000",96,No,MOPAC Integrator,03/11/2015,03/11/2023,,,, KBR Ltd
5747,LMS Review,Development and Training,No,Yes,No,Yes,Goods/Service,"£ 45,000",1,No,,30/10/2015,30/11/2015,,,30/11/2015, Oxford Consulting & Learning Ltd
5746,Renewal of Front and Rear Appliance Bay Doors - Feltham FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 64,441",1,No,,01/03/2016,29/03/2016,,,29/03/2016, Arkas Ltd
5745,Professional services relating to Mansfield Street,Legal & Democratic Services,No,Yes,No,Yes,Goods/Service,"£ 12,125",2,No,,01/11/2015,01/01/2016,,,31/12/2015, BRE Global Ltd
5744,Heating and Hot Water Building Services Works - Chingford FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 242,373",3,No,,03/05/2016,03/08/2016,,,03/08/2016, REAM Contracts Ltd 
5743,Roof works - Ealing FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 138,145",2,No,,18/12/2015,18/02/2016,,,18/02/2016, Heartfelt Roofing Ltd
5742,Humidifiers for Union Street,Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 21,130",1,No,,21/12/2015,29/01/2016,,,01/02/2016, Quantech Environmental Ltd
5741,Agreement for the supply of Interim Management Services by a Professional Services Ltd Company that has opted out of the Conduct of Employment Agencies and Employment Businesses Regulations 2003,Procurement,No,Yes,Yes,No,Goods/Service,£ 0,12,Yes,,19/10/2015,18/10/2016,18/10/2016,30/04/2017,, Odgers Interim
5740,Roof works - Hillingdon FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 109,469",2,No,,18/12/2015,18/02/2016,,,18/02/2016, Heartfelt Roofing Limited
5739,Lone Worker Protection Services,Fire Safety (Statutory and Community),No,Yes,Yes,No,Goods/Service,"£ 50,000",36,No,,04/01/2016,04/01/2019,,,, Skyguard Limited
5738,"EUR IT Management, Delivery and Evaluation System",Operational Resilience,No,Yes,No,No,Goods/Service,"£ 79,900",16,No,,19/10/2015,19/02/2017,,,, 4C Europe UK Ltd
5737,Fire Safety Works - Whitechapel FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 72,106",2,No,,22/12/2015,08/03/2016,,,08/03/2016, Morrissey Electrical & Building Ltd
5736,Relocation of LFB Museum,Technical and Service Support,Yes,Yes,No,No,Goods/Service,"£ 250,000",60,No,,01/06/2016,01/06/2021,,,," Premier Moves Ltd, Bishop's Move Ltd"
5735,L8 Water Risk Assessments,Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 23,565",8,No,,01/03/2016,01/11/2016,,,01/11/2016, Oakleaf Surveying Ltd
5732,Provision of Security Services,Technical and Service Support,No,Yes,No,No,Goods/Service,"£ 640,000",36,No,CCS Framework 1056,01/01/2016,31/12/2018,,,, Mitie Security Limited 
5731,Fire Safety Works - Twickenham FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 31,820",1,No,,09/12/2015,09/01/2016,,,11/01/2016, B Nokes Contracts Ltd
5730,Fire Safety Works - Brixton FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 30,964",1,No,,09/12/2015,09/01/2016,,,11/01/2016, SW Bruce & Co Ltd
5729,Lift Refurbishment - Euston FS  ,Technical and Service Support,No,Yes,No,Yes,Works,"£ 55,323",2,No,,28/09/2015,28/11/2015,,,30/11/2015, Jackson Lift Services Ltd
5727,Fire Safety Works - Islington FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 31,310",1,No,,06/11/2015,06/12/2015,,,21/12/2015, B Nokes Contracts Ltd
5726,Fire Safety Works - Ilford FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 29,730",1,No,,06/11/2015,06/12/2015,,,21/12/2015, B Nokes Contracts Ltd
5725,Fire Safety Works - Hornchurch FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 23,372",1,No,,12/11/2015,12/12/2015,,,21/12/2015, Lindfield Electrical Services Ltd
5724,Fire Safety Works - Woodford FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 25,930",1,No,,11/01/2016,29/01/2016,,,29/01/2016, B Nokes Contracts Ltd
5723,Agreement for the Supply of Electronic Office Supplies ,Procurement,No,Yes,No,No,Goods/Service,"£ 228,000",48,No,LCSG,31/05/2016,31/05/2020,,,, Supplies Team T/A Banner
5722,Redecorations Package 4 - South Small Sites,Technical and Service Support,No,Yes,No,No,Works,"£ 386,295",28,No,LFB,11/12/2015,31/03/2018,,,," B Nokes Contracts Ltd , George Jones & Son (Contractors) Ltd"
5721,Redecorations Package 3 - South Large Sites,Technical and Service Support,No,Yes,No,No,Works,"£ 1,218,440",28,No,LFB,11/12/2015,31/03/2018,,,," AD Construction Group, Collins Contractors Ltd, George Jones & Son (Contractors) Ltd, PJ Harte (Decorating Contractors) Ltd"
5720,Redecorations Package 2 - North Small Sites,Technical and Service Support,No,Yes,No,No,Works,"£ 382,889",28,No,LFB,11/12/2015,31/03/2018,,,," B Nokes Contracts Ltd, Mulalley & Company Ltd, Smith & O'Sullivan Ltd"
5719,Re-development of 8 Albert Embankment,Technical and Service Support,Yes,Yes,No,No,Works,"£ 67,000,000",45,No,,24/08/2016,24/05/2020,,,, U and I Group PLC 
5718,Re-decoration Framework Package 1 North Large,Technical and Service Support,No,Yes,No,No,Works,"£ 599,760",28,No,LFB,11/12/2015,31/03/2018,,,," Collins Contractors Ltd, Mulalley & Company Ltd, Smith & O'Sullivan Ltd"
5717,Review of TCAP,Operational Resilience and Training Directorate,No,Yes,No,Yes,Goods/Service,"£ 31,600",1,No,,01/12/2015,08/01/2016,,,08/01/2016, Oxford Consulting & Learning Ltd
5715,Proposed Office Adaptations (for Advice and Counselling Service),Technical and Service Support,No,Yes,No,Yes,Works,"£ 74,125",2,No,,02/09/2015,23/10/2015,,,23/10/2015, Collins (Contractors) Ltd
5714,Kitchen Refurbishment - Hainault FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 109,173",2,No,,23/10/2015,21/12/2015,,,04/01/2016, B Nokes Contracts Ltd
5712,Deed for Provision of Carbon Credits,Procurement,No,Yes,No,Yes,Goods/Service,£ 277,1,No,,18/02/2015,04/03/2015,,,04/03/2015, Carbon Footprint Ltd
5711,Consideration Valuation Report ,Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 13,000",4,No,TfL/90748,01/07/2015,24/10/2015,,,24/10/2015, G.L.Hearn
5709,Fire Safety Works - Romford FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 30,550",1,No,,02/09/2015,23/09/2015,,,30/10/2015, B Nokes Contracts Ltd
5708,Provision of Chilled Mains Drinking Water Dispenser Services,Technical and Service Support,No,Yes,Yes,No,Goods/Service,"£ 35,000",12,Yes,ESPO ref 900W,01/07/2015,30/06/2016,31/07/2016,31/03/2017,, Pressure Coolers Ltd T/A Maestro International
5707,Lay flat hose,Technical and Service Support,No,Yes,Yes,No,Goods/Service,"£ 300,000",35,No,YPO Framework ,01/11/2015,31/10/2018,,,, Angus Fire
5706,"Operational research, including modelling, services ",Information and Communications Technology ,Yes,Yes,Yes,No,Goods/Service,£ 0,60,No,,05/11/2015,05/11/2020,,,, Operational Research in Health Ltd (ORH)
5705,Fire Safety Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 26,755",1,No,,03/08/2015,31/08/2015,,,18/11/2015, RJ Holland Ltd
5704,Replace Appliance Bay and Rear Extension - Bexley FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 162,687",1,No,,14/03/2016,14/04/2016,,,14/04/2016, Diamond Build Plc
5703,Fire Safety Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 47,824",1,No,,21/09/2015,24/10/2015,,,18/11/2015, Morrissey Electrical & Building Ltd
5701,Primary sponsorship for LFB's Fire Bike,"Operations, Prevention and Response",No,Yes,Yes,No,Goods/Service,£ 0,28,No,,01/06/2015,30/09/2017,,,, i3d Group Ltd
5700,2nd Phase of re-engineering of Gas Tight Suits,Technical and Service Support,No,Yes,Yes,No,Goods/Service,"£ 90,000",36,No,,14/05/2015,13/05/2018,,,, Respirex International 
5699,Provision of Internet Services,Information and Communications Technology ,No,Yes,Yes,No,Goods/Service,"£ 1,800,000",36,No,CCS - PSN Services RM1498 Lot 1,13/07/2015,12/07/2018,,,, British Telecommunications plc
5698,Training venue hire,Fire Safety (Statutory and Community),No,Yes,No,Yes,Goods/Service,"£ 10,000",12,No,,01/06/2015,31/05/2016,,,31/05/2016, CCT Venues
5697,Segmentation services,Information and Communications Technology ,No,Yes,No,No,Goods/Service,£ 0,24,No,"CCS Data Access, Processing and Analytics framework contract (RM1016)",01/03/2015,28/02/2017,,,, Experian Limited
5696,CHP and PV Installation - Lewisham FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 228,197",3,No,,24/08/2015,24/11/2015,,,24/11/2015, REAM Contracts Ltd
5694,Fire Safety Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 52,590",2,No,,01/09/2015,09/10/2015,,,18/11/2015, B. Nokes Contracts Ltd
5693,Consultancy Services for Control Room Data Sharing,Information and Communications Technology ,No,Yes,No,No,Goods/Service,"£ 33,000",36,No,CCS - Consultancy One RM1502 Lot 1,27/04/2015,26/04/2018,,,, Mott MacDonald Ltd
5692,Control Room (Contingency) Working Arrangements,Information and Communications Technology ,No,Yes,Yes,Yes,Goods/Service,£ 0,12,No,,28/05/2014,31/05/2015,,,31/05/2015," Stoke on Trent and Staffordshire Fire and Rescue Authority, London Fire & Emergency Planning Authority, West Midlands Fire and Rescue Authority, North West Fire Control Ltd"
5691,Replacement of failed central heating boiler,Technical and Service Support,No,Yes,No,Yes,Works,"£ 18,784",1,No,,27/04/2015,13/05/2015,,,13/05/2015, Moolands Ltd
5690,Consultancy Services For  Partnership Situational Awareness,"Operations, Prevention and Response",No,Yes,No,No,Goods/Service,"£ 49,995",36,No,CCS - Consultancy One RM1502 Lot 1,27/04/2015,26/04/2018,,,, Mott MacDonald Ltd
5689,Replacement ID Cards,Human Resources Management,No,Yes,No,Yes,Goods/Service,"£ 30,180",0,No,,27/05/2015,27/05/2015,,,30/10/2015, Databac
5688,Fire Safety Regulation- Managing Change Seminars,Fire Safety (Statutory and Community),No,Yes,No,Yes,Goods/Service,"£ 19,750",2,No,,24/03/2015,24/05/2015,,,24/05/2015, Waverley Learning
5687,Contract for the Provision of Vehicle Glass Replacement and Repair Services,Procurement,No,Yes,No,No,Goods/Service,"£ 40,000",26,No,ESPO - 275,23/02/2015,30/04/2017,,,, Nationwide Windscreen Services
5686,Kitchen deep cleaning,Technical and Service Support,No,Yes,Yes,Yes,Goods/Service,"£ 85,000",12,Yes,,15/05/2015,14/05/2016,31/07/2016,07/10/2016,07/10/2016, Regent Samsic London
5685,Provision of Journals,Information and Communications Technology ,No,Yes,Yes,No,Goods/Service,"£ 21,000",36,No,,19/01/2015,18/01/2018,,,, Prenax Ltd
5684,Redecoration works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 42,482",3,No,,23/03/2015,01/06/2015,,,01/06/2015, George Jones & Son (Contractors) Ltd
5681,Front and rear appliance bay doors,Technical and Service Support,No,Yes,No,Yes,Works,"£ 68,543",2,No,,01/06/2015,17/07/2015,,,30/10/2015, Arkas Ltd
5680,Refurbishment works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 23,794",1,No,,18/03/2015,15/04/2015,,,15/04/2015, Collins (Contractors) Ltd
5679,Fire Safety Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 28,050",2,No,,03/05/2015,15/06/2015,,,15/06/2015, B Nokes Contracts Ltd
5678,Balcony works project - Eltham FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 201,164",3,No,,19/10/2015,22/01/2016,,,22/01/2016, Diamond Build Plc
5677,Front and rear appliance bay doors,Technical and Service Support,No,Yes,No,Yes,Works,"£ 49,010",1,No,,26/05/2015,09/06/2015,,,09/06/2015, Jewers Doors Ltd
5676,Appliance Bay door,Technical and Service Support,No,Yes,No,Yes,Works,"£ 73,760",1,No,,10/06/2015,08/07/2015,,,08/07/2015, Arkas Ltd
5675,Fire safety works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 25,600",1,No,,04/03/2015,27/03/2015,,,27/03/2015, B Nokes Contracts Ltd
5674,Fire safety works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 46,831",1,No,,16/02/2015,16/03/2015,,,16/03/2015, Collins (Contractors) Ltd
5673,Fire safety works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 44,152",1,No,,01/09/2015,22/09/2015,,,18/11/2015, Waterhouse
5672,Mobile Data Terminals and Other Devices for Vehicles and Fire Appliances,Information and Communications Technology ,No,Yes,No,No,Goods/Service,"£ 2,540,000",48,No,"CCS Framework 
RM1054 Technology Products (Lot 1: Technology Hardware)",01/05/2015,30/04/2019,,,," Specialist Computer Centres Plc, Insight Direct (UK) Ltd, ERGO Computing UK Ltd "
5671,Fire Engineering Services,Fire Safety (Statutory and Community),No,Yes,No,Yes,Goods/Service,"£ 13,540",3,No,,20/02/2015,20/05/2015,,,20/05/2015, Brigly Fire
5670,The supply and maintenance of digital production printers ,Communications,No,Yes,No,No,Goods/Service,"£ 60,000",36,No,,03/06/2015,02/06/2018,,,, Konica Minolta Ltd
5669,Space rationalisation Phase 3c,Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 142,137",2,No,,20/03/2015,20/05/2015,,,20/05/2015, London Fit Out Ltd
5668,Fuel Cards and Associated Services Framework Agreement RM1027,Procurement,No,Yes,No,No,Goods/Service,"£ 4,000,000",48,No,CCS Framework (CCS ran call off competition),17/01/2015,16/01/2019,,,, ALLSTAR BUSINESS SOLUTIONS Ltd
5667,Paper Access Agreement - LCSG Framework,Procurement,No,Yes,No,No,Goods/Service,£ 0,48,No,,01/11/2014,31/10/2018,,,, Office Depot
5666,Redecoration works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 39,598",2,No,,13/03/2015,08/05/2015,,,08/05/2015, George Jones & Son (Contractors) Ltd
5665,Space rationalisation project phase 3a and 3b,Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 54,000",2,No,,05/11/2014,24/12/2014,,,24/12/2014, London Fit Out Ltd
5664,Redecoration works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 84,375",3,No,,21/03/2015,27/06/2015,,,27/06/2015, Architectural Decorators Ltd
5663,Redecoration works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 88,200",3,No,,23/03/2015,29/06/2015,,,29/06/2015, Architectural Decorators Ltd
5660,Undress Uniform: Blue Shirts,Procurement,No,Yes,Yes,No,Goods/Service,"£ 35,000",60,No,,01/12/2014,30/11/2019,,,, Burlington Uniforms Ltd
5659,Roof Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 79,539",2,No,,27/04/2015,12/06/2015,,,12/06/2015, Heartfelt Roofing
5657,Fire Safety Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 78,382",4,No,,28/01/2015,12/05/2015,,,12/05/2015, Lindfield Electrical Services
5656,Provision of a Wide Area Network,Information and Communications Technology ,No,Yes,Yes,No,Goods/Service,"£ 2,699,077",36,No,CCS RM860,01/07/2015,30/06/2018,,,, BT PLC
5655,Roof works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 79,175",2,No,,17/03/2015,28/04/2015,,,28/04/2015, Survey Roofing Ltd
5654,Redecoration works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 30,904",2,No,,09/03/2015,06/05/2015,,,06/05/2015, George Jones Contractor
5653,Redecoration works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 31,472",2,No,,19/02/2015,25/04/2015,,,25/04/2015, George Jones & Son (Contractors) Ltd
5651,Server room and control room cooling installation,Technical and Service Support,No,Yes,No,Yes,Works,"£ 208,303",2,No,,26/02/2015,25/04/2015,,,25/04/2015, H & V Building Services Ltd
5650,Executive Search,Human Resources Management,No,Yes,Yes,Yes,Goods/Service,"£ 40,000",16,No,ESPO S3,06/01/2015,05/05/2016,,,05/05/2016, IRG Advisors Ltd (T/A Odgers Berndtson)
5649,Grounds Maintenance,Technical and Service Support,No,Yes,No,Yes,Goods/Service,£ 0,12,Yes,,01/04/2015,31/03/2016,31/03/2016,31/07/2016,31/07/2016," Ground Control - Eastern & Western, Vista - Southern"
5648,Childcare Vouchers,Human Resources Management,No,Yes,No,No,Goods/Service,£ 0,48,No,HTE Europe ,08/11/2014,07/11/2018,,,, EdenRed UK Group
5647,Refurbishment works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 199,428",3,No,,08/01/2015,09/04/2015,,,09/04/2015, Collins (Contractors) Ltd
5646,Fire Safety Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 60,986",2,No,,22/01/2015,04/03/2015,,,04/03/2015, B Nokes Contracts Ltd
5645,Fired-Up Framework Agreement - Supply of Equipment Tagging System PILOT,Procurement,Yes,Yes,Yes,Yes,Goods/Service,"£ 86,681",4,No,,07/11/2014,07/03/2015,,,07/03/2015, JV Facility Ltd. 
5644,Fired-Up Lot Supply of Vehicle Telematics Hardware and Software PILOT,Procurement,Yes,Yes,Yes,Yes,Goods/Service,"£ 42,500",6,No,,07/11/2014,07/05/2015,,,07/05/2015, Airwave Solutions Ltd. 
5643,Fired-Up Framework Agreement - Supply of Equipment Tagging System,Procurement,Yes,Yes,No,No,Goods/Service,"£ 20,000,000",48,No,Framework Agreement with Single Operator,07/11/2014,07/11/2018,,,, JV Facility Ltd. 
5642,Fired-Up Framework Agreement - Supply of Vehicle Telematics Hardware and Software,Procurement,Yes,Yes,No,No,Goods/Service,"£ 20,000,000",48,No,Framework Agreement with Single Operator,07/11/2014,07/11/2018,,,, Airwave Solutions Ltd. 
5641,"Fire Safety Works to Tottenham, Barnet and Hornsey Fire Stations",Technical and Service Support,No,Yes,No,Yes,Works,"£ 75,888",1,No,,05/01/2015,26/01/2015,,,26/01/2015, SW Bruce & Co Ltd
5640,Fire Station Resource Packs for Schools Team,Communications,No,Yes,No,Yes,Goods/Service,"£ 20,000",24,No,,10/11/2014,09/11/2016,,,09/11/2016, Tradewinds Ltd
5639,Consultancy Support for Departmental Review,Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 22,995",24,No,ConsultancyOne,01/12/2014,30/11/2016,,,30/11/2016, Quo Immus Ltd
5638,E-Tendering software,Procurement,No,Yes,No,No,Goods/Service,"£ 10,000",48,No,,01/01/2015,31/12/2018,,,, EU Supply
5637,Yard gate works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 21,860",3,No,,08/01/2015,26/03/2015,,,26/03/2015, B Nokes Contracts Ltd
5636,Boundary works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 27,870",1,No,,08/01/2015,02/02/2015,,,02/02/2015, B Nokes Contracts Ltd
5635,NOG Sharepoint,Strategy and Inclusion,No,Yes,Yes,No,Goods/Service,"£ 165,000",30,No,,13/10/2014,31/03/2017,,,, BlueSky Sharepoint Consulting Ltd
5633,Citrix NetScaler and Associated Maintenance,Information and Communications Technology ,No,Yes,No,No,Goods/Service,"£ 76,181",36,No,CCS RM721/L1 (CITHS),09/10/2014,08/10/2017,,,, Kelway UK Ltd
5631,De-polluted cars,Procurement,No,Yes,Yes,No,Goods/Service,£ 0,36,No,,01/02/2015,31/01/2018,,,, E&SB Davis
5630,Heating Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 236,225",4,No,,01/12/2014,31/03/2015,,,31/03/2015, Bennett Mechanical Services Ltd
5629,Space rationalisation project phase 2,Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 56,623",3,No,,03/11/2014,02/02/2015,,,02/02/2015, London Fit Out Ltd
5627,A study into the experience and the operation of the Regulatory Reform (Fire Safety) Order 2005 in London,Fire Safety (Statutory and Community),No,Yes,No,No,Goods/Service,"£ 35,046",36,No,,07/12/2014,06/12/2017,,,, BRE Global Ltd
5626,Direct fired water heater replacement,Technical and Service Support,No,Yes,No,Yes,Works,"£ 19,796",1,No,,08/08/2014,15/08/2014,,,15/08/2014, Moolands Ltd
5625,"Supply, Delivery, Collection and Disposal of Firefighting Foam and Containers","Operations, Prevention and Response",No,Yes,Yes,No,Goods/Service,£ 0,36,No,,17/04/2015,16/04/2018,,,, Angus Fire
5624,"Supply, Delivery, Collection and Disposal of Firefighting Foam and Containers","Operations, Prevention and Response",No,Yes,Yes,No,Goods/Service,£ 0,36,No,,17/04/2015,16/04/2018,,,, Auxquimia S.A
5623,Provision of Server Equipment,Information and Communications Technology ,No,Yes,No,Yes,Goods/Service,"£ 256,633",12,No,CCS RM721/L2 (CITHS),23/01/2015,22/01/2016,,,22/01/2016, Computacenter 
5622,Relocation of Portacabin,Technical and Service Support,No,Yes,No,Yes,Works,"£ 47,420",1,No,,01/10/2014,31/10/2014,,,31/10/2014, B Nokes Contracts Limited
5621,Provision of merchandising and promotional items,Communications,No,Yes,No,No,Goods/Service,"£ 120,000",48,No,,15/12/2014,14/12/2018,,,, Supplies Team
5620,Supply of high visibility surcoats and role badge inserts,Operational Policy,No,Yes,No,No,Goods/Service,£ 0,60,No,,10/09/2015,09/09/2020,,,, B & A Textiles Ltd
5619,Temporary Labour,Human Resources Management,No,Yes,No,Yes,Goods/Service,£ 0,24,No,,30/07/2014,31/07/2016,,,12/01/2016, Adecco UK  Ltd
5618,Supply of project management services for space rationalisation,Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 60,000",0,No,,23/07/2014,23/07/2014,,,23/07/2014, Burke Hunter Adams LLP
5616,RE-FIT Phase 3,Technical and Service Support,No,Yes,No,No,Works,"£ 1,842,667",36,No,Refit,01/04/2015,31/03/2018,,,, Imtech
5615,Electric Vehicle Chargepoints,"Operations, Prevention and Response",No,Yes,No,No,Goods/Service,"£ 790,000",44,No,Buy for Good (C0096),11/08/2014,31/03/2018,,,, Chargemaster Plc
5613,Heating works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 99,028",2,No,,08/09/2014,03/11/2014,,,03/11/2014, Purdy Contracts Ltd
5612,Business Name Dataset Compatible with AddressBase Premium,Information and Communications Technology ,No,Yes,Yes,No,Goods/Service,"£ 43,000",24,Yes,,01/11/2014,31/10/2016,01/11/2016,31/01/2017,, Aligned Assets Ltd
5611,Consultancy services to review air conditioning system in Main Equipment Room(MER),Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 16,500",12,No,,02/06/2014,01/06/2015,,,01/06/2015, DJW & Associates Ltd
5610,Heating works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 158,316",3,No,,18/08/2014,07/11/2014,,,07/11/2014, Rolfe Contracting Limited
5609,CHP Installation,Technical and Service Support,No,Yes,No,Yes,Works,"£ 69,520",2,No,,15/06/2014,31/07/2014,,,31/07/2014, REAM Contracts Ltd
5608,Detailed survey and report on grey water recycling installation,Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 13,500",1,No,,20/05/2014,20/06/2014,,,20/06/2014, Artic Building Services Ltd
5607,Liquid Tight Suits,Strategy and Inclusion,No,Yes,Yes,No,Goods/Service,"£ 120,000",36,No,,01/10/2014,30/09/2017,,,, Respirex International 
5606,Replacement Heating & Associated Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 176,229",3,No,,05/06/2014,29/08/2014,,,29/08/2014, Ream Contract Ltd
5605,Appliance Bay Floor,Technical and Service Support,No,Yes,No,Yes,Works,"£ 67,253",1,No,,28/07/2014,01/09/2014,,,01/09/2014, Richo Limited
5604,Fire Safety Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 99,628",1,No,,10/09/2014,09/10/2014,,,09/10/2014, B Nokes Contracts Ltd
5603,Motorisation of Gates,Technical and Service Support,No,Yes,No,Yes,Works,"£ 46,886",1,No,,04/11/2014,04/12/2014,,,04/12/2014, H&V Building Services Ltd
5602,E-recruitment ,Human Resources Management,No,Yes,No,No,Goods/Service,"£ 24,500",0,No,,01/04/2014,31/03/2017,,,, TMP (UK) Ltd
5601,"Risk, Assurance & Technical Authoring",Strategy and Inclusion,Yes,Yes,No,No,Goods/Service,"£ 800,000",48,No,,06/06/2014,05/06/2018,,,," Serco Ltd, DNV Ltd, Slate Marketing Ltd"
5600,Consultancy services to assist with management review,Human Resources Management,No,Yes,No,Yes,Goods/Service,"£ 22,500",1,No,,24/04/2014,23/05/2014,,,23/05/2014, Hay Group
5599,Consultancy to undertake a high level feasibility study to inform a funding bid to DCLG,Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 12,000",1,No,,17/02/2014,15/03/2014,,,15/03/2014, Turner & Townsend Project Management
5598,Yard gate works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 17,060",1,No,,08/09/2014,19/09/2014,,,19/09/2014, B Nokes Contracts Ltd
