Ref No,Contract Title,Department,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Duration (months),Extended,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
5552,Workwear: Sweatshirts,Procurement,No,Yes,No,Goods/Service,Expenditure,£ 0,48,No,ESPO 144,10/10/2013,09/10/2017,,, Burlington Uniforms (agent for FCC Ltd)
5550,Property PFI Project,Technical and Service Support,No,Yes,No,Goods/Service,Expenditure,£ 0,330,No,,01/08/2013,04/02/2041,,, Blue3 (London) Ltd
5543,Mobile Safety Patrols,Technical and Service Support,No,Yes,No,Goods/Service,Expenditure,£ 0,48,No,GLA/TFL,30/08/2013,29/08/2017,,, Servoca Secure Services Ltd
5540,The Provision and Supply of Smoke Alarms and Related Products,Fire Safety (Statutory and Community),No,Yes,Yes,Goods/Service,Expenditure,£ 0,12,Yes,YPO Framework 000447,23/08/2013,22/08/2014,22/08/2016,22/08/2017, Sprue Safety Products Ltd
5533,Royalty Agreement: Premises box,Legal & Democratic Services,No,Yes,Yes,Goods/Service,Expenditure,£ 0,60,No,,23/05/2013,22/05/2018,,, Gerda Security Products Ltd
5529,Vehicle Inspections and Fitting of Blues and Twos,Procurement,No,Yes,Yes,Goods/Service,Expenditure,"£ 130,000",43,No,,01/12/2013,30/06/2017,,, Pullman Motors
5528,Office chairs,Procurement,No,Yes,No,Goods/Service,Expenditure,£ 0,48,No,TFL Framework 90272,01/07/2013,30/06/2017,,, Interstuhl Ltd
5524,Vehicle Leasing,Procurement,No,Yes,No,Goods/Service,Expenditure,"£ 4,000,000",48,No,Halton Housing Trust via Sector,01/08/2013,31/07/2017,,," Alphabet (UK), Days Contract Hire, Lex Autolease"
5522,Fleet and Operational Equipment Items Management and Maintenance Contract,Procurement,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 162,273,000",252,No,,13/11/2014,12/11/2035,,, Babcock Critical Services Ltd
5519,supply of ballistic coverall and helmet cover,Procurement,No,Yes,No,Goods/Service,Expenditure,£ 0,48,No,West Midlands Ambulance Service,21/06/2013,20/06/2017,,, Rig Equipment Ltd
5518,supply of ballistic helmets,Procurement,No,Yes,No,Goods/Service,Expenditure,£ 0,48,No,West Midlands Ambulance Service,21/06/2013,20/06/2017,,, NP Areospace 
5517,"supply of  Body Armour hard and soft plates, Body Armour carrier & kit bag ",Procurement,No,Yes,No,Goods/Service,Expenditure,£ 0,48,No,West Midlands Ambulance Service,21/06/2013,20/06/2017,,, Aegis Engineering Ltd
5505,Emergency Fire Crew Capability Services,Procurement,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 20,000,000",72,No,,13/11/2014,12/11/2020,,, Securitas Security Services (UK) Ltd
5504,Provision of Cable Cutter Pouches,Operational Policy,No,Yes,Yes,Goods/Service,Expenditure,"£ 16,000",36,Yes,,09/09/2013,08/09/2016,08/09/2016,08/09/2018, First Products (Sussex) Ltd
5501,Provision of Guardian Services at Authority Premises,Technical and Service Support,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 190,000",36,Yes,,01/10/2013,30/09/2016,30/09/2016,30/09/2017, Vigilance Properties Ltd
5498,Learning Support,Human Resources Management,No,Yes,Yes,Goods/Service,Expenditure,"£ 20,000",36,Yes,,01/07/2013,30/06/2016,01/07/2016,31/03/2017, Dyslexia Action
5492,Legal Consultancy Services (for the Vehicles Project and other Procurements),Legal & Democratic Services,No,Yes,No,Goods/Service,Expenditure,"£ 120,000",48,No,,18/03/2013,17/03/2017,,, Sharpe Pritchard LLP
5479,White Shirts and T Shirts,Procurement,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 122,000",36,Yes,,01/08/2013,31/07/2016,01/08/2016,31/07/2018," Hunter Apparel&#x0D;
Burlington Uniforms "
5458,Provision of Insurance  Services,Procurement,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,60,Yes,,01/07/2013,30/06/2016,30/06/2016,30/06/2018, Risk Management Partners Ltd
5444,Written schemes of examination for high pressure air systems,Technical and Service Support,No,Yes,Yes,Goods/Service,Expenditure,"£ 20,400",36,Yes,,01/01/2013,31/12/2015,31/12/2015,31/12/2017, Gas & Air Services UK
5436,Laundry & Dry Cleaning,Procurement,No,Yes,Yes,Goods/Service,Expenditure,"£ 450,000",48,Yes,,01/02/2013,31/01/2017,31/01/2017,31/01/2018, Sunlight (now Berendsen)
5429,Lift Maintenance ,Technical and Service Support,No,Yes,Yes,Goods/Service,Expenditure,"£ 29,760",12,Yes,,01/09/2012,31/08/2013,01/08/2016,30/06/2017, Jackson Lift Services Ltd
5422,Occupational Health,Human Resources Management,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 3,600,000",36,Yes,,01/04/2013,31/03/2016,01/04/2016,04/03/2018, Healthcare Management Ltd
5414,Station Based Workwear,Procurement,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,36,Yes,,01/07/2013,30/06/2016,01/07/2016,30/06/2018," Hunter Apparel&#x0D;
Burlington Uniforms "
5402,Provision of Mail Room Equipment,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 30,000",60,No,ESPO,01/05/2012,30/04/2017,,, Pitney Bowes
5398,Multi functional devices,Procurement,No,Yes,No,Goods/Service,Expenditure,"£ 660,000",48,Yes,Buying Solutions,01/08/2012,31/07/2016,01/08/2016,31/07/2017, Canon UK Ltd
5390,Provision of Stand-by  bags,Procurement,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 180,000",48,Yes,,15/12/2012,14/12/2016,14/12/2016,14/12/2018, Business Image Ltd
5372,Insurance Broking Services,Finance and Contractual Services Directorate,No,Yes,Yes,Goods/Service,Expenditure,"£ 34,000",36,Yes,,01/07/2012,30/06/2015,,30/06/2017, Heath Lambert t/a Gallagher Heath
5350,Control and Mobilising Services,Procurement,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 19,601,893",120,No,,01/08/2012,01/08/2022,,, Capita Secure Information Solutions Ltd
5315,Hard FM Contracts,Technical and Service Support,Yes,Yes,Yes,Works,Expenditure,"£ 14,947,370",60,Yes,,01/04/2012,31/03/2017,31/03/2017,31/03/2018," Balfour Beatty Workplace Ltd (Lot 1), Kier Facilities Services Ltd (lot 2)"
5300,Provision of a Managed Archived Records Storage Service,Information and Communications Technology ,No,Yes,Yes,Goods/Service,Expenditure,"£ 175,000",60,Yes,,02/06/2011,01/06/2016,02/06/2016,01/06/2017, Document Warehouse (previously NEXUS Property Solutions Ltd )
5290,FOfT,Procurement,Yes,Yes,No,Goods/Service,Expenditure,"£ 366,705,402",120,No,,01/04/2012,31/03/2022,,, Babcock Emergency Services Training Ltd
5278,"Provision of the Preservation, Digitisation and Marketing of LFB's Photographic Archive",Procurement,No,Yes,Yes,Goods/Service,Income,"£ 70,000",60,Yes,,25/07/2011,24/07/2016,24/07/2016,24/07/2017, Mary Evans Picture Library
5252,Provision of Property and Estates Management Services,Technical and Service Support,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,48,Yes,,01/04/2011,31/03/2015,31/03/2015,31/03/2017, Dron & Wright Ltd
5077,Supply of Role Markings for Firefighting Personal Protective Equipment,Procurement,No,Yes,Yes,Goods/Service,Expenditure,"£ 45,000",72,Yes,,01/10/2009,30/09/2015,30/09/2015,30/09/2017, Stitch-Tech Ltd.
5059,Waste collection service for discarded hosing materials,Procurement,No,Yes,Yes,Goods/Service,Expenditure,£ 0,60,Yes,,01/04/2009,01/04/2014,,01/04/2019, Eako Limited
4907,Provision of Banking Services,Finance and Contractual Services Directorate,No,Yes,Yes,Goods/Service,Expenditure,"£ 27,693",36,Yes,,01/07/2008,30/06/2016,30/06/2016,30/06/2018, The Royal Bank of Scotland plc
4877,Provision of PPE,Operational Assurance,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 16,000,000",96,Yes,,16/10/2008,15/10/2016,15/10/2016,15/10/2018, Bristol Uniforms Ltd.
4762,Hire of trucks for BDC,Procurement,No,Yes,Yes,Goods/Service,Expenditure,"£ 27,000",84,Yes,,12/12/2007,11/12/2014,30/03/2017,30/03/2018, Toyota Material Handling UK Rental Ltd
,,,,,,,,,,,,,,,,
