 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Location Description
800053455,*THOMAS KNEALE & CO LTD,TK108363,62,2.84,OFFICE FURNITURE,09/10/14,,SHOREDITCH FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,63,2.96,CLOTHING,09/10/14,,SHOREDITCH FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,64,6.94,CLOTHING,09/10/14,,SHOREDITCH FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,65,3.47,CLOTHING,09/10/14,,HAROLD HILL FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,66,1.48,CLOTHING,09/10/14,,HAROLD HILL FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,67,10.89,CLOTHING,09/10/14,,HAROLD HILL FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,68,3.47,CLOTHING,09/10/14,,PARK ROYAL FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,69,1.48,CLOTHING,09/10/14,,PARK ROYAL FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,70,2.84,OFFICE FURNITURE,09/10/14,,PARK ROYAL FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,71,10.89,CLOTHING,09/10/14,,WEST HAMPSTEAD FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,72,3.47,CLOTHING,09/10/14,,BECKENHAM FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,73,1.48,CLOTHING,09/10/14,,BECKENHAM FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,74,3.47,CLOTHING,09/10/14,,DAGENHAM FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,75,3.47,CLOTHING,09/10/14,,DAGENHAM FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,76,6.94,CLOTHING,09/10/14,,ISLINGTON FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,77,2.96,CLOTHING,09/10/14,,ISLINGTON FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,78,2.59,OFFICE FURNITURE,09/10/14,,LAMBETH FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,79,3.47,CLOTHING,09/10/14,,CLAPHAM FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,80,1.48,CLOTHING,09/10/14,,CLAPHAM FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,81,10.89,CLOTHING,09/10/14,,WEMBLEY FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,82,10.89,CLOTHING,09/10/14,,ILFORD FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,83,10.89,CLOTHING,09/10/14,,RUISLIP FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,84,6.94,CLOTHING,09/10/14,,RUISLIP FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,85,2.96,CLOTHING,09/10/14,,RUISLIP FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,86,10.89,CLOTHING,09/10/14,,RUISLIP FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,87,10.89,CLOTHING,09/10/14,,ELTHAM FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,88,10.89,CLOTHING,09/10/14,,HESTON FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,89,3.47,CLOTHING,09/10/14,,ENFIELD FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,90,10.89,CLOTHING,09/10/14,,ENFIELD FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,91,10.89,CLOTHING,09/10/14,,STANMORE FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,92,0.99,CLOTHING,09/10/14,,STANMORE FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,93,1.48,CLOTHING,09/10/14,,STANMORE FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,94,3.47,CLOTHING,09/10/14,,STANMORE FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,95,10.89,CLOTHING,09/10/14,,SHOREDITCH FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,96,3.47,CLOTHING,09/10/14,,SHOREDITCH FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,97,1.48,CLOTHING,09/10/14,,SHOREDITCH FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,98,2.59,OFFICE FURNITURE,09/10/14,,SHOREDITCH FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,99,10.89,CLOTHING,09/10/14,,ACTON FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,100,3.47,CLOTHING,09/10/14,,ACTON FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,101,0.99,CLOTHING,09/10/14,,SOHO FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,102,10.89,CLOTHING,09/10/14,,SOHO FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,103,10.89,CLOTHING,09/10/14,,WANDSWORTH FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,104,3.47,CLOTHING,09/10/14,,WANDSWORTH FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,105,2.96,CLOTHING,09/10/14,,CHISWICK FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,106,6.94,CLOTHING,09/10/14,,CHISWICK FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,107,10.89,CLOTHING,09/10/14,,CHISWICK FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,108,0.99,CLOTHING,09/10/14,,CHISWICK FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,109,3.47,CLOTHING,09/10/14,,ACTON FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,110,10.89,CLOTHING,09/10/14,,SOUTHALL FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,111,3.47,CLOTHING,09/10/14,,SOUTHALL FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,112,10.89,CLOTHING,09/10/14,,HESTON FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,113,10.89,CLOTHING,09/10/14,,EALING FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,114,0.99,CLOTHING,09/10/14,,KENSINGTON FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,115,10.89,CLOTHING,09/10/14,,WEST HAMPSTEAD FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,116,1.48,CLOTHING,09/10/14,,WEST HAMPSTEAD FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,117,3.47,CLOTHING,09/10/14,,WEST HAMPSTEAD FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,118,5.18,OFFICE FURNITURE,09/10/14,,GREENWICH FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,119,6.94,CLOTHING,09/10/14,,LEE GREEN FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,120,2.96,CLOTHING,09/10/14,,LEE GREEN FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,121,10.89,CLOTHING,09/10/14,,BROMLEY FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,122,3.47,CLOTHING,09/10/14,,TOTTENHAM FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,123,1.48,CLOTHING,09/10/14,,TOTTENHAM FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,124,67.95,OFFICE FURNITURE,09/10/14,,SIDCUP FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,125,1.48,CLOTHING,09/10/14,,BROMLEY FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,126,3.47,CLOTHING,09/10/14,,BROMLEY FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,127,2.59,OFFICE FURNITURE,09/10/14,,LAMBETH FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,128,10.89,CLOTHING,09/10/14,,GREENWICH FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,129,5.35,CLOTHING,09/10/14,,GREENWICH FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,130,3.47,CLOTHING,09/10/14,,ACTON FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,131,10.89,CLOTHING,09/10/14,,ACTON FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,132,10.89,CLOTHING,09/10/14,,ACTON FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,133,6.94,CLOTHING,09/10/14,,LEE GREEN FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,134,10.89,CLOTHING,09/10/14,,GREENWICH FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,135,1.48,CLOTHING,09/10/14,,GREENWICH FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,136,1.48,CLOTHING,09/10/14,,GREENWICH FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,137,10.89,CLOTHING,09/10/14,,STRATFORD FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,138,0.99,CLOTHING,09/10/14,,STRATFORD FIRE STATION
800053455,*THOMAS KNEALE & CO LTD,TK108363,139,10.89,CLOTHING,09/10/14,,BEXLEY FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,140,3.47,CLOTHING,09/10/14,,BEXLEY FS
800053455,*THOMAS KNEALE & CO LTD,TK108363,141,1.48,CLOTHING,09/10/14,,BEXLEY FS
800053457,*THOMAS KNEALE & CO LTD,TK108364,1,"1,133.58",PURCHASES-FURNITURE,09/10/14,"1,133.58",
800053456,*THOMAS KNEALE & CO LTD,TK108614,1,10.89,CLOTHING,09/10/14,968.40,PADDINGTON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,2,3.47,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,3,1.48,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,4,5.35,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,5,3.47,CLOTHING,09/10/14,,PLAISTOW FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,6,1.48,CLOTHING,09/10/14,,PLAISTOW FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,7,4.98,OFFICE FURNITURE,09/10/14,,FOREST HILL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,8,10.89,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,9,3.47,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,10,5.35,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,11,1.48,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,12,10.89,CLOTHING,09/10/14,,STOKE NEWINGTON FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,13,2.96,CLOTHING,09/10/14,,STOKE NEWINGTON FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,14,4.98,OFFICE FURNITURE,09/10/14,,FOREST HILL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,15,4.98,OFFICE FURNITURE,09/10/14,,FOREST HILL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,16,10.89,CLOTHING,09/10/14,,HARROW FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,17,10.89,CLOTHING,09/10/14,,HENDON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,18,0.99,CLOTHING,09/10/14,,HENDON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,19,10.89,CLOTHING,09/10/14,,BARKING FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,20,0.99,CLOTHING,09/10/14,,BARKING FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,21,10.89,CLOTHING,09/10/14,,GREENWICH FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,22,10.89,CLOTHING,09/10/14,,STRATFORD FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,23,3.47,CLOTHING,09/10/14,,STRATFORD FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,24,1.48,CLOTHING,09/10/14,,STRATFORD FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,25,10.89,CLOTHING,09/10/14,,LEWISHAM FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,26,10.89,CLOTHING,09/10/14,,EUSTON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,27,1.48,CLOTHING,09/10/14,,EUSTON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,28,3.47,CLOTHING,09/10/14,,EUSTON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,29,3.47,CLOTHING,09/10/14,,STRATFORD FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,30,1.48,CLOTHING,09/10/14,,STRATFORD FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,31,10.89,CLOTHING,09/10/14,,LEWISHAM FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,32,3.47,CLOTHING,09/10/14,,LEWISHAM FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,33,3.47,CLOTHING,09/10/14,,SHADWELL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,34,1.48,CLOTHING,09/10/14,,SHADWELL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,35,3.47,CLOTHING,09/10/14,,DAGENHAM FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,36,1.48,CLOTHING,09/10/14,,DAGENHAM FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,37,10.89,CLOTHING,09/10/14,,CHISWICK FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,38,10.89,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,39,3.47,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,40,1.48,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,41,5.35,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,42,3.47,CLOTHING,09/10/14,,PECKHAM FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,43,10.89,CLOTHING,09/10/14,,HENDON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,44,0.99,CLOTHING,09/10/14,,HENDON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,45,4.98,OFFICE FURNITURE,09/10/14,,FOREST HILL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,46,10.89,CLOTHING,09/10/14,,HARROW FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,47,10.89,CLOTHING,09/10/14,,DAGENHAM FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,48,10.89,CLOTHING,09/10/14,,PLUMSTEAD FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,49,10.89,CLOTHING,09/10/14,,ROMFORD FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,50,0.99,CLOTHING,09/10/14,,ROMFORD FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,51,10.89,CLOTHING,09/10/14,,LAMBETH RIVER FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,52,10.89,CLOTHING,09/10/14,,HARROW FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,53,1.48,CLOTHING,09/10/14,,TOOTING FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,54,3.47,CLOTHING,09/10/14,,TOOTING FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,55,10.89,CLOTHING,09/10/14,,DOCKHEAD FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,56,4.98,OFFICE FURNITURE,09/10/14,,FOREST HILL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,57,0.99,CLOTHING,09/10/14,,HENDON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,58,10.89,CLOTHING,09/10/14,,STOKE NEWINGTON FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,59,10.89,CLOTHING,09/10/14,,WEST HAMPSTEAD FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,60,3.47,CLOTHING,09/10/14,,HORNCHURCH FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,61,10.89,CLOTHING,09/10/14,,HORNCHURCH FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,62,10.89,CLOTHING,09/10/14,,LAMBETH FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,63,2.84,OFFICE FURNITURE,09/10/14,,LAMBETH FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,64,2.96,CLOTHING,09/10/14,,LAMBETH FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,65,10.89,CLOTHING,09/10/14,,FINCHLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,66,10.89,CLOTHING,09/10/14,,BETHNAL GREEN FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,67,0.99,CLOTHING,09/10/14,,BETHNAL GREEN FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,68,6.94,CLOTHING,09/10/14,,BETHNAL GREEN FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,69,2.96,CLOTHING,09/10/14,,BETHNAL GREEN FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,70,2.96,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,71,6.94,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,72,3.47,CLOTHING,09/10/14,,WEMBLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,73,10.89,CLOTHING,09/10/14,,WEMBLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,74,3.47,CLOTHING,09/10/14,,PLAISTOW FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,75,1.48,CLOTHING,09/10/14,,PLAISTOW FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,76,10.89,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,77,3.47,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,78,1.48,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,79,5.35,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,80,107.96,OFFICE FURNITURE,09/10/14,,POPLAR FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,81,32.67,CLOTHING,09/10/14,,POPLAR FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,82,4.44,CLOTHING,09/10/14,,POPLAR FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,83,10.41,CLOTHING,09/10/14,,POPLAR FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,84,2.84,OFFICE FURNITURE,09/10/14,,POPLAR FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,85,10.89,CLOTHING,09/10/14,,SIDCUP FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,86,10.89,CLOTHING,09/10/14,,LAMBETH RIVER FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,87,4.98,OFFICE FURNITURE,09/10/14,,FOREST HILL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,88,2.96,CLOTHING,09/10/14,,PLAISTOW FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,89,3.47,CLOTHING,09/10/14,,PLAISTOW FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,90,3.47,CLOTHING,09/10/14,,HILLINGDON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,91,1.48,CLOTHING,09/10/14,,HILLINGDON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,92,10.89,CLOTHING,09/10/14,,HENDON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,93,0.99,CLOTHING,09/10/14,,HENDON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,94,67.95,OFFICE FURNITURE,09/10/14,,NORBURY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,95,10.89,CLOTHING,09/10/14,,LAMBETH FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,96,4.98,OFFICE FURNITURE,09/10/14,,FOREST HILL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,97,10.89,CLOTHING,09/10/14,,LEE GREEN FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,98,6.94,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,99,2.96,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,100,2.59,OFFICE FURNITURE,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,101,10.89,CLOTHING,09/10/14,,POPLAR FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,102,10.89,CLOTHING,09/10/14,,KINGSTON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,103,0.99,CLOTHING,09/10/14,,KINGSTON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,104,6.94,CLOTHING,09/10/14,,CROYDON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,105,10.89,CLOTHING,09/10/14,,BIGGIN HILL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,106,3.47,CLOTHING,09/10/14,,BIGGIN HILL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,107,1.48,CLOTHING,09/10/14,,BIGGIN HILL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,108,10.89,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,109,3.47,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,110,1.48,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,111,5.35,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,112,10.89,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,113,2.96,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,114,6.94,CLOTHING,09/10/14,,BROMLEY FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,115,10.89,CLOTHING,09/10/14,,SHADWELL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,116,10.89,CLOTHING,09/10/14,,SOUTHALL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,117,2.84,OFFICE FURNITURE,09/10/14,,KINGSTON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,118,10.89,CLOTHING,09/10/14,,BETHNAL GREEN FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,119,0.99,CLOTHING,09/10/14,,BETHNAL GREEN FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,120,3.47,CLOTHING,09/10/14,,BETHNAL GREEN FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,121,1.48,CLOTHING,09/10/14,,BETHNAL GREEN FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,122,10.89,CLOTHING,09/10/14,,EAST HAM FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,123,0.99,CLOTHING,09/10/14,,EAST HAM FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,124,3.47,CLOTHING,09/10/14,,HORNCHURCH FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,125,10.89,CLOTHING,09/10/14,,HORNCHURCH FIRE STATION
800053456,*THOMAS KNEALE & CO LTD,TK108614,126,4.98,OFFICE FURNITURE,09/10/14,,FOREST HILL FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,127,10.89,CLOTHING,09/10/14,,HENDON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,128,0.99,CLOTHING,09/10/14,,HENDON FS
800053456,*THOMAS KNEALE & CO LTD,TK108614,129,10.89,CLOTHING,09/10/14,,WEST NORWOOD FS
071014G,DON'T PANIC PROJECTS,009614,1,320.00,PUBLIC RELATIONS,13/10/14,320.00,COMMS COMMUNICATION SUPPORT
140828,ARTESIAN LAW,0108/1/JCN/OHARA,1,"18,746.55",PROFESSIONAL FEES ENFORCEMENT,13/10/14,"18,746.55",CENTRALLY HELD BUDGETS
081014G,HAYS ACCOUNTANCY & FINANCE====,1004723374,1,696.00,FRS STAFF AGENCY,13/10/14,696.00,WORKS DELIVERY
800053522,AZTEC COMPUTING LTD===========,10459,1,"6,650.00",MAINTENANCE & SUPPORT,13/10/14,"6,650.00",CENTRAL DEPARTMENT ACCOUNT
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065893,1,"1,600.00",FIRE DETECTORS,13/10/14,"1,600.00",SOUTH EAST AREA TEAM
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065894,1,"1,760.00",FIRE DETECTORS,13/10/14,"3,080.00",SOUTH EAST AREA TEAM
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065894,2,"1,320.00",FIRE DETECTORS,13/10/14,,SOUTH EAST AREA TEAM
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065895,1,988.80,FIRE DETECTORS,13/10/14,988.80,CFS - LEWISHAM
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065896,1,988.80,FIRE DETECTORS,13/10/14,988.80,CFS - GREENWICH
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065900,1,"1,730.40",FIRE DETECTORS,13/10/14,"1,730.40",CFS - GREENWICH
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065902,1,988.80,FIRE DETECTORS,13/10/14,988.80,CFS - BEXLEY
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065903,1,988.80,FIRE DETECTORS,13/10/14,988.80,CFS - BEXLEY
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065904,1,988.80,FIRE DETECTORS,13/10/14,988.80,CFS - GREENWICH
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065905,1,988.80,FIRE DETECTORS,13/10/14,988.80,CFS - GREENWICH
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065906,1,988.80,FIRE DETECTORS,13/10/14,988.80,CFS - LEWISHAM
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065908,1,988.80,FIRE DETECTORS,13/10/14,988.80,CFS - SOUTHWARK
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065911,1,"1,730.40",FIRE DETECTORS,13/10/14,"1,730.40",CFS - BROMLEY
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065912,1,"1,730.40",FIRE DETECTORS,13/10/14,"1,730.40",CFS - CROYDON
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065913,1,"1,730.40",FIRE DETECTORS,13/10/14,"1,730.40",CFS - SUTTON
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065914,1,988.80,FIRE DETECTORS,13/10/14,988.80,CFS - SUTTON
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065915,1,988.80,FIRE DETECTORS,13/10/14,988.80,CFS - CROYDON
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065916,1,"1,730.40",FIRE DETECTORS,13/10/14,"1,730.40",CFS - CROYDON
071014G,*SPRUE SAFETY PRODUCTS LTD====,1065917,1,988.80,FIRE DETECTORS,13/10/14,988.80,CFS - CROYDON
