SOTitle,Value,ClaimDate,Category,Details
Deputy Commissioner Operations,2.75,05-Jul-2018,Travel,HQ - G56 - H
Deputy Commissioner Operations,11.50,05-Jul-2018,Car Park,Heathrow Terminal 2 - to collect senior officer from Taiwan
Deputy Commissioner Operations,2.86,04-Jul-2018,Travel,H - G21- H
Deputy Commissioner Operations,7.15,23-Jun-2018,Travel,"H - Orient Way, Leyton - H (20PF)"
Deputy Commissioner Operations,4.18,15-Jun-2018,Travel,H - N19 5DH (Highgate) - H
Deputy Commissioner Operations,0.55,12-Jun-2018,Travel,HQ - H22 - HQ
Deputy Commissioner Operations,7.30,08-Jun-2018,Car Park,Parking at station for the day whilst visiting GMFRS
Deputy Commissioner Operations,2.53,31-May-2018,Travel,H - LOC - HQ
Deputy Commissioner Operations,2.86,29-Mar-2018,Travel,H - G21 - H
Deputy Commissioner Operations,5.94,28-Mar-2018,Travel,H - F35 - H
Deputy Commissioner Operations,2.75,27-Mar-2018,Travel,HQ - G31 - H
Deputy Commissioner Operations,3.74,23-Mar-2018,Travel,H - A38 - H
Deputy Commissioner Operations,0.66,15-Mar-2018,Travel,H - G39 - H
Deputy Commissioner Operations,0.44,12-Mar-2018,Travel,HQ - City Hall - HQ
Deputy Commissioner Operations,2.42,13-Feb-2018,Travel,"H - Long Drive, Greenford - H (20PF)"
Deputy Commissioner Operations,19.47,07-Feb-2018,Travel,H - FSC - Hotel - FSC - H
Deputy Commissioner Operations,92.70,07-Feb-2018,Accommodation,"EVENT: OBSERVE SECURITAS TRAINING AT FSC
 
DESTINATION: FIRE SERVICE COLLEGE"
Deputy Commissioner Operations,4.07,02-Feb-2018,Travel,H - A39 - A21 - H
Deputy Commissioner Safety and Assurance,16.48,01-Mar-2019,Subsistence,Attending National resilience Semiar in Liverpool
Deputy Commissioner Safety and Assurance,1.40,01-Jan-2019,Travel,Croydon-G35
Deputy Commissioner Safety and Assurance,0.84,31-Dec-2018,Travel,G35-H22 NYE planning
Deputy Commissioner Safety and Assurance,1.54,31-Dec-2018,Travel,H22-Croydon (Incident)
Deputy Commissioner Safety and Assurance,6.29,16-Nov-2018,Subsistence,Brekfast while attending the National CBRN Exercise in Buckinghamshire
Deputy Commissioner Safety and Assurance,21.06,05-Nov-2018,Travel,Base - Buckinghamshire-Base CT exercise
Deputy Commissioner Safety and Assurance,12.70,18-Oct-2018,Travel Expense,Travel to Beckton for training exercise
Deputy Commissioner Safety and Assurance,1.95,01-Oct-2018,Travel,HQ - LOC - G35 HMI Visit
Deputy Commissioner Safety and Assurance,20.28,27-Sep-2018,Travel,HQ - Cardiff Bay NFCC / UKRO
Deputy Commissioner Safety and Assurance,73.76,25-Sep-2018,Travel,"EVENT: NRB BOARD
DESTINATION: LIVERPOOL RETURN TRAINS"
Deputy Commissioner Safety and Assurance,189.80,25-Sep-2018,Accommodation,"EVENT:NR BOARD LIVERPOOL
DESTINATION:LIVERPOOL HOTEL"
Deputy Commissioner Safety and Assurance,12.70,31-Jul-2018,Travel Expense,Attending Training Course at Wembley 
Deputy Commissioner Safety and Assurance,45.84,23-Jul-2018,Accommodation,"1 night B&B
EVENT: UKRO BOARD AND COMMITTEE MEETING
DESTINATION: CARDIFF SWFRS"
Deputy Commissioner Safety and Assurance,110.75,23-Jul-2018,Travel,"RETURN RAIL TICKETS
EVENT: UKRO BOARD AND COMMITTEE MEETING
DESTINATION: CARDIFF SWFRS"
Deputy Commissioner Safety and Assurance,221.43,11-Jul-2018,Travel,"EVENT:NFCC OPS CO-ORDINATION COMMITTEE
DESTINATION: NEWCASTLE"
Deputy Commissioner Safety and Assurance,7.00,05-Jul-2018,Travel Expense,Taxi from Hotel to Station attending the Senior Stakeholders Event in Hereford
Deputy Commissioner Safety and Assurance,15.00,04-Jul-2018,Travel Expense,taxi from Station to venue in Hereford for the Senior Stakeholders Event
Deputy Commissioner Safety and Assurance,60.73,21-May-2018,Travel,"EVENT: UKRO BOARD & CHALLENGE MEETING
 
DESTINATION: CARDIFF RETURN TRAIN"
Deputy Commissioner Safety and Assurance,91.69,21-May-2018,Accommodation,"EVENT:UKRO BOARD AND CHALLENGE MEETING HOTEL B&B FOR 1 NIGHT
 
DESTINATION: CARDIFF"
Deputy Commissioner Safety and Assurance,12.70,04-Apr-2018,Travel Expense,Travel card from Waterloo to Euston traveling to Liverpool for the National Resilince Board
Deputy Commissioner Safety and Assurance,81.95,04-Apr-2018,Travel Expense,Train from Euston to Liverpool for National Resilince Board 
Deputy Commissioner Safety and Assurance,5.00,14-Mar-2018,Travel Expense,taxi from LGA Conference to rail station 
Deputy Commissioner Safety and Assurance,5.00,12-Mar-2018,Travel Expense,Taxi from rail station to LGA conference held in  Newcastle
Deputy Commissioner Safety and Assurance,53.24,21-Feb-2018,Travel,"EVENT: TRAVELLING BACK FROM THE FSC ATTENDING SERT DEMO
 
DESTINATION: TRAIN SINGLE OXFORD TO PORTSMOUTH HARBOUR"
Deputy Commissioner Safety and Assurance,92.70,20-Feb-2018,Travel,"EVENT: SERT DEMO AT THE FSC
 
DESTINATION: FIRE SERVICE COLLEGE"
Deputy Commissioner Safety and Assurance,92.70,07-Feb-2018,Accommodation,"EVENT: OBSERVE SECURITAS TRAINING AT FSC
 
DESTINATION: FIRE SERVICE COLLEGE"
Deputy Commissioner Safety and Assurance,35.42,29-Jan-2018,Travel,"RETURN TRAIN TICKET
EVENT: UKRO BOARD MEETING
DESTINATION: CARDIFF"
Deputy Commissioner Safety and Assurance,91.69,29-Jan-2018,Accommodation,"TRAVEL DATES: 29TH JANUARY 2018  
HOTEL 
EVENT: UKRO BOARD MEETING
DESTINATION:CARDIFF"
Deputy Commissioner Safety and Assurance,53.70,26-Jan-2018,Travel,"EVENT: MEETING AT EAST SUSSEX FIRE RESCUE HQ
DESTINATION: EAST SUSSEX"
Director of Corporate Services,27.00,28-Jan-2019,Travel,Rail travel back from the LGA Annual Fire Conference and Exhibition 2019 in Brighton (13 March 2019)
Director of Corporate Services,190.00,28-Jan-2019,Accommodation,Hotel accommodation - to attend the LGA Annual Fire Conference 2019 (12 and 13 March 2019)
Director of Corporate Services,474.00,28-Jan-2019,Training and Conferences,Fee to attend the LGA Annual Fire Conference 2019 (12 and 13 March 2019)
Director of Finance and Contractual Services,29.50,28-Mar-2018,Travel Expense,MPS Firepower Event in Gravesend
Director of Finance and Contractual Services,5.00,12-Mar-2018,Travel Expense,Travelling from Barbican for a meeting at City Hall
Head of Development and Training,12.70,23-Mar-2018,Travel Expense,"Mercure Hotel, Maidstone
Level 5 coaching course"
Head of Development and Training,12.70,14-Mar-2018,Travel Expense,"Kent FRS
Coaching session

"
Head of Development and Training,41.40,05-Mar-2018,Travel Expense,"5 - 8 March 2018
Fire Service College
ELP

TRAIN FARE CLAIMED ALTHOUGH I DROVE - IM NOT ON A BRIGADE CAR SCHEME"
Head of Finance,5.60,14-Mar-2018,Travel Expense,Visiting member of staff on long term sick.
Head of Strategy and Inclusion,8.00,29-Mar-2018,Travel Expense,Travel to West Midlands FRS for NFCC related meeting
Head of Strategy and Inclusion,50.00,27-Mar-2018,Travel Expense,Travel to Hampshire FRS for NFCC meeting. Trains disrupted due to signal failure and taxi required for end of journey
Head of Strategy and Inclusion,16.48,20-Feb-2018,Subsistence,Dinner at hotel in Minas Gerais while attending Disaster Management conference
Head of Strategy and Inclusion,16.48,19-Feb-2018,Subsistence,Dinner in hotel during stay at Minais gerais for Disaster Managemetn Conference
Head of Strategy and Inclusion,8.80,18-Feb-2018,Subsistence,Airport meal prior to boarding flight to Minais gerais for Disaster Management conference
Head of Strategy and Inclusion,10.56,18-Feb-2018,Subsistence,Meal at stopover hotel on way to Minais Gerais for Disaster Management conference

