Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q10H,Q10I,Q10J,Q10K,Q10L,Q10M,Q10CQ,Q10CR,Q10CS,Q11A,Q11B,Q11C,Q11D,Q11E,Q11F,Q11G,Q11H,Q11I,Q11J,Q11K,Q11L,Q11M,Q11CQ,Q11CR,Q11CS,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q12I,Q12J,Q12K,Q12L,Q12M,Q13,Q14A,Q14B,Q14C,Q14D,Q14E,Q14F,Q15,Q16A,Q16B,Q16C,Q16D,Q16E,Q16F,Q16G,Q16H,Q16I,Q16J,Q16K,Q16L,Q16M,Q16N,Q16O,Q16P,Q16Q,Q16R,Q16S,Q16T,Q16U,Q16V,Q16W,Q16X,Q16CQ,Q16CR,Q16CS,Q16CT,Q17A,Q17B,Q17C,Q17D,Q17E,Q17F,Q17G,Q17H,Q17I,Q17J,Q17K,Q17L,Q17M,Q17N,Q17O,Q17P,Q17Q,Q17CQ,Q17CR,Q17CS,Q18A,Q18B,Q18C,Q18D,Q18E,Q18F,Q18G,Q18H,Q18I,Q18J,Q18K,Q18L,Q19A,Q19B,Q19C,Q19D,Q19E,Q19F,Q19G,Q19H,Q19I,Q19J,Q19K,Q19L,Q19CQ,Q19CR,Q19CS,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31A,Q31B,Q31C,Q31D,Q31E,Q31F,Q31CQ,Q31CS,Q32,Q33A,Q33B,Q33C,Q33D,Q33E,Q33F,Q33G,Q33H,Q33I,Q33J,Q33K,Q33CQ,Q33CR,Q33CS,Q34A,Q34B,Q34C,Q34D,Q34E,Q34F,Q34G,Q34H,Q34I,Q34J,Q34K,Q35A,Q35B,Q35C,Q35D,Q35E,Q36A,Q36B,Q36C,Q36D,Q36E,Q37,Q38,Q39A,Q39B,Q39C,Q39D,Q39E,Q39F,Q39G,Q39H,Q39I,Q39J,Q39K,Q39L,Q39M,Q39CQ,Q39CR,Q39CS,Q39CT,Q39CU,Q40A,Q40B,Q40C,Q40D,Q40E,Q40F,Q40G,Q40CQ,Q40CR,Q40CS,Q41A,Q41B,Q41C,Q41D,Q41E,Q41F,Q41G,Q41H,Q41CQ,Q41CS,Q42,Q43,Q47A,Q47B,Q47C,Q47D,Q47E,Q47F,Q47G,Q47H,Q47I,Q47J,Q47K,Q47L,Q47M,Q47N,Q47O,Q47P,Q47Q,Q47R,Q47S,Q47T,Q47U,Q47V,Q47W,Q47CQ,Q47CR,Q47CS,Q48,Q50A,Q50B,Q50C,Q50D,Q50E,Q50F,Q50G,Q50H,Q50I,Q50CR,Q50CS,Q51,Q52A,Q52B,Q52C,Q52D,Q52E,Q52F,Q52G,Q52H,Q52I,Q52J,Q52K,Q52L,Q52M,Q52N,Q52O,Q52P,Q52Q,Q52R,Q52S,Q52CQ,Q52CR,Q52CS,Q52CT,Q53A,Q53B,Q53C,Q53D,Q53E,Q53F,Q53G,Q53H,Q53I,Q53J,Q53K,Q53L,Q53M,Q53N,Q53O,Q53P,Q53Q,Q53R,Q53S,Q53CQ,Q53CR,Q53CS,Q53CT,Q54,Q55,Q56A,Q56B,Q56C,Q56D,Q56E,Q56F,Q56G,Q56H,Q56I,Q56J,Q56K,Q56L,Q56M,Q57A,Q57B,Q57C,Q57D,Q57E,Q57F,Q57G,Q57H,Q57I,Q57J,Q57K,Q57L,Q57M,Q57P,Q57CQ,Q57CR,Q57CS,Q58,Q59E,SEG,Q60,Q61,Q62,Q63AA,Q63AB,Q63AC,Q63AD,Q63AE,Q63AF,Q63AG,Q63AH,Q63AI,Q63AJ,Q63AK,Q63AL,Q63AM,Q63AN,Q63AO,Q63AP,Q63ACQ,Q63ACR,Q63ACS,Q63BA,Q63BB,Q63BC,Q63BD,Q63BE,Q63BF,Q63BG,Q63BH,Q63BI,Q63BJ,Q63BK,Q63BL,Q63BM,Q63BN,Q63BO,Q63BP,Q63BCQ,Q63BCR,Q63BCS,Q63BCT,Q63BCU,Q64A,Q64B,Q64C,Q64D,Q64E,Q65
Male,65+,WHITE - British,Not working - retired,Owned outright,Over 20 years or more,Over 20 years or more,2 - Fairly dissatisfied,Fairly dissatisfied, , , , , , , , , , , , , , ,None of these, ,Transport, , , , ,The range of shops, , , , , , , , , , ,2 - Tend to disagree,Tend to disagree,Tend to disagree,Strongly disagree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to disagree,Strongly agree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to disagree,1 - Very unsafe,2,2,2,1 - Major problem,1 - Major problem,2,4 - Not at all worried, , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , , , , ,None of these, ,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all, , , , , , , , , , , , , ,None of these, ,1 - Very dissatisfied,5 - Very satisfied,Less,Less, , , ,Some confidence,Not much confidence,Not much confidence,Not much confidence,Government, , , , , , , ,None of these, , ,More reliable buses and tubes, , , , , , , , , , , ,Local buses,Underground services (the tube),Local train services, , , , , , , , ,4 - Very safe,Very safe,Very safe, , ,4 - Very safe,Very safe,Very safe, , ,1 - Strongly disagree,5- Strongly agree, ,Improving/regenerating Greater London, , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , , , , , , , , ,Don't know,Yes (correct) - Boris Johnson,A great deal, ,Buses, , , , , , , , , , , , , , , , , , , , , , , , ,Nothing at all, , , , , , , , , ,None of these, ,Doesn't tell us much at all about what they do, , , , , , , , , , , , , , ,National Radio, , , , , , , , , , , , , , , , , , , , , ,Local/Regional Radio, , , , , , , , , ,Definitely agree,Definitely agree, , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , ,None of these, ,Yes,No,E,No,Yes,None, , , , , , , , , , , , , ,Daily Local Newspaper, , , , , , , , , , , , , , , , , , , ,Weekly Local Newspaper, , , , , , , , , ,No access to the Internet, ,TV
Female,25 - 34,WHITE - British,Working - Full time (30+ hrs),Rented from local authority,Over 1 year up to 2 years,All my life/born in London,4 - Fairly satisfied,Fairly satisfied, , , , , ,The range of shops, , , , , , , , , , , , , , , , , , , , , ,Safety and policing, , , , ,3 - Neither agree nor disagree,Tend to agree,Strongly agree,Tend to agree,Strongly disagree,Tend to disagree,Neither agree nor disagree,Tend to agree,Tend to agree,Tend to agree,Strongly disagree,Tend to agree,Neither agree nor disagree,1 - Very unsafe,1 - Major problem,1 - Major problem,1 - Major problem,1 - Major problem,1 - Major problem,1 - Major problem,1- Very worried,People using drugs,People dealing drugs, ,Fear of burglary, , , , ,Knife crime,Gun crime, , , , , , , , , , , , , , , , , , , , , ,More police around on foot, , ,More advice on crime prevention, , , , , , , , , , , , , ,2,2,2,2,2,2,5 - No problem at all,3,3,Don't know,1 - Major problem,2, , , , , ,Fly tipping, , , , , , , , , ,5- Very satisfied,5 - Very satisfied,Less,Less, , , ,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,Government, , , , , , , ,Buses,Reducing traffic congestion, , , , , , , , , , , , , ,Local buses, , , , , , , , , , ,1 - Very unsafe, , , , ,1 - Very unsafe, , , , ,5 - Strongly agree,5- Strongly agree, , , , , , , , , , , , , , ,None of these, , , , , , , , , , , ,None of these, ,International Olympic Committee (IOC), , , , , , , , , ,Yes (correct) - Boris Johnson,Nothing at all, , , , , , , , , , , , , , , , , , , , , , , , ,None of these, ,Don't know, , , , , , , , , , ,Don't know,Don't know, , , , , , , ,National Television, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,National Radio, , , , , , , , ,Definitely disagree,Definitely disagree, , , , , , , , , , , ,None of these, , , , , ,Policing, , , , , , , , , , , , ,Yes,No,B,Yes,No,1 car or light van, ,Daily Mail, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , ,Yes at work,Yes at home, , , ,TV
Female,45 - 54,WHITE - British,Working - Full time (30+ hrs),Rented from local authority,Over 20 years or more,All my life/born in London,5- Very satisfied,Very satisfied,Transport, , ,Job opportunities, , , , , , , , , , , , , , , , , , , , , , , ,Safety and policing, ,Other, , ,4 - Tend to agree,Tend to agree,Tend to agree,Tend to disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Tend to agree,Tend to agree,No opinion,No opinion,No opinion,4 - Very safe,5 - No problem at all,5 - No problem at all,3,Don't know,2,5 - No problem at all,3 - Not very worried, , , , , , , , , , , , , , , , , , , , , , , , , , ,Do not feel unsafe in London, , , , , , , , , , , , , , , , , , , , ,Don't know,4,4,4,4,5 - No problem at all,5 - No problem at all,5 - No problem at all,Don't know,Don't know,4,4,4, , , , , , , , , , , , , ,None of these, ,5- Very satisfied,4 - Fairly satisfied,About the same,About the same, , , ,No confidence at all,Some confidence,Not much confidence,Not much confidence, , , , , , , ,Don't know,None of these, , , , , , , , , , , , ,None of these, , ,Underground services (the tube), , , , , , , , , , ,Very safe, , , , ,A bit unsafe, , , ,5 - Strongly agree,5- Strongly agree, , , , , , , , , , , , , , ,None of these, , , , , , , , , , , ,None of these, , ,Government,Mayor/Greater London Authority, , , , , , , ,Yes (correct) - Boris Johnson,Nothing at all, , , , , , , , , , , , , , , , , , , , , , , , ,None of these, ,Don't know, , , , , , , , , , ,Don't know,Keeps us fairly well informed, ,Leaflets delivered to the door, , , , , , , , , , , , , , , , , , , , , , ,Leaflets delivered to the door, , , , , , , , , , , , , , , , , , , , , ,Definitely agree,Definitely agree, , , , , , , , , , , ,None of these, , , ,Health service, , , , , , , , , , , , , , ,No,No,D,No,No,2 cars/light vans, ,Daily Mail, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , ,Yes at work,Yes at home, , , ,Internet
Female,65+,WHITE - British,Not working - retired,Rented from local authority,Over 20 years or more,All my life/born in London,5- Very satisfied,Very satisfied, , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , ,Don't know,No opinion,No opinion,No opinion,Neither agree nor disagree,Strongly disagree,No opinion,No opinion,Tend to disagree,Strongly agree,Strongly agree,No opinion,No opinion,No opinion,1 - Very unsafe,3,Don't know,Don't know,Don't know,Don't know,2,3 - Not very worried, , , , , , , , , , , , , , , , , , , , ,Teenagers hanging around on the streets, , , , , , , , , , ,More police around on foot, , ,More advice on crime prevention, , , , , , , , , , , , , ,4,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,3,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,3, , , , , , , , , , , ,Dealing with litter, , , ,5- Very satisfied,1- Very dissatisfied,Less,Less, , , ,No confidence at all,No confidence at all,Not much confidence,Not much confidence,Government, , , , , , , ,Buses, ,Cheaper bus and tube fares, , , , , , , , , , , , ,Local buses, , , , , , , , , , ,4 - Very safe, , , , ,Don't know, , , , ,1 - Strongly disagree,1 - Strongly disagree, , , , , , , , , , , , , , ,None of these, , , , , , , , , , , ,None of these, , , , , , , , , , ,Don't know,Yes (correct) - Boris Johnson,Nothing at all, , , , , , , , , , , , , , , , , , , , , , , , ,None of these, ,Don't know, , , , , , , , , , ,Don't know,Doesn't tell us much at all about what they do, , , , , , , , , , , , , , , , , , , , , , ,Don't get information, ,Leaflets delivered to the door, , , , , , , , , , , , , , , , , , , , , ,Definitely agree,Definitely agree, , , , , , , , , , , ,None of these, , , ,Health service, ,Policing, ,Crime and safety, , , , , , , , , , ,Yes,No,E,No,Yes,None, , , , , , , , , , , , , , ,Weekly Local Newspaper, , , , , , , , , , , , , , , , , , , , , ,None of these, , , , , , ,No access to the Internet, ,TV
Male,16 - 24,WHITE - Any other white background,"Student, without any part time work",Owned outright,Over 2 years up to 5 years,Over 5 years up to 10 years,2 - Fairly dissatisfied,Fairly dissatisfied, , , , , , , , , , , , , ,Other, , , , , , , , , , , , , , , , ,None of these, ,2 - Tend to disagree,Tend to disagree,Tend to disagree,Neither agree nor disagree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to disagree,3 - Fairly safe,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,3,5 - No problem at all,3 - Not very worried, , , , , , , , , , , , , , , , , , , , , , , , , , ,Do not feel unsafe in London, , , , , , , , , , , , , , , , , , , ,None of these, ,3,3,3,4,4,4,3,3,3,3,2,3, , , , , , , , , , , , , , ,Don't know,3 - Neither satisfied nor dissatisfied,3 - Neither satisfied nor dissatisfied,Don't know,Don't know, , , ,Some confidence,Some confidence,Some confidence,Some confidence, , , , , , , ,Don't know,Don't know, , , , , , , , , , , , , ,Don't know,Local buses, , , , , , , , , , ,3 - Fairly safe, , , , ,3 - Fairly safe, , , , ,4 - Tend to agree,5- Strongly agree, , , , , , , , , , , , , , ,None of these, , , , , , , , , , , ,None of these, , ,Government, , , , , , , , ,No/don't know,Nothing at all, , , , , , , , , , , , , , , , , , , , , , , , , ,Don't know,Not very much, , , , , , , , , ,None of these, ,Don't know, , , , , , , , , , , , , , , , , , , , , , ,Don't get information, , , , , , , , , , , , , , , , , , , , , , ,Don't get information,Tend to agree,Tend to agree, , , , , , , , , , , , ,Don't know, , , , , , , , , , , , , , , , ,Don't know,No,No,Students,No,No,1 car or light van, , , , , , , ,The Guardian, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , , ,Yes at home, , , ,TV
Male,55 - 64,WHITE - British,Refused,Owned outright,Over 15 years up to 20 years,All my life/born in London,2 - Fairly dissatisfied,Fairly dissatisfied, , , , , , , , , , , , , ,Other, , , , , , , , , , , , , , , ,Other, , ,4 - Tend to agree,Tend to agree,Neither agree nor disagree,Tend to agree,Tend to agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tend to agree,Tend to agree,Tend to agree,Neither agree nor disagree,Neither agree nor disagree,2 - A bit unsafe,4,4,3,2,3,3,3 - Not very worried, , , , , , , , , , , , , , , , , , , , , , , , , , ,Do not feel unsafe in London, , , , , , , , , , , , , , , , , , , ,None of these, ,3,4,4,3,3,2,4,3,3,4,4,3, , , , , , , , , , , , , , ,Don't know,4 - Fairly satisfied,4 - Fairly satisfied,About the same,Less, , , ,Some confidence,Some confidence,Some confidence,Some confidence,Government, , , ,Metropolitan Police Authority, , , ,Roads, , , , , , , , , , , , ,None of these, , , , , , , , , , , ,None of these, , , , , , , , , , ,3 - Neither agree nor disagree,3- Neither agree nor disagree, , , , , , , , , , , , , , , ,Don't know, , , , , , , , , , , ,Don't know, , , , , , , , , ,Don't know,Yes (correct) - Boris Johnson,Not very much, , , , , , , , , , , , , , , , , , , , , , , , , ,Don't know,Not very much, , , , , , , , , ,None of these, ,Don't know, , , , , , , , , , , , , , , , , , , , , , ,Don't get information, , , , , , , , , , , , , , , , , , , , , , ,Don't get information,Tend to agree,Tend to agree, , , , , , , , , , , ,None of these, , , , , ,Policing, , , , , , , , , ,Other, , ,Yes,No,C1,No,No,1 car or light van, ,Daily Mail, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , , ,Yes at home, , , ,TV
Female,35 - 44,WHITE - British,Part-time (9-29 hrs),Rented from housing association,Over 20 years or more,All my life/born in London,4 - Fairly satisfied,Fairly satisfied, , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , ,Other, , ,4 - Tend to agree,Neither agree nor disagree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tend to agree,Tend to agree,3 - Fairly safe,4,3,3,4,3,3,3 - Not very worried, , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , , , , ,None of these, ,4,4,3,3,4,4,4,4,4,4,4,3, , , , , , , , , , , , , ,None of these, ,4 - Fairly satisfied,5 - Very satisfied,About the same,About the same, , , ,Not much confidence,Some confidence,Some confidence,Some confidence, , , ,Metropolitan Police Service,Metropolitan Police Authority, , , ,Roads, , , , , , , , , , , , ,None of these, ,Local buses, , , , , , , , , , ,3 - Fairly safe, , , , ,3 - Fairly safe, , , , ,3 - Neither agree nor disagree,3- Neither agree nor disagree, , , , , , , , , , , , , , , ,Don't know, , , , , , , , , , , ,Don't know, , , , , , , , , ,Don't know,Yes (correct) - Boris Johnson,Not very much, , , , , , , , , , , , , , , , , , , , , , , , , ,Don't know,Nothing at all, , , , , , , , , ,None of these, ,Doesn't tell us much at all about what they do, , , , , , , , , , , , , , , , , , , , , , ,Don't get information, , , , , , , , , , , , , , , , , , , , , , ,Don't get information,Tend to disagree,Tend to disagree, , , , , , , , , , , , ,Don't know, , , , , , , , , , , , , , , ,None of these, ,Yes,No,B,No,No,1 car or light van, , , , , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , , ,None of these, , , ,Yes at work, , , , ,TV
Female,45 - 54,BLACK OR BLACK BRITISH - Caribbean,looking after house/children,Rented from housing association,Over 2 years up to 5 years,Over 5 years up to 10 years,4 - Fairly satisfied,Fairly satisfied, , , , , , , , , , , , , ,Other, , ,Transport, , , , , , , , , , , , , , , ,4 - Tend to agree,Tend to agree,Neither agree nor disagree,Tend to agree,Tend to agree,Tend to agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tend to disagree,Tend to agree,Tend to agree,Neither agree nor disagree,4 - Very safe,5 - No problem at all,4,5 - No problem at all,5 - No problem at all,4,4,3 - Not very worried, , , , , , , , , , , , , , , , , , , , , , , , , , ,Do not feel unsafe in London, , , , , , , , , , , , , , , , , , , ,None of these, ,5 - No problem at all,5 - No problem at all,5 - No problem at all,4,5 - No problem at all,4,4,4,4,4,3,4, , , , ,Reducing pollution from traffic, , , , , , , ,Other, , ,4 - Fairly satisfied,4 - Fairly satisfied,About the same,About the same, , , ,Some confidence,Some confidence,Some confidence,Some confidence, , , , , , , ,Don't know,Don't know, , , , , , , , , , , , , ,Don't know, , , , , , , , , , ,None of these, , , , , , , , , , ,2 - Tend to disagree,3- Neither agree nor disagree, , , , , , , , , , , , , , ,None of these, , , , , , , , , , , ,None of these, , , , , , , , , , ,Don't know,Yes (correct) - Boris Johnson,Not very much, , , , , , , , , , , , , , , , , , , , , , , , , ,Don't know,Don't know, , , , , , , , , , ,Don't know,Don't know, , , , , , , , , , , , , , , , , , , , , , ,Don't get information, , , , , , , , , , , , , , , , , , , , , , ,Don't get information,Tend to disagree,Tend to agree, , , , , , , , , , , ,None of these, , , , , ,Policing, ,Crime and safety, , , , , , , , , , ,Yes,No,E,Yes,No,None, , , , , , , , , , , , , ,Daily Local Newspaper, , , , , , , , , , , , , , , , , , , , , , ,None of these, , , , ,Yes at home, , , ,TV
Male,16 - 24,WHITE - British,Unemployed,Rented from housing association,Over 2 years up to 5 years,All my life/born in London,4 - Fairly satisfied,Fairly satisfied, , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , ,None of these, ,3 - Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tend to agree,Tend to agree,Neither agree nor disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Neither agree nor disagree,Tend to agree,3 - Fairly safe,4,4,5 - No problem at all,4,4,4,3 - Not very worried, , , , , , , , , , , , , , , , , , , , , , , , , , ,Do not feel unsafe in London, , , , , , , , , , , , , , , , , , , , ,Don't know,5 - No problem at all,5 - No problem at all,4,4,4,3,4,4,3,4,4,4, , , , , , , , , , , , , , ,Don't know,3 - Neither satisfied nor dissatisfied,4 - Fairly satisfied,About the same,About the same, , , ,Some confidence,Some confidence,Some confidence,Some confidence, , , , , , , ,Don't know,Don't know, , , , , , , , , , , , , ,Don't know,Local buses, , , , , , , , , , ,3 - Fairly safe, , , , ,3 - Fairly safe, , , , ,3 - Neither agree nor disagree,4- Tend to agree, , , , , , , , , , , , , , , ,Don't know, , , , , , , , , , , ,Don't know, , , , , , , , , ,Don't know,No/don't know,Not very much, , , , , , , , , , , , , , , , , , , , , , , , ,None of these, ,Don't know, , , , , , , , , ,None of these, ,Don't know, , , , , , , , , , , , , , , , , , , , , , ,Don't get information, , , , , , , , , , , , , , , , , , , , , , ,Don't get information,Tend to agree,Tend to agree, , , , , , , , , , , , ,Don't know, , ,Health service, ,Policing, ,Crime and safety, , , , , , , , , , ,No,No,E,No,No,None, , , , , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , , ,None of these, , , , , , ,No access to the Internet, ,TV
Female,35 - 44,WHITE - British,Working - Full time (30+ hrs),Owned outright,Over 5 years up to 10 years,All my life/born in London,5- Very satisfied,Very satisfied,Transport, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, ,3 - Neither agree nor disagree,Tend to agree,Tend to agree,Neither agree nor disagree,Tend to agree,Neither agree nor disagree,Neither agree nor disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Neither agree nor disagree,Neither agree nor disagree,3 - Fairly safe,5 - No problem at all,5 - No problem at all,4,4,4,5 - No problem at all,4 - Not at all worried, , , , , , , , , , , , , , , , , , , , , , , , , , ,Do not feel unsafe in London, , , , , , , , , , , , , , , , , , , ,None of these, ,4,4,4,4,4,4,4,4,4,3,4,4, , , , , , , , , , , , , ,None of these, ,3 - Neither satisfied nor dissatisfied,3 - Neither satisfied nor dissatisfied,Less,Don't know, , , ,A lot of confidence,Some confidence,Some confidence,A lot of confidence,Government,Home Office, , , , , , ,None of these, , , , , , , , , , , , ,None of these, , , , , , , , , , , ,None of these, , , , , , , , , , ,3 - Neither agree nor disagree,3- Neither agree nor disagree, , , , , , , , , , , , , , ,None of these, , , , , , , , , , , ,None of these, , ,Government, , , , , , , , ,Yes (correct) - Boris Johnson,A fair amount, , , , , , , , , , , , , , , , , , , , , , , , , ,Don't know,Nothing at all, , , , , , , , , ,None of these, ,Don't know, ,Leaflets delivered to the door, , , , , , , , , , , , , , , , , , , , , ,Local newspaper, , , , , , , , , , , , , , , , , , , , , , ,Tend to agree,Tend to agree, , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , ,None of these, ,Yes,No,C2,No,No,2 cars/light vans, ,Daily Mail, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , ,Yes at work,Yes at home, , , ,TV
