Contracts Register -  All live contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Directorate,Department,Team Name,Service Delivery Contract Manager,CPS allocated to,Classification,Term Contract,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
6164,Ballistic PPE: Body Armour,Safety and Assurance Directorate,Operational Resilience and Special Operations,Special Operations Group,Patrick Goulbourne,Gillian Maxwell, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 86,930","£ 86,930",£ 0,48,No,No,Budget Holder Approval,Ballistic PPE Capability Framework Agreement ,28/02/2018,28/02/2022,,, Aegis Engineering (vendor no: 19692)
6162,Staff Engagement Survey,Safety and Assurance Directorate,Strategy and Risk,Strategy Risk and Engagement,Regina Bonas,Remmy Kamya, / ,No,No,Yes,No,Goods/Service,Expenditure,"£ 50,000","£ 20,000","£ 30,000",15,No,No,Delegated Authority,TFL 91930 CPT Customer Research and Insight Services relating to Employee Research,26/03/2018,26/06/2019,,, ORC International (vendor no: 21168)
6158,FRU Dry Suit,Safety and Assurance Directorate,Operational Policy,Rescue & ISAR Policy,Richard Abbot,Gillian Maxwell,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,24,No,No,Budget Holder Approval,,10/08/2018,10/08/2020,,, Typhoon (vendor no: 21359)
6155,Web Based Job Evaluation Scheme,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Patrick Gallagher,Robert Fisher,Professional Services  / HR Services,No,No,Yes,No,Goods/Service,Expenditure,"£ 18,845","£ 18,845",£ 0,48,No,No,Budget Holder Approval,,04/05/2018,04/05/2022,,, PILAT EUROPE LIMITED  (vendor no: 8088)
6149,Branded Office template developer,Corporate Services Directorate,Communications,Internal Communications and Events,Justina Leitao,Remmy Kamya,Professional Services  / Marketing,No,No,Yes,No,Goods/Service,Expenditure,"£ 23,000","£ 20,000","£ 3,000",36,No,No,Budget Holder Approval,,14/01/2019,14/01/2020,,,Operandi Limited
6146,VMware vSphere 6,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Not allocated, / ,,No,Yes,No,Goods/Service,Expenditure,"£ 91,803","£ 91,803",£ 0,36,No,No,Budget Holder Approval,CCS Technology Products 2,01/02/2018,01/02/2021,,, Phoenix Software Ltd (vendor no: 17895)
6142,Provision of Black Workwear Jackets for Senior Officers,Operations Directorate,Fire Stations,Tower Hamlets (Team),Richard Tapp,Anouska Herman,Clothing and PPE / Clothing and Textiles,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,12,Yes,Yes,Budget Holder Approval,,01/02/2018,01/02/2019,01/02/2019,30/04/2020, Burlington Uniforms (vendor no: 18007)
6141,IELP Main Contractor ,Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,John O'Dor,Construction and FM / Construction Service Providers,No,No,Yes,No,Works,Expenditure,"£ 3,299,183","£ 2,929,000","£ 370,183",10,No,No,Committee Decision,,04/03/2019,13/12/2019,,, ITC Concepts Ltd   (vendor no: 21488)
6137,NEC3 Licence Agreement ,Corporate Services Directorate,Procurement,Corporate Procurement Services,Michael McCarthy,Not allocated, / ,,No,Yes,No,Goods/Service,Expenditure,"£ 1,900","£ 1,900",£ 0,24,No,No,Delegated Authority,TFL NEC Licence Agreement ,03/01/2018,02/01/2020,,, NEC (Thomas Telford)  (vendor no: 19565)
6135,Network monitoring software,Corporate Services Directorate,Information and Communications Technology ,Network,Thomas Mohan,Robert Fisher, / ,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 47,467","£ 30,000","£ 17,467",12,No,No,Budget Holder Approval,Technology Products 2 Agreement RM3733 ,09/04/2018,08/04/2019,,, COMPUTACENTER (UK) Ltd  (vendor no: 11007)
6133,Sensitivity review service,Safety and Assurance Directorate,Health and Safety,Health & Safety,Adrian Bevan,Remmy Kamya,Professional Services  / Business Process Outsourcing Services,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 3,000","£ 3,000",£ 0,24,No,No,Budget Holder Approval,RM33781,16/07/2018,16/07/2020,,, Iron Mountain (vendor no: 1692)
6130,Inspection of Fleet Vehicles,Corporate Services Directorate,Technical and Service Support,FLEET,Alexander Vispo,Robert Fisher,Fleet  / Fleet Management,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 149,800","£ 160,000","(£ 10,200)",36,No,No,Budget Holder Approval,,01/04/2019,01/04/2022,,, Applus Car Testing Services Ltd (vendor no: 19343)
6129,Smoke escape hoods,Safety and Assurance Directorate,Operational Policy,Fire Rescue Policy,Steven Collins,Gillian Maxwell, / ,No,No,Yes,No,Goods/Service,Expenditure,"£ 100,000","£ 100,000",£ 0,48,No,No,Budget Holder Approval,Devon and Somerset,20/09/2018,20/09/2022,,, Draeger Safety UK Ltd (vendor no: 2552)
6124,Provision of Chilled Mains Drinking Water Dispenser Services,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,John O'Dor,Construction and FM / Building Operations,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 39,000","£ 39,000",£ 0,36,Yes,No,Delegated Authority,ESPO Water Coolers ,31/10/2017,31/10/2019,31/10/2019,31/10/2020, Water Coolers Limited  (vendor no: Not Listed on POMS)
6120,E-Tendering Software,Corporate Services Directorate,Procurement,Corporate Procurement Services,Gillian Maxwell,Gillian Maxwell,ICT / Software,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,24,No,No,Budget Holder Approval,TBC,01/04/2018,31/03/2020,,, EU Supply (vendor no: Not Listed on POMS)
6116,Childcare Vouchers,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Simon Bampfylde,Anouska Herman,Professional Services  / HR Services,Yes,No,Yes,No,Goods/Service,Income,"£ 6,000","£ 2,700,000","(£ 2,694,000)",48,No,No,Delegated Authority,CCS Employee Services RM3704,01/10/2019,01/10/2023,,,Edenred (UK Group) Ltd
6115,Citrix Security Solution,Corporate Services Directorate,Information and Communications Technology ,Virtual Desktop Delivery,Philip Hillary,Joseph Newton, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 102,072","£ 80,000","£ 22,072",36,No,No,Budget Holder Approval,Technology Products 2,08/01/2018,08/01/2021,,, Softcat PLC (vendor no: 20108)
6114,Training - Fire Investigation Qualification,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Gillian Maxwell,Professional Services  / Development and Training,No,No,Yes,No,Goods/Service,Expenditure,"£ 35,000","£ 35,000",£ 0,24,No,No,Head of Procurement approval for single tender action,,01/02/2018,01/02/2020,,, Gardiner Associates Training and Research Ltd (vendor no: 18847)
6113,Replacement Wireless LAN Controllers,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton, / ,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 119,981","£ 195,000","(£ 75,019)",36,No,No,Budget Holder Approval,Crown Commercial Service Technology Products 2 Framework ,01/01/2018,01/01/2021,,, Q Associates Limited (vendor no: 21204)
6112,Flame Retardant Bedding,Operations Directorate,Fire Safety (Regulatory and Community),CS Policy and Projects,Marvin Ikua,Robert Fisher, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 26,000","£ 26,000",£ 0,48,No,No,Budget Holder Approval,Safe and Well Equipment Framework,01/03/2018,01/03/2022,,," Thomas Kneale & Co Limited   (vendor no: 13055), Vision Support Services  (vendor no: Not Listed on POMS)"
6110,Provision of Insurance Services,Corporate Services Directorate,Finance,Accountancy & Treasury,Peter Risby,Robert Fisher,Professional Services  / Financial,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 6,661,418","£ 8,228,196","(£ 1,566,778)",36,No,No,Delegated Authority,,30/06/2018,30/06/2021,,," Risk Management Partners Limited (vendor no: 21007), Travelers Insurance Co Ltd (vendor no: Not Listed on POMS)"
6094,Purchase & maintenance of mail screening X-ray scanner,Corporate Services Directorate,Information and Communications Technology ,Business Intelligence,David Morris,Hitesh Mistry, / ,No,No,Yes,No,Goods/Service,Expenditure,"£ 17,177","£ 17,177",£ 0,60,No,No,Budget Holder Approval,,31/12/2017,31/12/2022,,, Todd Research Ltd (vendor no: 21037)
6091,Visualfiles Annual Maintenance Agreement ,Corporate Services Directorate,General Counsel,Departmental Management & Business Support,Christopher Marshall,Robert Fisher, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 44,787","£ 44,787",£ 0,36,No,No,Delegated Authority,,01/04/2017,01/04/2020,,, LexisNexis  (vendor no: 17373)
6087,Replacement Paging System,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke, / ,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 98,390","£ 35,000","£ 63,390",36,No,No,Budget Holder Approval,,13/10/2017,13/10/2020,,, PageOne Communications Limited (vendor no: 21138)
6073,"Project Manager, Quantity Surveyor and Contract Administrator Duties on IELP Project",Corporate Services Directorate,Technical and Service Support,Estates & Major Works,Rupert Palmer,Michael McCarthy, / ,No,No,Yes,No,Goods/Service,Expenditure,"£ 136,762","£ 150,000","(£ 13,238)",29,No,No,Committee Decision,,03/10/2017,31/12/2019,,, Burke Hunter Adams  (vendor no: 20293)
6072,"For the provision of water and seawage, automated reading across the LFb estate",Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Grace Lukumoi,Robert Fisher, / ,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 250,000","£ 250,000",£ 0,60,No,No,Delegated Authority,Water Lot1 Aggregation RM3790,01/08/2018,01/08/2023,,, Anglian Water Business (National) Ltd trading as Wave (vendor no: 21459)
6070,Supply of Marine Fuel ,Operations Directorate,Fire Stations,Fire Stations & Area Team Management,Andrew Roe,Robert Fisher,Fleet  / Fuel,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,24,No,No,Delegated Authority,National Fuels Framework,01/10/2017,01/10/2019,,, Certas Energy UK Ltd (vendor no: 18120)
6069,Supply of Diesel for Strategic Reserve Storage Tanks,Operations Directorate,Fire Stations,Fire Stations & Area Team Management,Andrew Roe,Robert Fisher,Fleet  / Fuel,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 1,000,000","£ 1,000,000",£ 0,24,No,No,Delegated Authority,National Fuels Framework,01/10/2017,30/09/2019,,, WFL (UK) Ltd t/a Hall Fuels (vendor no: 20072)
6067,Netcall Upgrade (telephony),Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 87,000","£ 87,000",£ 0,36,No,No,Budget Holder Approval,,25/07/2017,25/07/2020,,, Netcall Telecom Limited (vendor no: 17967)
6066,e-disclosure services,Corporate Services Directorate,General Counsel,Corporate & Commercial,Thomas Davies,Robert Fisher, / ,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 100,000","£ 100,000",£ 0,24,Yes,No,Delegated Authority,RM3717,11/09/2017,11/09/2019,11/09/2019,10/09/2020, PA Consulting Services Limited (vendor no: 17072)
6061,The supply and maintenance of digital production printers,Corporate Services Directorate,Communications,Internal Communications and Events,Justina Leitao,Anouska Herman, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 110,000","£ 140,000","(£ 30,000)",36,No,No,Budget Holder Approval,,02/07/2018,02/07/2021,,, Konica Minolta (vendor no: 20453)
6059,Building Fabric ,Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,Michael McCarthy,Construction and FM / Building Operations,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 5,137,092","£ 3,000,000","£ 2,137,092",36,No,No,Delegated Authority,,03/12/2018,02/12/2021,,, Close Brothers Rail Ltd  (vendor no: 21411)
6058,"Mechanical, Electrical & Plumbing Services (MEP)",Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Michael McCarthy,Construction and FM / Property Occupation,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 19,773,933","£ 3,000,000","£ 16,773,933",36,No,No,Budget Holder Approval,,03/12/2018,03/12/2021,,," Kier Facilities Services Limited    (vendor no: 14341), Servest Group Ltd    (vendor no: 21231)"
6057,Provision of Tax Advisory Services,Corporate Services Directorate,Finance,Accountancy & Treasury,Annette Trigg,Robert Fisher,Professional Services  / Consultancy,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 33,545","£ 32,000","£ 1,545",36,No,No,Budget Holder Approval,ESPO Consultancy framework 664 ,01/10/2017,01/10/2020,,, PSTAX (vendor no: 21121)
6055,Lift Maintenance,Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,Michael McCarthy, / ,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 533,333","£ 175,000","£ 358,333",36,No,No,Committee Decision,,08/04/2018,08/04/2021,,, Apex Lifts & Escalator Engineers Limited (vendor no: 21265)
6054,Pest Control Services,Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,Michael McCarthy, / ,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 340,000","£ 175,000","£ 165,000",36,No,No,Delegated Authority,,06/03/2018,06/03/2021,,, Servest Group Limited  (vendor no: 21231)
6050,Staff Health Check survey,Safety and Assurance Directorate,Strategy and Risk,Strategy Risk and Engagement,Regina Bonas,Anouska Herman, / ,No,No,Yes,No,Goods/Service,Expenditure,"£ 40,000","£ 40,000",£ 0,24,No,No,Delegated Authority,,20/11/2017,20/11/2019,,,ORC International 
6048,Vehicle Glass Replacement & Repair,Corporate Services Directorate,Procurement,Vehicle Administration,Floyd Phillip,Hitesh Mistry, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 40,000","£ 40,000",£ 0,24,No,No,Budget Holder Approval,,01/06/2017,01/06/2019,,, Nationwide Windscreen Services (vendor no: 18501)
6047,Asbestos Management Services ,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Lloyd Bentley,Michael McCarthy, / ,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 117,223","£ 117,223",£ 0,10,Yes,Yes,Delegated Authority,,01/06/2017,01/04/2018,05/04/2018,04/03/2019, Gradient Consultancy Ltd (vendor no: 16711)
6044,Replacement of Extended Duration Breathing Apparatus (EDBA) Cylinders,Corporate Services Directorate,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Anouska Herman, / ,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 500,000","£ 400,000","£ 100,000",60,No,No,Budget Holder Approval,Devon/Somerset Fire & Rescue Service Ref DS 072-11,12/07/2017,12/07/2022,,," Draeger Safety UK Ltd,               (vendor no: 2552)"
6040,The Provision and Supply of Smoke Alarms and Related Products,Operations Directorate,Fire Safety (Regulatory and Community),FSR Management Group,Victoria Lowry,Gillian Maxwell,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,48,No,No,Delegated Authority,,01/11/2017,01/11/2021,,, Sprue (vendor no: Not Listed on POMS)
6039,Lease Cars,Corporate Services Directorate,Procurement,Vehicle Administration,Floyd Phillip,Hitesh Mistry, / ,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 4,000,000","£ 4,000,000",£ 0,36,No,No,Budget Holder Approval,Halton Housing Framework,01/10/2017,01/10/2020,,," Days Fleet (vendor no: 20116), Automotive Leasing (vendor no: 15399), Daimler (vendor no: 21115), Lex Autoleasing (vendor no: 15252)"
6035,Electric Vehicle Chargepoints,Corporate Services Directorate,Procurement,Contracts Management Group,Sandra Headlam,Robert Fisher, / ,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 387,912","£ 387,912",£ 0,48,No,No,Delegated Authority,ESPO - 636 - Vehicle Charging Infrastructure,01/04/2018,31/03/2022,,, Chargemaster Plc   (vendor no: 20295)
6031,Aztec - Support Contract,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton, / ,No,No,Yes,No,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,36,No,No,Delegated Authority,,01/04/2017,01/04/2020,,, Aztec (vendor no: 8741)
6029,Assessment Management Tool,Corporate Services Directorate,People Services,Talent & Recruitment,Thomas Houghton,Robert Fisher,Professional Services  / HR Services,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 29,680","£ 35,000","(£ 5,320)",25,No,No,Budget Holder Approval,G-cloud 9,26/02/2018,22/04/2020,,, Skillset Ltd (vendor no: 18084)
6025,Supply of Electricity and Ancilliary Services,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Lloyd Bentley,Gillian Maxwell, / ,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 1,000,000","£ 1,000,000",£ 0,60,No,No,Delegated Authority,CCS ,01/04/2016,31/03/2020,,, EDF Energy (vendor no: 6990)
6021,Provision of printing services,Corporate Services Directorate,Communications,Internal Communications and Events,Justina Leitao,Robert Fisher, / ,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 200,000","£ 200,000",£ 0,48,No,No,Budget Holder Approval,CCS Managed Print & Digital Solutions RM3785,13/05/2019,13/05/2023,,, CDS Ltd (vendor no: N/A)
6020,Travel Management,Corporate Services Directorate,Procurement,Contracts Management Group,David Catchpole,Gillian Maxwell,Professional Services  / Business Travel,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 960,000","£ 720,000","£ 240,000",48,No,No,Committee Decision,NHS Framework Agreement SBS/16/SB/ZXS/8929,19/07/2019,19/07/2023,,, Corporate Travel Management (vendor no: N/A)
6017,LFB Training Centre - Communications Consultant,Corporate Services Directorate,Technical and Service Support,Property Supply Chain Management,Rupert Palmer,Michael McCarthy, / ,No,No,Yes,No,Goods/Service,Expenditure,"£ 39,662","£ 20,000","£ 19,662",33,No,No,Committee Decision,,08/06/2017,08/03/2020,,, SP Broadway Ltd   (vendor no: 21043)
6010,Provision of Occupational Health Services,Corporate Services Directorate,People Services,Wellbeing,David Amis,Gillian Maxwell,Professional Services  / Staff Medical Care,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 6,000,000","£ 6,000,000",£ 0,36,No,No,Committee Decision,,05/03/2018,05/03/2021,,, HML Ltd (vendor no: 17970)
6006,Esri Gazetteer Support,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 65,000","£ 65,000",£ 0,36,No,No,Budget Holder Approval,,01/05/2017,01/05/2020,,, ESRI Ltd (vendor no: 18002)
6002,ICT Training Passport,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Robert Fisher,ICT / Services,No,No,Yes,No,Goods/Service,Expenditure,"£ 25,000","£ 25,000",£ 0,48,No,No,Budget Holder Approval,TfL 90805 Desktop and Specialist IT,01/12/2017,30/11/2021,,, QA Ltd (vendor no: 18426)
5999,SharePoint Platform Support,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton, / ,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 147,876","£ 60,000","£ 87,876",12,Yes,No,Budget Holder Approval,Gcloud 9,20/11/2017,19/11/2018,20/11/2018,19/11/2019, Silversands Limited (vendor no: 19146)
5986,Moore Stephens Application Support,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton, / ,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 626,806","£ 626,806",£ 0,36,No,No,Budget Holder Approval,,01/04/2017,01/04/2020,,, Moore Stephens LLP (vendor no: 21144)
5984,Atkins Support and Development,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton, / ,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 385,082","£ 2,560,000","(£ 2,174,918)",36,Yes,No,Budget Holder Approval,,01/04/2017,01/04/2018,01/04/2018,31/03/2020," Atkins PLC (vendor no: 15511), Atkins Global (vendor no: 15511)"
5983,Microsoft EA Renewal(s),Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton, / ,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 3,308,762","£ 2,000,000","£ 1,308,762",36,No,No,Budget Holder Approval,,11/12/2017,11/12/2020,,, Phoenix Software (vendor no: 17895)
5979,Citrix – License Increase for email,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Christopher Yiangou,Lesley Troke, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 43,000","£ 43,000",£ 0,24,No,No,Budget Holder Approval,,13/03/2017,01/02/2020,,, Insight Direct (UK) Limited (vendor no: 14363)
5978,Renewal of franking machine,Corporate Services Directorate,Information and Communications Technology ,Business Intelligence,David Morris,Dean Kinsella, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 23,000","£ 23,000",£ 0,60,No,No,Head of Procurement approval for single tender action,,23/03/2017,23/03/2022,,, Pitney Bowes (vendor no: 8940)
5971,Cardinus Risk Management,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Lesley Troke, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 30,000","£ 30,000",£ 0,36,No,No,Budget Holder Approval,TP2,03/02/2017,03/02/2020,,, Cardinus (vendor no: 14690)
5964,Multi-Disciplinary Professional Services Framework,Corporate Services Directorate,Technical and Service Support,Property Supply Chain Management,Rupert Palmer,Michael McCarthy, / ,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 3,500,000","£ 3,500,000",£ 0,48,No,No,Committee Decision,,09/10/2017,09/10/2021,,," The Fulker Consultancy Ltd (vendor no: 21129), Currie & Brown UK Ltd  (vendor no: 19242), Frankham Consultancy Group Ltd  (vendor no: 17096)"
5959,Citrix Renewal,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Christopher Yiangou,Lesley Troke, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 465,000","£ 150,000","£ 315,000",36,No,No,Delegated Authority,Technology Products 2,01/02/2017,01/02/2020,,, Insight Direct (vendor no: 14363)
5956,"The Provision of Planned And Reactive Maintenance Work For Appliance Bay Doors, Gates, Barriers And Drill Tower Grills And Shutters ",Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,Michael McCarthy, / ,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 1,640,000","£ 1,875,000","(£ 235,000)",36,No,No,Committee Decision,,17/06/2017,16/06/2020,,, Arkas Limited  (vendor no: 3598)
5953,Control Room Video Wallboard Display,Corporate Services Directorate,Information and Communications Technology ,Brigade Control Management Team,Scott Hayward,Anouska Herman,ICT / Hardware,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 116,000","£ 84,796","£ 31,204",36,No,No,Budget Holder Approval,,24/03/2018,24/03/2021,,, Christie Digital  (vendor no: 20710)
5950,E-Recruitment system,Corporate Services Directorate,People Services,HR Services,Keeley Robinson,Dean Kinsella,ICT / Software,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 80,000","£ 80,000",£ 0,60,No,No,Budget Holder Approval,,01/04/2017,01/04/2022,,, Lumesse (vendor no: 20992)
5943,Airwave,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton, / ,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 1,530,000","£ 1,530,000",£ 0,36,No,No,Budget Holder Approval,Local Government Radio,01/04/2018,01/04/2021,,,Airwaves Solutions Ltd
5937,Mobile Telephony,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Joseph Newton,ICT / Communication,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 486,816","£ 100,000","£ 386,816",24,No,No,Budget Holder Approval,CCS,01/04/2018,31/03/2020,,, Vodafone (vendor no: 17123)
5935,Trend ScanMail for MS Exchange Suite Licence,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 13,789","£ 13,789",£ 0,12,No,No,Budget Holder Approval,RM3733 Technology Products 2,01/12/2016,01/12/2019,,, Phoenix (vendor no: 17895)
5930,SafeEnd security renewal,Corporate Services Directorate,Information and Communications Technology ,Security,Ashley Woodhams,Lesley Troke, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 11,419","£ 15,000","(£ 3,581)",32,No,No,Budget Holder Approval,,31/12/2016,31/08/2019,,, Capita (vendor no: 20445)
5925,Multi Function Devices,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Hitesh Mistry, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 115,000","£ 115,000",£ 0,36,No,No,Budget Holder Approval,"Multifunctional Devices, Managed Print and Content Services and Records and Information Management",30/06/2017,30/06/2020,,, Canon (vendor no: 10266)
5924,Replacement/Upgrade of network security products,Corporate Services Directorate,Information and Communications Technology ,Network,Thomas Mohan,Joseph Newton, / ,No,No,Yes,No,Goods/Service,Expenditure,"£ 508,176","£ 500,000","£ 8,176",36,No,No,Budget Holder Approval,,01/02/2017,01/02/2020,,, Bramble Hub Limited (vendor no: 18280)
5923,Trainee Firefighter Assessment and Selection (Initial Sift),Corporate Services Directorate,People Services,Talent & Recruitment,Thomas Houghton,Robert Fisher,Professional Services  / Communication Services,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 36,900","£ 36,000",£ 900,36,No,No,Budget Holder Approval,,15/12/2016,14/12/2019,,, Assessment and Development Consultants  (vendor no: 20462)
5920,Replacement ICT Password Safe,Corporate Services Directorate,Information and Communications Technology ,Security,Ashley Woodhams,Lesley Troke, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 25,000","£ 80,000","(£ 55,000)",36,No,No,Budget Holder Approval,,01/02/2017,01/02/2020,,, Thycotic (vendor no: Not Listed on POMS)
5906,audience response system,Safety and Assurance Directorate,Operational Policy,Redbridge (Team),Frazer Ferguson,Robert Fisher, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 9,750","£ 9,750",£ 0,36,No,No,Budget Holder Approval,,01/11/2016,01/11/2019,,, Qwizdom UK Ltd (vendor no: 18640)
5905,Provision of Undress Uniform,Operations Directorate,Fire Stations,Central Operations Team,Richard Field,Anouska Herman,Clothing and PPE / Clothing and Textiles,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 275,000","£ 275,000",£ 0,12,Yes,No,Head of Procurement approval for single tender action,,01/10/2016,01/10/2017,31/10/2018,30/10/2019, Waterfront Ltd (vendor no: 20856)
5902,Real Fire Training Venue Specialist,Corporate Services Directorate,Technical and Service Support,Estates & Major Works,Leah Armstrong,Michael McCarthy,Construction and FM / Construction Service Providers,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 59,905",£ 0,"£ 59,905",10,Yes,No,Committee Decision,,01/08/2017,01/06/2018,01/06/2018,30/06/2019, Haagen Rookgeneratoren B.V  (vendor no: 21206)
5894,Design Team Services - Third Training Centre,Corporate Services Directorate,Technical and Service Support,Property Supply Chain Management,Rupert Palmer,Michael McCarthy, / ,No,No,Yes,No,Goods/Service,Expenditure,"£ 170,475","£ 92,000","£ 78,475",26,No,No,Delegated Authority,HCA Multi-Disciplinary Panel,06/01/2017,06/10/2020,,, BDP (vendor no: Not Listed on POMS)
