Invoice Number, Batch Number,Vendor Name, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
70550,800121197,G BURLEY & SONS LTD,35,24.48,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,36,34.78,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,37,42.34,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,38,16.24,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,39,22.71,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,40,29.41,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,41,11.84,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,42,56.33,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,43,60.55,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,44,16.92,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,45,7.40,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,46,16.41,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,47,19.57,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,48,22.28,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,49,62.95,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,50,105.54,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,51,131.56,PLANNED GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,52,6.70,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,53,30.14,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,54,46.56,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,55,27.57,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,56,26.77,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,57,53.24,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,58,25.89,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,59,55.22,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,60,18.06,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,61,25.72,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,62,21.60,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,63,55.46,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,64,82.92,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,65,34.06,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,66,50.79,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,67,130.56,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,68,65.65,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,69,225.42,PLANNED GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,70,14.46,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,71,22.25,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,72,20.56,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,73,18.25,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,74,26.60,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,75,47.13,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,76,18.55,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,77,28.27,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,78,40.50,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,79,19.16,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,80,50.64,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,81,23.18,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,82,57.15,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,83,26.53,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,84,22.80,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,85,60.15,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,86,419.46,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,87,129.90,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,88,19.54,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,89,34.00,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,90,34.54,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,91,305.43,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,92,13.71,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,93,15.20,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,94,95.63,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,95,29.19,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,96,49.06,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,97,23.24,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,98,25.50,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,99,16.10,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,100,76.75,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,101,31.55,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,102,109.65,PLANNED GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,103,28.42,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,104,21.08,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
70550,800121197,G BURLEY & SONS LTD,105,76.91,GROUNDS MAINTENANCE,11/8/18,,Technical and Service Support,Works - Construction
73194,011118K,TRY & LILLY LTD,1,290.43,UNIFORMS - POMS,11/8/18,290.43,Procurement,Clothing
7690,021118K,GAS & AIR SERVICES (UK),1,"2,400.00",REPAIR & MAINTENANCE,11/8/18,"2,400.00",Technical and Service Support,Furniture & Soft Furnishings
814148,011118K,FIRE SERVICE COLLEGE LTD,1,"3,420.00",HIRE OF FACILITIES,11/8/18,"3,420.00",Operational Resilience,Facilities & Management Services
814149,011118K,FIRE SERVICE COLLEGE LTD,1,"3,960.00",HIRE OF FACILITIES,11/8/18,"3,960.00",Operational Resilience,Facilities & Management Services
81962,051118K,PLASTOR,1,"2,055.00",OPERATIONAL EQUIP-PURCHASE,11/8/18,"2,055.00",Operational Policy,Fire & Rescue
999265,800121110,HAYS SPECIALIST RECRUITMENT,1,955.15,FRS STAFF AGENCY,11/8/18,955.15,Health and Safety,Human Resources
999266,800121144,HAYS SPECIALIST RECRUITMENT,1,295.68,FRS STAFF AGENCY,11/8/18,295.68,Fire Engineering & Specialist Fire Safety,Human Resources
999267,800121114,HAYS SPECIALIST RECRUITMENT,1,927.15,FRS STAFF AGENCY,11/8/18,927.15,Grenfell Investigation Team,Human Resources
999268,800121126,HAYS SPECIALIST RECRUITMENT,1,620.55,FRS STAFF AGENCY,11/8/18,620.55,Management Support,Human Resources
999269,800121111,HAYS SPECIALIST RECRUITMENT,1,602.70,FRS STAFF AGENCY,11/8/18,602.70,Technical and Service Support,Human Resources
999270,800121158,HAYS SPECIALIST RECRUITMENT,1,620.55,FRS STAFF AGENCY,11/8/18,620.55,Fire Stations (North West),Human Resources
999271,800121123,HAYS SPECIALIST RECRUITMENT,1,"1,241.80",FRS STAFF AGENCY,11/8/18,"1,241.80",Grenfell Investigation Team,Human Resources
999272,800121129,HAYS SPECIALIST RECRUITMENT,1,"1,159.36",FRS STAFF AGENCY,11/8/18,"1,159.36",General Counsel,Human Resources
999273,800121143,HAYS SPECIALIST RECRUITMENT,1,520.36,FRS STAFF AGENCY,11/8/18,520.36,Operational Resilience,Human Resources
999274,800121116,HAYS SPECIALIST RECRUITMENT,1,496.72,FRS STAFF AGENCY,11/8/18,496.72,Fire Stations (South West),Human Resources
999275,800121133,HAYS SPECIALIST RECRUITMENT,1,866.30,FRS STAFF AGENCY,11/8/18,866.30,Information and Communication Technology,Human Resources
999276,800121115,HAYS SPECIALIST RECRUITMENT,1,602.70,FRS STAFF AGENCY,11/8/18,602.70,Finance Services,Human Resources
999277,800121106,HAYS SPECIALIST RECRUITMENT,1,883.76,FRS STAFF AGENCY,11/8/18,883.76,Grenfell Investigation Legal Costs,Human Resources
999278,800121101,HAYS SPECIALIST RECRUITMENT,1,"1,017.66",FRS STAFF AGENCY,11/8/18,"1,017.66",Training and Professional Development,Human Resources
999279,800121136,HAYS SPECIALIST RECRUITMENT,1,962.15,FRS STAFF AGENCY,11/8/18,962.15,CPO Community Risk Programme,Human Resources
999280,800121103,HAYS SPECIALIST RECRUITMENT,1,700.08,FRS STAFF AGENCY,11/8/18,700.08,Information and Communication Technology,Human Resources
999281,800121147,HAYS SPECIALIST RECRUITMENT,1,661.44,FRS STAFF AGENCY,11/8/18,661.44,Central Operations,Human Resources
999282,800121138,HAYS SPECIALIST RECRUITMENT,1,"1,050.67",FRS STAFF AGENCY,11/8/18,"1,050.67",Corporate Management Team,Human Resources
999283,800121142,HAYS SPECIALIST RECRUITMENT,1,"1,159.73",FRS STAFF AGENCY,11/8/18,"1,159.73",General Counsel,Human Resources
999284,800121149,HAYS SPECIALIST RECRUITMENT,1,620.90,FRS STAFF AGENCY,11/8/18,620.90,CPO Delivery,Human Resources
999285,800121122,HAYS SPECIALIST RECRUITMENT,1,874.30,FRS STAFF AGENCY,11/8/18,874.30,People Services,Human Resources
999286,800121109,HAYS SPECIALIST RECRUITMENT,1,739.20,FRS STAFF AGENCY,11/8/18,739.20,People Services,Human Resources
999287,800121153,HAYS SPECIALIST RECRUITMENT,1,620.90,FRS STAFF AGENCY,11/8/18,620.90,Service Improvement,Human Resources
999288,800121145,HAYS SPECIALIST RECRUITMENT,1,620.90,FRS STAFF AGENCY,11/8/18,620.90,Technical and Service Support,Human Resources
999289,800121139,HAYS SPECIALIST RECRUITMENT,1,290.85,FRS STAFF AGENCY,11/8/18,290.85,Operational Policy,Human Resources
999290,800121112,HAYS SPECIALIST RECRUITMENT,1,377.16,FRS STAFF AGENCY,11/8/18,377.16,Information and Communication Technology,Human Resources
999291,800121121,HAYS SPECIALIST RECRUITMENT,1,644.35,FRS STAFF AGENCY,11/8/18,644.35,Information and Communication Technology,Human Resources
999292,800121161,HAYS SPECIALIST RECRUITMENT,1,883.75,FRS STAFF AGENCY,11/8/18,883.75,Grenfell Investigation Legal Costs,Human Resources
999293,800121165,HAYS SPECIALIST RECRUITMENT,1,585.48,FRS STAFF AGENCY,11/8/18,585.48,Management Support,Human Resources
999294,800121140,HAYS SPECIALIST RECRUITMENT,1,727.12,FRS STAFF AGENCY,11/8/18,727.12,General Counsel,Human Resources
999295,800121137,HAYS SPECIALIST RECRUITMENT,1,"1,635.60",FRS STAFF AGENCY,11/8/18,"1,635.60",Information and Communication Technology,Human Resources
999296,800121128,HAYS SPECIALIST RECRUITMENT,1,602.70,FRS STAFF AGENCY,11/8/18,602.70,Management Support,Human Resources
999297,800121151,HAYS SPECIALIST RECRUITMENT,1,"1,163.40",FRS STAFF AGENCY,11/8/18,"1,163.40",Operational Policy,Human Resources
999298,800121162,HAYS SPECIALIST RECRUITMENT,1,620.90,FRS STAFF AGENCY,11/8/18,620.90,People Services,Human Resources
999299,800121156,HAYS SPECIALIST RECRUITMENT,1,515.13,FRS STAFF AGENCY,11/8/18,515.13,Service Improvement,Human Resources
999300,800121135,HAYS SPECIALIST RECRUITMENT,1,874.30,FRS STAFF AGENCY,11/8/18,874.30,Information and Communication Technology,Human Resources
999301,800121160,HAYS SPECIALIST RECRUITMENT,1,962.15,FRS STAFF AGENCY,11/8/18,962.15,CPO People Programme,Human Resources
999302,800121163,HAYS SPECIALIST RECRUITMENT,1,620.91,FRS STAFF AGENCY,11/8/18,620.91,Procurement,Human Resources
999303,800121132,HAYS SPECIALIST RECRUITMENT,1,858.55,FRS STAFF AGENCY,11/8/18,858.55,Grenfell Investigation Legal Costs,Human Resources
999304,800121120,HAYS SPECIALIST RECRUITMENT,1,"1,635.60",FRS STAFF AGENCY,11/8/18,"1,635.60",Information and Communication Technology,Human Resources
999305,800121157,HAYS SPECIALIST RECRUITMENT,1,620.55,FRS STAFF AGENCY,11/8/18,620.55,Fire Stations (South West),Human Resources
999306,800121118,HAYS SPECIALIST RECRUITMENT,1,494.20,FRS STAFF AGENCY,11/8/18,494.20,Service Improvement,Human Resources
999307,800121146,HAYS SPECIALIST RECRUITMENT,1,361.62,FRS STAFF AGENCY,11/8/18,361.62,People Services,Human Resources
999308,800121152,HAYS SPECIALIST RECRUITMENT,1,"1,040.72",FRS STAFF AGENCY,11/8/18,"1,040.72",Operational Resilience,Human Resources
999309,800121104,HAYS SPECIALIST RECRUITMENT,1,878.85,FRS STAFF AGENCY,11/8/18,878.85,Information and Communication Technology,Human Resources
999310,800121131,HAYS SPECIALIST RECRUITMENT,1,620.55,FRS STAFF AGENCY,11/8/18,620.55,Management Support,Human Resources
999311,800121113,HAYS SPECIALIST RECRUITMENT,1,"1,040.72",FRS STAFF AGENCY,11/8/18,"1,040.72",Operational Resilience,Human Resources
999312,800121105,HAYS SPECIALIST RECRUITMENT,1,"1,040.72",FRS STAFF AGENCY,11/8/18,"1,040.72",Operational Resilience,Human Resources
999313,800121164,HAYS SPECIALIST RECRUITMENT,1,"1,154.25",FRS STAFF AGENCY,11/8/18,"1,154.25",Procurement,Human Resources
999315,800121119,HAYS SPECIALIST RECRUITMENT,1,496.44,FRS STAFF AGENCY,11/8/18,496.44,Management Support,Human Resources
999316,800121148,HAYS SPECIALIST RECRUITMENT,1,573.60,FRS STAFF AGENCY,11/8/18,573.60,Training and Professional Development,Human Resources
999317,800121125,HAYS SPECIALIST RECRUITMENT,1,574.56,FRS STAFF AGENCY,11/8/18,574.56,People Services,Human Resources
999318,800121141,HAYS SPECIALIST RECRUITMENT,1,878.15,FRS STAFF AGENCY,11/8/18,878.15,Change to LFEPA Governance,Human Resources
999319,800121127,HAYS SPECIALIST RECRUITMENT,1,372.33,FRS STAFF AGENCY,11/8/18,372.33,Management Support,Human Resources
999320,800121124,HAYS SPECIALIST RECRUITMENT,1,602.35,FRS STAFF AGENCY,11/8/18,602.35,Technical and Service Support,Human Resources
999321,800121117,HAYS SPECIALIST RECRUITMENT,1,630.35,FRS STAFF AGENCY,11/8/18,630.35,Procurement,Human Resources
999322,800121155,HAYS SPECIALIST RECRUITMENT,1,750.47,FRS STAFF AGENCY,11/8/18,750.47,People Services,Human Resources
999323,800121154,HAYS SPECIALIST RECRUITMENT,1,879.68,FRS STAFF AGENCY,11/8/18,879.68,Technical and Service Support,Human Resources
999324,800121159,HAYS SPECIALIST RECRUITMENT,1,"1,040.72",FRS STAFF AGENCY,11/8/18,"1,040.72",Operational Resilience,Human Resources
999325,800121134,HAYS SPECIALIST RECRUITMENT,1,"1,113.34",FRS STAFF AGENCY,11/8/18,"1,113.34",Technical and Service Support,Human Resources
999326,800121102,HAYS SPECIALIST RECRUITMENT,1,"1,093.75",FRS STAFF AGENCY,11/8/18,"1,093.75",Grenfell Investigation Team,Human Resources
999327,800121150,HAYS SPECIALIST RECRUITMENT,1,620.55,FRS STAFF AGENCY,11/8/18,620.55,Management Support,Human Resources
999328,800121108,HAYS SPECIALIST RECRUITMENT,1,593.96,FRS STAFF AGENCY,11/8/18,593.96,Fire Stations (South West),Human Resources
999329,800121107,HAYS SPECIALIST RECRUITMENT,1,700.48,FRS STAFF AGENCY,11/8/18,700.48,People Services,Human Resources
999330,800121130,HAYS SPECIALIST RECRUITMENT,1,883.76,FRS STAFF AGENCY,11/8/18,883.76,Grenfell Investigation Legal Costs,Human Resources
999332,800121170,HAYS SPECIALIST RECRUITMENT,1,354.80,FRS STAFF AGENCY,11/8/18,354.80,Community Safety,Human Resources
999333,800121168,HAYS SPECIALIST RECRUITMENT,1,620.55,FRS STAFF AGENCY,11/8/18,620.55,Fire Stations (North West),Human Resources
999334,800121167,HAYS SPECIALIST RECRUITMENT,1,"1,135.05",FRS STAFF AGENCY,11/8/18,"1,135.05",General Counsel,Human Resources
999335,800121166,HAYS SPECIALIST RECRUITMENT,1,620.90,FRS STAFF AGENCY,11/8/18,620.90,Fire Stations (South West),Human Resources
999336,800121174,HAYS SPECIALIST RECRUITMENT,1,881.92,FRS STAFF AGENCY,11/8/18,881.92,Central Operations,Human Resources
999337,800121176,HAYS SPECIALIST RECRUITMENT,1,644.35,FRS STAFF AGENCY,11/8/18,644.35,Information and Communication Technology,Human Resources
999338,800121171,HAYS SPECIALIST RECRUITMENT,1,727.12,FRS STAFF AGENCY,11/8/18,727.12,General Counsel,Human Resources
999339,800121178,HAYS SPECIALIST RECRUITMENT,1,962.16,FRS STAFF AGENCY,11/8/18,962.16,CPO People Programme,Human Resources
999340,800121169,HAYS SPECIALIST RECRUITMENT,1,458.88,FRS STAFF AGENCY,11/8/18,458.88,Training and Professional Development,Human Resources
999341,800121175,HAYS SPECIALIST RECRUITMENT,1,878.15,FRS STAFF AGENCY,11/8/18,878.15,Change to LFEPA Governance,Human Resources
999342,800121173,HAYS SPECIALIST RECRUITMENT,1,602.35,FRS STAFF AGENCY,11/8/18,602.35,Technical and Service Support,Human Resources
999343,800121172,HAYS SPECIALIST RECRUITMENT,1,"1,040.72",FRS STAFF AGENCY,11/8/18,"1,040.72",Operational Resilience,Human Resources
999344,800121177,HAYS SPECIALIST RECRUITMENT,1,"1,098.48",FRS STAFF AGENCY,11/8/18,"1,098.48",People Services,Human Resources
999346,800121184,HAYS SPECIALIST RECRUITMENT,1,434.39,FRS STAFF AGENCY,11/8/18,434.39,Fire Stations (North West),Human Resources
999347,800121185,HAYS SPECIALIST RECRUITMENT,1,"1,159.37",FRS STAFF AGENCY,11/8/18,"1,159.37",General Counsel,Human Resources
999348,800121179,HAYS SPECIALIST RECRUITMENT,1,620.90,FRS STAFF AGENCY,11/8/18,620.90,Fire Stations (South West),Human Resources
999349,800121181,HAYS SPECIALIST RECRUITMENT,1,386.61,FRS STAFF AGENCY,11/8/18,386.61,Information and Communication Technology,Human Resources
999350,800121180,HAYS SPECIALIST RECRUITMENT,1,727.12,FRS STAFF AGENCY,11/8/18,727.12,General Counsel,Human Resources
999351,800121182,HAYS SPECIALIST RECRUITMENT,1,878.15,FRS STAFF AGENCY,11/8/18,878.15,Change to LFEPA Governance,Human Resources
999352,800121183,HAYS SPECIALIST RECRUITMENT,1,602.35,FRS STAFF AGENCY,11/8/18,602.35,Technical and Service Support,Human Resources
999353,800121188,HAYS SPECIALIST RECRUITMENT,1,620.55,FRS STAFF AGENCY,11/8/18,620.55,Fire Stations (North West),Human Resources
999354,800121189,HAYS SPECIALIST RECRUITMENT,1,"1,159.37",FRS STAFF AGENCY,11/8/18,"1,159.37",General Counsel,Human Resources
999355,800121186,HAYS SPECIALIST RECRUITMENT,1,644.35,FRS STAFF AGENCY,11/8/18,644.35,Information and Communication Technology,Human Resources
999356,800121190,HAYS SPECIALIST RECRUITMENT,1,727.12,FRS STAFF AGENCY,11/8/18,727.12,General Counsel,Human Resources
999357,800121187,HAYS SPECIALIST RECRUITMENT,1,878.15,FRS STAFF AGENCY,11/8/18,878.15,Change to LFEPA Governance,Human Resources
999359,800121191,HAYS SPECIALIST RECRUITMENT,1,727.12,FRS STAFF AGENCY,11/8/18,727.12,General Counsel,Human Resources
999360,800121192,HAYS SPECIALIST RECRUITMENT,1,702.52,FRS STAFF AGENCY,11/8/18,702.52,Change to LFEPA Governance,Human Resources
C171277,011118K,SITE EQUIP LTD,1,600.00,GENERAL,11/8/18,600.00,Central Operations,Consultancy
C171278,011118K,SITE EQUIP LTD,1,600.00,GENERAL,11/8/18,600.00,Central Operations,Consultancy
C171279,011118V,SITE EQUIP LTD,1,"10,000.00",GENERAL,11/8/18,"10,000.00",Central Operations,Consultancy
FS5001349,261018K,NOTTINGHAMSHIRE FIRE & RESCUE,1,"36,767.76",FIRE AUTHS-MUTUAL ASSISTANCE,11/8/18,"36,767.76",CPO Planning,Non Influenceable Spend
GB10100157878,311018V,ERNST AND YOUNG,1,"12,990.00",EXTERNAL AUDIT,11/8/18,"12,990.00",Central Finance,Financial Services
INV0599243,251018K,POSTURITE (UK) LTD,1,547.51,OFFICE FURNITURE,11/8/18,573.49,General Counsel,Furniture & Soft Furnishings
INV0599243,251018K,POSTURITE (UK) LTD,2,25.98,ADDITIONAL PURCHASE COSTS,11/8/18,,General Counsel,Facilities & Management Services
KM72879,251018V,XMA LTD,1,"1,920.00",ACQUISITIONS,11/8/18,"7,172.00",Information and Communication Technology,ICT
KM72879,251018V,XMA LTD,2,"2,400.00",ACQUISITIONS,11/8/18,,Information and Communication Technology,ICT
KM72879,251018V,XMA LTD,3,"2,700.00",ACQUISITIONS,11/8/18,,Information and Communication Technology,ICT
KM72879,251018V,XMA LTD,4,130.00,ACQUISITIONS,11/8/18,,Information and Communication Technology,ICT
KM72879,251018V,XMA LTD,5,22.00,ACQUISITIONS,11/8/18,,Information and Communication Technology,ICT
L0019007,011118K,LONDON AMBULANCE SERVICE NHS T,1,"15,073.69",FIRE AUTHS-MUTUAL ASSISTANCE,11/8/18,"15,073.69",Operational Policy,Non Influenceable Spend
LFB/SHO/006,011118V,SMITH O'SULLIVAN LTD,1,"5,120.00",PLANNED BUILDING DECORATIONS,11/8/18,"5,120.00",Technical and Service Support,Works - Construction
LFB/TOT/002,011118V,SMITH O'SULLIVAN LTD,1,"20,464.22",PLANNED BUILDING DECORATIONS,11/8/18,"20,464.22",Technical and Service Support,Works - Construction
LFB/WAL/003,011118K,SMITH O'SULLIVAN LTD,1,"2,405.00",PLANNED BUILDING DECORATIONS,11/8/18,"2,405.00",Technical and Service Support,Works - Construction
LFBE/021,011118K,DAVID BURROWS-SUTCLIFFE,1,"1,750.00",GENERAL,11/8/18,"1,750.00",Central Finance,Consultancy
LFBE007,051118K,ABBEY SOLUTIONS INTERNATIONAL,1,"2,916.00",GENERAL,11/8/18,"2,916.00",Central Finance,Consultancy
LS003*,021118K,REVO SECCUS LTD,1,920.00,GENERAL,11/8/18,920.00,Community Safety,Consultancy
PI78117,021118K,PILLINGER CONTROLS LTD,1,310.98,REACTIVE SMALL WORKS AND PROJ,11/8/18,310.98,Technical and Service Support,Works - Construction
PI78118,021118K,PILLINGER CONTROLS LTD,1,280.00,REACTIVE SMALL WORKS AND PROJ,11/8/18,280.00,Technical and Service Support,Works - Construction
PI78119,021118K,PILLINGER CONTROLS LTD,1,448.00,REACTIVE SMALL WORKS AND PROJ,11/8/18,448.00,Technical and Service Support,Works - Construction
SLINV00073166,241018K,RELIANCE HIGH-TECH,1,566.20,REACTIVE MEP,11/8/18,566.20,Technical and Service Support,Works - Construction
TK124387,800121293,THOMAS KNEALE & CO LTD,1,10.89,BEDS & SOFT FURNISHINGS,11/8/18,584.85,Fire Stations (South East),Furniture & Soft Furnishings
TK124387,800121293,THOMAS KNEALE & CO LTD,2,0.99,BEDS & SOFT FURNISHINGS,11/8/18,,Fire Stations (North West),Furniture & Soft Furnishings
TK124387,800121293,THOMAS KNEALE & CO LTD,3,10.89,BEDS & SOFT FURNISHINGS,11/8/18,,Fire Stations (South West),Furniture & Soft Furnishings
TK124387,800121293,THOMAS KNEALE & CO LTD,4,0.99,BEDS & SOFT FURNISHINGS,11/8/18,,Fire Stations (South West),Furniture & Soft Furnishings
TK124387,800121293,THOMAS KNEALE & CO LTD,5,3.47,BEDS & SOFT FURNISHINGS,11/8/18,,Fire Stations (South West),Furniture & Soft Furnishings
TK124387,800121293,THOMAS KNEALE & CO LTD,6,1.48,BEDS & SOFT FURNISHINGS,11/8/18,,Fire Stations (South West),Furniture & Soft Furnishings
TK124387,800121293,THOMAS KNEALE & CO LTD,7,10.89,BEDS & SOFT FURNISHINGS,11/8/18,,Fire Stations (South West),Furniture & Soft Furnishings
TK124387,800121293,THOMAS KNEALE & CO LTD,8,0.99,BEDS & SOFT FURNISHINGS,11/8/18,,Fire Stations (South West),Furniture & Soft Furnishings
