Ref No,Contract Title,Directorate,Department,Team Name,Contract Owner,CPS allocated to,Term Contract,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
6048,Vehicle Glass Replacement & Repair,Corporate Services Directorate,Procurement,Vehicle Administration,Floyd Phillip,Hitesh Mistry,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 40,000","£ 40,000",£ 0,24,No,No,Budget Holder Approval,,01/06/2017,01/06/2019,,, Nationwide Windscreen Services
6047,Asbestos Management Services ,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Lloyd Bentley,Michael McCarthy,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 117,223","£ 117,223",£ 0,10,Yes,Yes,Delegated Authority,,01/06/2017,01/04/2018,05/04/2018,04/03/2019, Gradient Consultancy Ltd
6044,Replacement of Extended Duration Breathing Apparatus (EDBA) Cylinders,Corporate Services Directorate,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Anouska Herman,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 500,000","£ 400,000","£ 100,000",60,No,No,Budget Holder Approval,Devon/Somerset Fire & Rescue Service Ref DS 072-11,12/07/2017,12/07/2022,,," Draeger Safety UK Ltd,              "
6040,The Provision and Supply of Smoke Alarms and Related Products,Operations Directorate,Fire Safety (Regulatory and Community),CS Policy and Projects,Mark Hazelton,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,48,No,No,Delegated Authority,,01/11/2017,01/11/2021,,, Sprue
6039,Lease Cars,Corporate Services Directorate,Procurement,Vehicle Administration,Floyd Phillip,Hitesh Mistry,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 4,000,000","£ 4,000,000",£ 0,36,No,No,Budget Holder Approval,Halton Housing Framework,01/10/2017,01/10/2020,,," Days Fleet, Automotive Leasing, Daimler, Lex Autoleasing"
6035,Electric Vehicle Chargepoints,Corporate Services Directorate,Procurement,Contracts Management Group,Sandra Headlam,Robert Fisher,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 387,912","£ 387,912",£ 0,48,No,No,Delegated Authority,ESPO - 636 - Vehicle Charging Infrastructure,01/04/2018,31/03/2022,,, Chargemaster Plc  
6031,Aztec - Support Contract,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,Yes,No,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,36,No,No,Delegated Authority,,01/04/2017,01/04/2020,,, Aztec
6029,Assessment Management Tool,Corporate Services Directorate,People Services,Talent & Recruitment,Thomas Houghton,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 29,680","£ 35,000","(£ 5,320)",25,No,No,Budget Holder Approval,G-cloud 9,26/02/2018,22/04/2020,,, Skillset Ltd
6025,Supply of Electricity and Ancilliary Services,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Lloyd Bentley,Gillian Maxwell,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 1,000,000","£ 1,000,000",£ 0,60,No,No,Delegated Authority,CCS ,01/04/2016,31/03/2020,,, EDF Energy
6017,LFB Training Centre - Communications Consultant,Corporate Services Directorate,Technical and Service Support,Property Supply Chain Management,Rupert Palmer,Michael McCarthy,No,No,Yes,No,Goods/Service,Expenditure,"£ 39,662","£ 20,000","£ 19,662",33,No,No,Committee Decision,,08/06/2017,08/03/2020,,, SP Broadway Ltd  
6010,Provision of Occupational Health Services,Corporate Services Directorate,People Services,Wellbeing,David Amis,Gillian Maxwell,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 6,000,000","£ 6,000,000",£ 0,36,No,No,Committee Decision,,05/03/2018,05/03/2021,,, HML Ltd
6006,Esri Gazetteer Support,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 65,000","£ 65,000",£ 0,36,No,No,Budget Holder Approval,,01/05/2017,01/05/2020,,, ESRI Ltd
6002,ICT Training Passport,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Robert Fisher,No,No,Yes,No,Goods/Service,Expenditure,"£ 25,000","£ 25,000",£ 0,48,No,No,Budget Holder Approval,TfL 90805 Desktop and Specialist IT,01/12/2017,30/11/2021,,, QA Ltd
5999,SharePoint Platform Support,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 147,876","£ 60,000","£ 87,876",12,No,No,Budget Holder Approval,Gcloud 9,20/11/2017,20/11/2019,,, Silversands Limited
5986,Moore Stephens Application Support,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 626,806","£ 626,806",£ 0,36,No,No,Budget Holder Approval,,01/04/2017,01/04/2020,,, Moore Stephens LLP
5984,Atkins Support and Development,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 385,082","£ 2,560,000","(£ 2,174,918)",36,Yes,No,Budget Holder Approval,,01/04/2017,01/04/2018,01/04/2018,31/03/2020," Atkins PLC, Atkins Global"
5983,Microsoft EA Renewal(s),Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 3,308,762","£ 2,000,000","£ 1,308,762",36,No,No,Budget Holder Approval,,11/12/2017,11/12/2020,,, Phoenix Software
5982,Microsoft Premier Support,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella,No,No,Yes,No,Goods/Service,Expenditure,"£ 55,000","£ 55,000",£ 0,12,No,No,Budget Holder Approval,,01/04/2017,31/03/2019,,, Microsoft
5979,Citrix – License Increase for email,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Christopher Yiangou,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 43,000","£ 43,000",£ 0,24,No,No,Budget Holder Approval,,13/03/2017,01/02/2020,,, Insight Direct (UK) Limited
5978,Renewal of franking machine,Corporate Services Directorate,Information and Communications Technology ,Business Intelligence,David Morris,Dean Kinsella,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 23,000","£ 23,000",£ 0,60,No,No,Head of Procurement approval for single tender action,,23/03/2017,23/03/2022,,, Pitney Bowes
5971,Cardinus Risk Management,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 30,000","£ 30,000",£ 0,36,No,No,Budget Holder Approval,TP2,03/02/2017,03/02/2020,,, Cardinus
5964,Multi-Disciplinary Professional Services Framework,Corporate Services Directorate,Technical and Service Support,Property Supply Chain Management,Rupert Palmer,Michael McCarthy,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 3,500,000","£ 3,500,000",£ 0,48,No,No,Committee Decision,,09/10/2017,09/10/2021,,," The Fulker Consultancy Ltd, Currie & Brown UK Ltd , Frankham Consultancy Group Ltd "
5959,Citrix Renewal,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Christopher Yiangou,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 465,000","£ 150,000","£ 315,000",36,No,No,Delegated Authority,Technology Products 2,01/02/2017,01/02/2020,,, Insight Direct
5956,"The Provision of Planned And Reactive Maintenance Work For Appliance Bay Doors, Gates, Barriers And Drill Tower Grills And Shutters ",Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 1,640,000","£ 1,875,000","(£ 235,000)",36,No,No,Committee Decision,,17/06/2017,16/06/2020,,, Arkas Limited 
5953,Control Room Video Wallboard Display,Corporate Services Directorate,Information and Communications Technology ,Brigade Control Management Team,Scott Hayward,Anouska Herman,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 116,000","£ 84,796","£ 31,204",36,No,No,Budget Holder Approval,,24/03/2018,24/03/2021,,, Christie Digital 
5950,E-Recruitment system,Corporate Services Directorate,People Services,HR Services,Keeley Robinson,Dean Kinsella,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 80,000","£ 80,000",£ 0,60,No,No,Budget Holder Approval,,01/04/2017,01/04/2022,,, lumesse
5943,Airwave,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 1,530,000","£ 1,530,000",£ 0,36,No,No,Budget Holder Approval,Local Government Radio,01/04/2018,01/04/2021,,,Airwaves Solutions Ltd 
5937,Mobile Telephony,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Joseph Newton,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 486,816","£ 100,000","£ 386,816",24,No,No,Budget Holder Approval,,01/04/2018,31/03/2020,,, vodafone
5935,Trend ScanMail for MS Exchange Suite Licence,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 13,789","£ 13,789",£ 0,12,No,No,Budget Holder Approval,RM3733 Technology Products 2,01/12/2016,01/12/2019,,, Phoenix
5930,SafeEnd security renewal,Corporate Services Directorate,Information and Communications Technology ,Security,Ashley Woodhams,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 11,419","£ 15,000","(£ 3,581)",32,No,No,Budget Holder Approval,,31/12/2016,31/08/2019,,, Capita
5925,Multi Function Devices,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Hitesh Mistry,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 115,000","£ 115,000",£ 0,36,No,No,Budget Holder Approval,"Multifunctional Devices, Managed Print and Content Services and Records and Information Management",30/06/2017,30/06/2020,,, Canon
5924,Replacement/Upgrade of network security products,Corporate Services Directorate,Information and Communications Technology ,Network,Thomas Mohan,Joseph Newton,No,No,Yes,No,Goods/Service,Expenditure,"£ 508,176","£ 500,000","£ 8,176",36,No,No,Budget Holder Approval,,01/02/2017,01/02/2020,,, Bramble Hub Limited
5923,Trainee Firefighter Assessment and Selection (Initial Sift),Corporate Services Directorate,People Services,Talent & Recruitment,Thomas Houghton,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 36,900","£ 36,000",£ 900,36,No,No,Budget Holder Approval,,15/12/2016,14/12/2019,,, Assessment and Development Consultants 
5920,Replacement ICT Password Safe,Corporate Services Directorate,Information and Communications Technology ,Security,Ashley Woodhams,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 25,000","£ 80,000","(£ 55,000)",36,No,No,Budget Holder Approval,,01/02/2017,01/02/2020,,, Thycotic
5906,audience response system,Safety and Assurance Directorate,Operational Policy,Redbridge (Team),Frazer Ferguson,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 9,750","£ 9,750",£ 0,36,No,No,Budget Holder Approval,,01/11/2016,01/11/2019,,, Qwizdom UK Ltd
5905,Provision of Undress Uniform,Operations Directorate,Fire Stations,Central Operations Team,Richard Field,Anouska Herman,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 275,000","£ 275,000",£ 0,12,Yes,No,Head of Procurement approval for single tender action,,01/10/2016,01/10/2017,31/10/2018,30/10/2019, Waterfront Ltd
5902,Real Fire Training Venue Specialist,Corporate Services Directorate,Technical and Service Support,Estates & Major Works,Leah Armstrong,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 59,905",£ 0,"£ 59,905",10,Yes,No,Committee Decision,,01/08/2017,01/06/2018,01/06/2018,30/06/2019, Haagen Rookgeneratoren B.V 
5894,Design Team Services - Third Training Centre,Corporate Services Directorate,Technical and Service Support,Property Supply Chain Management,Rupert Palmer,Michael McCarthy,No,No,Yes,No,Goods/Service,Expenditure,"£ 170,475","£ 92,000","£ 78,475",26,No,No,Delegated Authority,HCA Multi-Disciplinary Panel,06/01/2017,06/10/2020,,, BDP
5893,Drugs and Alcohol screening,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Catherine Gibbs,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,36,No,No,Delegated Authority,,01/11/2016,31/10/2019,,, Alere Toxicology PLC
5892,NOGP - new website and online database,Safety and Assurance Directorate,Strategy and Risk,National Operational Guidance,Stephen Beakhust,Gillian Maxwell,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 160,000","£ 160,000",£ 0,18,Yes,No,Budget Holder Approval,,01/12/2016,01/06/2018,20/04/2017,19/04/2020, Panlogic Ltd
5886,Provision of Insurance Broking Services,Corporate Services Directorate,Finance,Accountancy & Treasury,Peter Risby,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 26,500","£ 45,000","(£ 18,500)",36,No,No,Delegated Authority,,01/07/2017,01/07/2020,,, Arthur J. Gallagher Insurance Brokers Limited
5885,Provision of PPE,Operations Directorate,Fire Stations,Central Operations Team,Richard Field,Anouska Herman,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 80,000,000","£ 80,000,000",£ 0,96,No,No,Delegated Authority,Kent PPE Framework,15/10/2018,15/10/2026,,, Bristol Uniforms
5884,Provision of Property and Estates Management Services,Corporate Services Directorate,Technical and Service Support,Estates & Major Works,Paul Greenwood,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 3,500,000","£ 3,000,000","£ 500,000",42,No,No,Committee Decision,,01/04/2017,01/10/2020,,, Dron & Wright
5873,Provision of Catering Services,Corporate Services Directorate,Technical and Service Support,Property Supply Chain Management,Paula Taylor,Gillian Maxwell,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 200,000","£ 200,000",£ 0,36,No,No,Budget Holder Approval,RM1056,01/04/2017,01/04/2020,,, ESS Government Services
5872,The Supply of Waste Management,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 1,686,000","£ 765,000","£ 921,000",36,No,No,Delegated Authority,,01/10/2017,01/10/2020,,, Bywaters (Leyton) Ltd  
5870,Transcription Services,Corporate Services Directorate,Procurement,Sustainable Development,Nicole Fletcher,Gillian Maxwell,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 6,000","£ 6,000",£ 0,36,No,No,Delegated Authority,TfL/91768 - Pan GLA Transcription and General Note Taking Services,01/07/2016,30/06/2019,,, WordWave International Ltd (T/A DTI)
5868,Non Emergency Telephony System,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 276,454","£ 276,454",£ 0,12,No,No,Delegated Authority,RM1045 Network Services,08/07/2016,31/07/2019,,, Unify Enterprise Communications Ltd
5860,Provision of aerial photography for use in brigade mapping applications,Corporate Services Directorate,Information and Communications Technology ,System Support & Improvement,Ramon Hooper,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 23,850","£ 30,000","(£ 6,150)",36,No,No,Budget Holder Approval,,01/09/2016,01/09/2019,,, Getmapping plc
5854,Supply Of Cleaning Services,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 6,578,895","£ 5,700,000","£ 878,895",36,No,No,Committee Decision,MOPAC- Building and Facilities Management Lot 1 ,08/10/2016,09/10/2019,,, Interserve (Facilities Management) Ltd
5851,Provision Of Inspection And Maintenance And Occasional Supply Of Gym Equipment,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 352,686","£ 450,000","(£ 97,314)",36,No,No,Committee Decision,MOPAC Miscellaneous repair and maintenance services,01/08/2016,01/08/2019,,, Sportsafe U.K Ltd
5850,Supply Of Planned And Reactive Grounds Maintenance Services,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Robert Fisher,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 586,660","£ 480,000","£ 106,660",36,No,No,Committee Decision,MOPAC- Building and Facilities Management Services ,01/08/2016,31/07/2019,,, G. Burley & Sons Limited.
5844,Sum Total Cyborg,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Lesley Troke,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 509,539","£ 500,000","£ 9,539",60,No,No,Head of Procurement approval for single tender action,,01/03/2016,01/03/2021,,, SumTotal Systems UK Limited
5842,"Annual hosting, support and maintenance of the PMF system",Safety and Assurance Directorate,Strategy and Risk,Strategy Risk and Engagement,Daniel Ingram,Dean Kinsella,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,24,Yes,No,Head of Procurement approval for single tender action,,01/06/2016,01/06/2018,31/05/2018,31/05/2019, 360 Systems Ltd
5840,Accident Reporting and Recording Software Replacment Provision  ,Safety and Assurance Directorate,Health and Safety,Health & Safety,Adrian Bevan,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 114,210","£ 30,000","£ 84,210",24,No,No,Delegated Authority,G Cloud 8 ,05/06/2017,05/06/2019,,, Rivo Software Limited 
5839,Supply of Stationery,Corporate Services Directorate,Procurement,Procurement Business Systems & Analytics,Asad khan,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 100,000","£ 100,000",£ 0,36,No,No,Delegated Authority,CCS RM3703,17/04/2017,17/04/2020,,, Banner Group
5835,Hyperconverged Infrastructure,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Christopher Yiangou,Gillian Maxwell,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 377,185","£ 300,000","£ 77,185",36,No,No,Budget Holder Approval,,14/11/2016,14/11/2019,,, XMA Limited
5817,Temporary Labour,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Simon Bampfylde,Robert Fisher,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 4,000,000","£ 4,000,000",£ 0,27,Yes,Yes,Delegated Authority,TfL/90747 Master Vendor for Supply of Temporary and Permanent Workers,01/02/2016,16/06/2018,16/06/2018,16/06/2019, Hays Specialist Recruitment Ltd
5810,"Direct Access Appliance Hardware, Configuration & Support",Corporate Services Directorate,Information and Communications Technology ,Technical Projects,Jeremy Sanders-Smith,Lesley Troke,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 29,630","£ 32,000","(£ 2,370)",36,Yes,No,Delegated Authority,,08/02/2016,07/02/2019,08/02/2019,07/02/2020, Risual Limited
5804,Chemical Protection Suits,Safety and Assurance Directorate,Operational Policy,Hazmat & Incident Comms Policy,Anthony Farrant,Gillian Maxwell,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 1,000,000","£ 1,000,000",£ 0,48,No,No,Budget Holder Approval,CFR1008/CPC ,06/06/2016,06/06/2020,,, Respirex International Ltd
5802,Cycle to Work Scheme,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Colman Donnelly,Michael McCarthy,Yes,Yes,Yes,No,Goods/Service,Income,"£ 3,000,000","£ 1,000,000","£ 2,000,000",48,No,No,Delegated Authority,,18/04/2017,18/04/2021,,, F.W. Evans Ltd 
5797,Replacement Ff Torches,Operations Directorate,Fire Stations,Leavers,Darren Levett,Anouska Herman,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 45,000","£ 45,000",£ 0,60,No,No,Delegated Authority,,22/07/2016,22/07/2021,,, Wolf Safety Lamp Company Ltd
5796,FIRE Bag,Safety and Assurance Directorate,Operational Policy,Fire Rescue Policy,Thomas Goodall,Hitesh Mistry,Yes,No,Yes,No,Works,Expenditure,"£ 32,976","£ 45,000","(£ 12,024)",60,No,No,Delegated Authority,,29/06/2016,29/06/2021,,, First Products (Sussex) Limited
5785,Provision of Medical Consumables,Safety and Assurance Directorate,Operational Policy,Commissioner & Directors,Richard Mills,Robert Fisher,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 200,000","£ 200,000",£ 0,48,No,No,Delegated Authority,"NATIONAL SUPPLY & DELIVERY OF FIRST AID & PHARMACEUTICALS, EMERGENCY LIFE SUPPORT & TRAINING EQUIPMENT AND ASSOCIATED PRODUCTS",11/04/2016,10/04/2020,,, Aero Healthcare Limited 
5781,"Maintenance of high pressure breathable oxygen and air compressors, high pressure pipework and associated distribution systems ",Corporate Services Directorate,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Gillian Maxwell,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 175,000","£ 300,000","(£ 125,000)",60,No,No,Budget Holder Approval,,16/09/2016,16/09/2021,,, Gas & Air Services (UK) Limited
5774,Audio and visual technical provision,Corporate Services Directorate,Communications,Ex temps (SPL ADMIN ONLY),Liz O'Hare,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 55,063","£ 50,000","£ 5,063",36,Yes,Yes,Delegated Authority,,01/03/2016,01/03/2019,01/03/2019,30/04/2019, CVS International 
5764,Replacement of N-Shield Connect,Corporate Services Directorate,Information and Communications Technology ,Server,Adrian Stewart,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 28,000","£ 28,000",£ 0,36,No,No,Head of Procurement approval for single tender action,,16/11/2015,16/11/2018,,, Thales E-Security
5760,Library Management System,Corporate Services Directorate,Information and Communications Technology ,Business Intelligence,Andrew Mobbs,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 35,550","£ 20,000","£ 15,550",60,No,No,Delegated Authority,,01/02/2016,31/01/2021,,, PTFS Europe Ltd
5757,Heavy Duty Lockers,Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 95,000","£ 95,000",£ 0,60,No,No,Delegated Authority,,01/03/2016,01/03/2021,,, Garran Lockers Limited
5755,Catering Consumables,Operations Directorate,Fire Stations,Fire Stations & Area Team Management,Andrew Roe,Anouska Herman,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 76,000","£ 190,000","(£ 114,000)",24,Yes,No,Delegated Authority,ESPO Light Catering Framework 97,25/07/2016,24/07/2018,25/07/2018,24/07/2020, NISBETS PLC
5754,Cleaning Consumables,Operations Directorate,Fire Stations,Fire Stations & Area Team Management,Andrew Roe,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 610,000","£ 610,000",£ 0,46,No,No,Delegated Authority,LCSG Framework Agreement for the Porvision of Cleaning Materials and Janitorial Products ,14/11/2016,31/08/2019,,, Greenham 
5752,Respiratory Protective Equipment (RPE) Replacement Components,Corporate Services Directorate,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Lesley Troke,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 2,000,000","£ 2,100,000","(£ 100,000)",60,No,No,Budget Holder Approval,,01/07/2016,01/07/2021,,, Draeger Limited
5750,Provision of Gas Automated Meter Reading (AMR) Services,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Lloyd Bentley,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,60,No,No,Delegated Authority,CCS Framework RM 896,01/04/2016,01/04/2021,,, Corona Energy
5749,Inspection of Fleet Vehicles,Corporate Services Directorate,Technical and Service Support,FLEET,Trevor Neal,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 140,000","£ 140,000",£ 0,36,No,No,Delegated Authority,,01/04/2016,01/04/2019,,, Applus Car Testing Service Ltd
5748,Property Integrator,Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 13,000,000","£ 13,000,000",£ 0,96,No,No,Delegated Authority,MOPAC Integrator,01/05/2016,30/04/2024,,, KBR Ltd
5739,Lone Worker Protection Services,Operations Directorate,Fire Safety (Regulatory and Community),FSR Policy Team,Philip Skelton,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 50,000","£ 80,000","(£ 30,000)",36,Yes,No,Budget Holder Approval,,04/01/2016,04/01/2019,04/01/2019,02/01/2020, Skyguard Limited
5736,Relocation of LFB Museum,Corporate Services Directorate,Technical and Service Support,Estates & Major Works,John Grey,Michael McCarthy,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 250,000","£ 250,000",£ 0,60,No,No,Committee Decision,,01/06/2016,01/06/2021,,," Premier Moves Ltd, Bishop's Move Ltd"
5732,Provision of Security Services,Corporate Services Directorate,Technical and Service Support,Estates & Major Works,Paul Greenwood,Michael McCarthy,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 640,000","£ 640,000",£ 0,36,Yes,Yes,Delegated Authority,CCS Framework 1056,01/01/2016,31/12/2018,01/01/2019,31/03/2019, Mitie Security Limited 
5723,Agreement for the Supply of Electronic Office Supplies ,Corporate Services Directorate,Procurement,Procurement Business Systems & Analytics,Asad khan,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 228,000","£ 344,000","(£ 116,000)",48,No,No,Budget Holder Approval,LCSG,31/05/2016,31/05/2020,,, Supplies Team T/A Banner
5719,Re-development of 8 Albert Embankment,Corporate Services Directorate,Technical and Service Support,Estates & Major Works,Rupert Palmer,Michael McCarthy,No,Yes,Yes,No,Works,Income,"£ 67,000,000","£ 50,000,000","£ 17,000,000",45,No,No,Committee Decision,,24/08/2016,24/05/2020,,, U and I Group PLC 
5707,Lay flat hose,Corporate Services Directorate,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Gillian Maxwell,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 300,000","£ 300,000",£ 0,35,Yes,No,Budget Holder Approval,YPO Framework ,01/11/2015,31/10/2018,01/11/2018,31/10/2019, Angus Fire
5706,"Operational research, including modelling, services ",Corporate Services Directorate,Information and Communications Technology ,ICT Management,David Wyatt,Gillian Maxwell,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,60,No,No,Budget Holder Approval,,05/11/2015,05/11/2020,,, Operational Research in Health Ltd (ORH)
5699,Provision of Internet Services,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke,Yes,No,Yes,Yes,Goods/Service,Expenditure,£ 0,"£ 1,800,000","(£ 1,800,000)",36,Yes,No,Committee Decision,CCS - PSN Services RM1498 Lot 1,13/07/2015,12/07/2018,13/07/2018,12/07/2019, British Telecommunications plc
5685,Provision of Journals,Corporate Services Directorate,Information and Communications Technology ,Business Intelligence,Andrew Mobbs,Dean Kinsella,No,No,Yes,Yes,Goods/Service,Expenditure,£ 0,"£ 21,000","(£ 21,000)",36,Yes,No,Budget Holder Approval,,19/01/2015,18/01/2018,19/01/2018,18/01/2019, Prenax Ltd
5672,Mobile Data Terminals and Other Devices for Vehicles and Fire Appliances,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,£ 0,"£ 2,540,000","(£ 2,540,000)",48,No,No,Committee Decision,"CCS Framework 
RM1054 Technology Products (Lot 1: Technology Hardware)",01/05/2015,30/04/2019,,," Specialist Computer Centres Plc, Insight Direct (UK) Ltd, ERGO Computing UK Ltd "
