Vendor Name, Batch Number,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department
VISTA LANDSCAPE MANAGEMENT LTD,141114C,120250,34,24.02,GROUNDS MAINTENANCE,20/11/2014,,Technical And Service Support
VISTA LANDSCAPE MANAGEMENT LTD,141114C,120250,35,23.34,GROUNDS MAINTENANCE,20/11/2014,,Technical And Service Support
VISTA LANDSCAPE MANAGEMENT LTD,141114C,120250,36,90.84,GROUNDS MAINTENANCE,20/11/2014,,Technical And Service Support
VISTA LANDSCAPE MANAGEMENT LTD,141114C,120250,37,132.3,GROUNDS MAINTENANCE,20/11/2014,,Technical And Service Support
VISTA LANDSCAPE MANAGEMENT LTD,141114C,120250,38,751.76,GROUNDS MAINTENANCE,20/11/2014,,Technical And Service Support
VISTA LANDSCAPE MANAGEMENT LTD,141114C,120250,39,72.18,GROUNDS MAINTENANCE,20/11/2014,,Technical And Service Support
VISTA LANDSCAPE MANAGEMENT LTD,141114C,120250,40,64.28,GROUNDS MAINTENANCE,20/11/2014,,Technical And Service Support
VISTA LANDSCAPE MANAGEMENT LTD,141114C,120250,41,29.26,GROUNDS MAINTENANCE,20/11/2014,,Technical And Service Support
SILVERSANDS LIMITED===========,031114G,121412,1,475,PURCHASES-SOFTWARE,06/11/2014,475,Information and Communication Technology
SILVERSANDS LIMITED===========,041114E,121413,1,"1,900.00",PURCHASES-SOFTWARE,10/11/2014,"1,900.00",Information and Communication Technology
SILVERSANDS LIMITED===========,061114E,121447,1,475,PURCHASES-SOFTWARE,20/11/2014,475,Information and Communication Technology
SILVERSANDS LIMITED===========,061114E,121450,1,950,PURCHASES-SOFTWARE,20/11/2014,950,Information and Communication Technology
SILVERSANDS LIMITED===========,061114E,121451,1,"4,750.00",PURCHASES-SOFTWARE,20/11/2014,"4,750.00",Information and Communication Technology
SILVERSANDS LIMITED===========,061114E,121452,1,950,PURCHASES-SOFTWARE,20/11/2014,950,Information and Communication Technology
SILVERSANDS LIMITED===========,061114E,121453,1,950,PURCHASES-SOFTWARE,13/11/2014,950,Information and Communication Technology
SILVERSANDS LIMITED===========,121114C,121459,1,"2,385.00",PURCHASES-SOFTWARE,17/11/2014,"4,682.50",Information and Communication Technology
SILVERSANDS LIMITED===========,121114C,121459,2,"1,900.00",PURCHASES-SOFTWARE,17/11/2014,,Information and Communication Technology
SILVERSANDS LIMITED===========,121114C,121459,3,397.5,PURCHASES-SOFTWARE,17/11/2014,,Information and Communication Technology
ROCOM,281014E,12547584,1,333.5,ACQUISITIONS,13/11/2014,343.45,Information and Communication Technology
ROCOM,281014E,12547584,2,9.95,ACQUISITIONS,13/11/2014,,Information and Communication Technology
GLASGOW CALEDONIAN UNIVERSITY,111114E,125835,1,"6,000.00",PROFESSIONAL DEVELOPMENT,17/11/2014,"6,000.00",Regulatory Fire Safety
COLLINS (CONTRACTORS) LTD=====,281014E,1308/14LFEP01,1,"9,079.00",STRATEGIC (NON CYCLICAL),03/11/2014,"9,079.00",Technical and Service Support
BDO LLP,141114C,1327297,1,"1,815.00",PROFESSIONAL SERVICES,20/11/2014,"1,815.00",Property PFI
SPECTRUM======================,101114G,1350,1,540,SPECIALIST EQUIPMENT,13/11/2014,540,Communications
AUDITMENTOR,181114E,1355,1,700,PROFESSIONAL DEVELOPMENT,24/11/2014,700,Procurement
*NPS (SHOES) LTD,800054365,13684,1,41.1,CLOTHING,06/11/2014,"1,894.45",Regulatory Fire Safety
*NPS (SHOES) LTD,800054365,13684,2,41.1,CLOTHING,06/11/2014,,Operations Non Fire Stations
*NPS (SHOES) LTD,800054365,13684,3,41.1,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,4,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,5,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,6,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,7,41.1,CLOTHING,06/11/2014,,Operations Non Fire Stations
*NPS (SHOES) LTD,800054365,13684,8,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,9,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,10,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,11,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,12,41.1,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,13,41.1,CLOTHING,06/11/2014,,Regulatory Fire Safety
*NPS (SHOES) LTD,800054365,13684,14,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,15,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,16,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,17,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,18,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,19,41.1,CLOTHING,06/11/2014,,Operational Resilience
*NPS (SHOES) LTD,800054365,13684,20,41.1,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,21,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,22,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,23,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,24,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,25,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,26,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,27,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,28,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,29,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,30,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,31,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,32,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,33,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,34,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,35,30.05,CLOTHING,06/11/2014,,Command Units
*NPS (SHOES) LTD,800054365,13684,36,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,37,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,38,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,39,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,40,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,41,35,CLOTHING,06/11/2014,,Command Units
*NPS (SHOES) LTD,800054365,13684,42,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,43,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,44,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,45,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,46,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,47,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,48,30.05,CLOTHING,06/11/2014,,Command Units
*NPS (SHOES) LTD,800054365,13684,49,30.05,CLOTHING,06/11/2014,,Regulatory Fire Safety
*NPS (SHOES) LTD,800054365,13684,50,30.05,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,51,34.4,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,52,34.4,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,53,41.1,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,54,35,CLOTHING,06/11/2014,,Operations Fire Stations
*NPS (SHOES) LTD,800054365,13684,55,41.1,CLOTHING,06/11/2014,,Regulatory Fire Safety
*NPS (SHOES) LTD,800054365,13684,56,28.45,CLOTHING,06/11/2014,,Operations Fire Stations
DIAMOND BUILD PLC=============,051114C,13753,1,"28,586.79",DEVELOPMENT  EXPENSES-CONTRACT,13/11/2014,"28,586.79",Technical and Service Support
DIAMOND BUILD PLC=============,141114C,13802,1,"11,626.12",DEVELOPMENT  EXPENSES-CONTRACT,20/11/2014,"11,626.12",Technical and Service Support
DIAMOND BUILD PLC=============,191114C,13810,1,"1,248.41",DEVELOPMENT  EXPENSES-CONTRACT,24/11/2014,"1,248.41",Technical and Service Support
JOHN BURKE ASSOCIATES,141114C,14-10/14562,1,"1,800.00",PROF FEES-MISCELLANEOUS,20/11/2014,"1,800.00",Technical and Service Support
BUREAU VERITAS HS&E LTD=======,311014C,14017024,1,"96,450.00",SCIENTIFIC SERVICES,10/11/2014,"96,450.00",Procurement
ATKINS LIMITED================,031114G,14029678,1,"1,428.00",CONSULTANTS,06/11/2014,"1,428.00",Information and Communication Technology
ATKINS LIMITED================,211114C,14031154,1,"49,008.25",MAINTENANCE & SUPPORT,27/11/2014,"49,008.25",Information and Communication Technology
KIER BUILDING SERV ENGINEERS==,051114C,14031210,1,"33,309.91",TACTICAL DAY TO DAY,13/11/2014,"69,095.32",Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14031210,2,530.65,TACTICAL DAY TO DAY,13/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14031210,3,"1,770.09",TACTICAL DAY TO DAY,13/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14031210,4,"1,909.13",TACTICAL DAY TO DAY,13/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14031210,5,"23,000.27",STRATEGIC (CYCLICAL),13/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14031210,6,"1,204.00",STRATEGIC (CYCLICAL),13/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14031210,7,"1,509.19",STRATEGIC (CYCLICAL),13/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14031210,8,"5,862.08",STRATEGIC (CYCLICAL),13/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14040868,1,"33,309.91",TACTICAL DAY TO DAY,27/11/2014,"71,549.32",Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14040868,2,530.65,TACTICAL DAY TO DAY,27/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14040868,3,"1,770.09",TACTICAL DAY TO DAY,27/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14040868,4,"1,909.13",TACTICAL DAY TO DAY,27/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14040868,5,"25,454.27",STRATEGIC (CYCLICAL),27/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14040868,6,"1,204.00",STRATEGIC (CYCLICAL),27/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14040868,7,"1,509.19",STRATEGIC (CYCLICAL),27/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14040868,8,"5,862.08",STRATEGIC (CYCLICAL),27/11/2014,,Technical And Service Support
KIER BUILDING SERV ENGINEERS==,051114C,14040873,1,"16,460.05",STRATEGIC (CYCLICAL),27/11/2014,"16,460.05",Technical And Service Support
CONCEPT SEARCHING LIMITED,191114C,1411-001,1,"1,275.00",PURCHASES-SOFTWARE,24/11/2014,"1,275.00",Information and Communication Technology
PA ASSOCIATES (UK) LTD========,051114C,14113,1,595,STRATEGIC (NON CYCLICAL),13/11/2014,595,Technical and Service Support
PA ASSOCIATES (UK) LTD========,051114C,14114,1,495,STRATEGIC (NON CYCLICAL),13/11/2014,495,Technical and Service Support
PA ASSOCIATES (UK) LTD========,051114C,14115,1,495,STRATEGIC (NON CYCLICAL),13/11/2014,495,Technical and Service Support
PA ASSOCIATES (UK) LTD========,051114C,14116,1,595,STRATEGIC (NON CYCLICAL),13/11/2014,595,Technical and Service Support
PA ASSOCIATES (UK) LTD========,051114C,14117,1,495,STRATEGIC (NON CYCLICAL),13/11/2014,495,Technical and Service Support
PA ASSOCIATES (UK) LTD========,051114C,14118,1,495,STRATEGIC (NON CYCLICAL),13/11/2014,495,Technical and Service Support
PA ASSOCIATES (UK) LTD========,051114C,14119,1,495,STRATEGIC (NON CYCLICAL),13/11/2014,495,Technical and Service Support
THAMES WATER UTILITIES LTD====,140861,1414076262Y,1,304.9,WATER & SEWERAGE RATES,13/11/2014,304.9,Technical And Service Support
SURREY BLIND & CURTAIN CO=====,281014C,14366,1,476,FIXTURES & FITTINGS,03/11/2014,724,Technical And Service Support
SURREY BLIND & CURTAIN CO=====,281014C,14366,2,248,FIXTURES & FITTINGS,03/11/2014,,Technical And Service Support
RESPIREX======================,061114C,148352,1,269.7,OPERATIONAL EQUIP-PURCHASE,13/11/2014,359.6,Hazmat Project
RESPIREX======================,061114C,148352,2,89.9,OPERATIONAL EQUIP-PURCHASE,13/11/2014,,Hazmat Project
RESPIREX======================,131114E,148731,1,39.67,REPAIR & MAINTENANCE,20/11/2014,462.61,Technical And Service Support
RESPIREX======================,131114E,148731,2,137.98,REPAIR & MAINTENANCE,20/11/2014,,Technical And Service Support
RESPIREX======================,131114E,148731,3,137.98,REPAIR & MAINTENANCE,20/11/2014,,Technical And Service Support
RESPIREX======================,131114E,148731,4,146.98,REPAIR & MAINTENANCE,20/11/2014,,Technical And Service Support
ROLFE CONTRACTING LIMITED,051114C,15135,1,"39,623.00",DEVELOPMENT  EXPENSES-CONTRACT,13/11/2014,"39,623.00",Technical and Service Support
UK TAPES LTD==================,171114C,152617,1,406.08,GENERAL CONSUMABLES,20/11/2014,406.08,Procurement
ROLFE CONTRACTING LIMITED,141114C,15265,1,"80,042.04",DEVELOPMENT  EXPENSES-CONTRACT,20/11/2014,"80,042.04",Technical and Service Support
THAMES WATER UTILITIES LTD====,140856,15604-20001J,1,"2,293.99",WATER & SEWERAGE RATES,06/11/2014,"2,293.99",Technical And Service Support
IRON MOUNTAIN (UK) LTD========,111114E,16189962,1,"2,457.37",MAINTENANCE & SUPPORT,20/11/2014,"2,457.37",Information and Communication Technology
THAMES WATER UTILITIES LTD====,140861,"1676658344,",1,369.45,WATER & SEWERAGE RATES,13/11/2014,369.45,Technical And Service Support
HARRIS INSTALLATION SERVICES,301014E,16962,1,305.15,REMOVALS,06/11/2014,305.15,Technical And Service Support
DRON & WRIGHT=================,051114C,17332,1,"4,166.66",PROFESSIONAL SERVICES,13/11/2014,"48,332.66",Technical And Service Support
DRON & WRIGHT=================,051114C,17332,2,742.5,PROFESSIONAL SERVICES,13/11/2014,,Technical And Service Support
DRON & WRIGHT=================,051114C,17332,3,485,PROFESSIONAL SERVICES,13/11/2014,,Technical And Service Support
DRON & WRIGHT=================,051114C,17332,4,600,PROFESSIONAL SERVICES,13/11/2014,,Technical And Service Support
DRON & WRIGHT=================,051114C,17332,5,740.4,DISPOSAL COSTS-ESTATES AGENTS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,6,825,DISPOSAL COSTS-ESTATES AGENTS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,7,"7,375.00",DISPOSAL COSTS-ESTATES AGENTS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,8,535,DISPOSAL COSTS-ESTATES AGENTS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,9,"1,160.00",DISPOSAL COSTS-ESTATES AGENTS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,10,665,DISPOSAL COSTS-ESTATES AGENTS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,11,720,DISPOSAL COSTS-ESTATES AGENTS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,12,"4,500.00",DISPOSAL COSTS-ESTATES AGENTS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,13,"1,690.00",DISPOSAL COSTS-ESTATES AGENTS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,14,"1,159.50",DISPOSAL COSTS-ESTATES AGENTS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,15,"10,193.89",PROFESSIONAL SERVICES,13/11/2014,,Technical And Service Support
DRON & WRIGHT=================,051114C,17332,16,"3,090.00",PROFESSIONAL SERVICES,13/11/2014,,Technical And Service Support
DRON & WRIGHT=================,051114C,17332,17,416.67,PROFESSIONAL SERVICES,13/11/2014,,Technical And Service Support
DRON & WRIGHT=================,051114C,17332,18,"8,644.80",DISPOSAL COSTS-ESTATES AGENTS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,19,35,PROF FEES-MISCELLANEOUS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,20,35,PROF FEES-MISCELLANEOUS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,21,181.69,PROF FEES-MISCELLANEOUS,13/11/2014,,Technical and Service Support
DRON & WRIGHT=================,051114C,17332,22,371.55,PROF FEES-MISCELLANEOUS,13/11/2014,,Technical and Service Support
EDF ENERGY===================,140862,1785676854,1,"1,124.13",ELECTRICITY,13/11/2014,"1,124.13",Technical And Service Support
EDF ENERGY===================,140862,1785907949,1,"2,631.80",ELECTRICITY,13/11/2014,"2,631.80",Technical And Service Support
EDF ENERGY===================,140862,1786209550,1,"8,017.05",ELECTRICITY,13/11/2014,"8,017.05",Technical And Service Support
EDF ENERGY===================,140862,1786484450,1,404.79,GAS,13/11/2014,"4,047.88",Technical And Service Support
EDF ENERGY===================,140862,1786484450,2,"3,643.09",ELECTRICITY,13/11/2014,,Technical And Service Support
EDF ENERGY===================,140862,1793376247,1,"10,025.17",ELECTRICITY,13/11/2014,"10,025.17",Technical And Service Support
GREATER LONDON AUTHORITY======,101114G,1800004399,1,"24,000.00",CONSULTANTS,27/11/2014,"24,000.00",Strategy & Performance
COMMUNITIES & LOCAL GOVERNMENT,061114C,1800020601,1,"122,993.53",RADIO,13/11/2014,"132,588.21",Information and Communication Technology
COMMUNITIES & LOCAL GOVERNMENT,061114C,1800020601,2,"8,416.82",RADIO,13/11/2014,,Information and Communication Technology
COMMUNITIES & LOCAL GOVERNMENT,061114C,1800020601,3,"1,177.86",RADIO,13/11/2014,,Information and Communication Technology
COMMUNITIES & LOCAL GOVERNMENT,141114C,1800020614,1,"66,728.28",RADIO,20/11/2014,"66,728.28",Information and Communication Technology
EDF ENERGY===================,140862,1813823642,1,"14,867.18",ELECTRICITY,13/11/2014,"14,867.18",Technical And Service Support
AFFINITY WATER,140850,18232122J,1,363.29,WATER & SEWERAGE RATES,03/11/2014,363.29,Technical And Service Support
CITYFLEET NETWORKS LTD,140871,182715,1,"1,898.09",PUBLIC TRANSPORT,24/11/2014,"1,898.09",Legal & Democratic Services
CITYFLEET NETWORKS LTD,041114E,189874,1,745.28,PUBLIC TRANSPORT,10/11/2014,745.28,Legal & Democratic Services
AFFINITY WATER,140870,1903824-9J,1,431.16,WATER & SEWERAGE RATES,20/11/2014,431.16,Technical And Service Support
COMPUTER CAB PLC==============,111114E,194324,1,258.5,PUBLIC TRANSPORT,17/11/2014,503.9,Community Safety Delivery
COMPUTER CAB PLC==============,111114E,194324,2,245.4,PUBLIC TRANSPORT,17/11/2014,,Community Safety Delivery
REGENT OFFICE CARE LTD========,141114C,19572,1,194.11,STRATEGIC (CYCLICAL),20/11/2014,"4,820.42",Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,2,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,3,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,4,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,5,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,6,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,7,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,8,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,9,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,10,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,11,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,12,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,13,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,14,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,15,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,16,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,17,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,18,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,19,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,20,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,21,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,22,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical And Service Support
REGENT OFFICE CARE LTD========,141114C,19572,23,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,24,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,25,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,26,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,19572,27,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
ENERGY AUDITING AGENCY LTD====,141114C,20142596,1,350,CONSULTANTS,20/11/2014,350,Technical And Service Support
ENERGY AUDITING AGENCY LTD====,141114C,20142597,1,350,CONSULTANTS,20/11/2014,350,Technical And Service Support
ENERGY AUDITING AGENCY LTD====,141114C,20142598,1,350,CONSULTANTS,20/11/2014,350,Technical And Service Support
ENERGY AUDITING AGENCY LTD====,141114C,20142599,1,350,CONSULTANTS,20/11/2014,350,Technical And Service Support
ENERGY AUDITING AGENCY LTD====,141114C,20142600,1,350,CONSULTANTS,20/11/2014,350,Technical And Service Support
ENERGY AUDITING AGENCY LTD====,141114C,20142603,1,825,CONSULTANTS,20/11/2014,825,Technical And Service Support
ENERGY AUDITING AGENCY LTD====,141114C,20142606,1,825,CONSULTANTS,20/11/2014,825,Technical And Service Support
CHAIN GANG,051114C,20498,1,426.15,POSTAL SERVICES,13/11/2014,426.15,Strategy & Performance
REGENT OFFICE CARE LTD========,141114C,20635,1,194.11,STRATEGIC (CYCLICAL),20/11/2014,"6,340.95",Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,2,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,3,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,4,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,5,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,6,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,7,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,8,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,9,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,10,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,11,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,12,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,13,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,14,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,15,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,16,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,17,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,18,161.76,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,19,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,20,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,21,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,22,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
REGENT OFFICE CARE LTD========,141114C,20635,23,194.11,STRATEGIC (CYCLICAL),20/11/2014,,Technical and Service Support
