Invoice Number, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
INV-051245,800111990,NPS SHOES LTD,INV-0512,45,33.00,CLOTHING,03/04/18,,Fire Stations (South East),Clothing
INV-051246,800111990,NPS SHOES LTD,INV-0512,46,33.00,CLOTHING,03/04/18,,Fire Stations (North West),Clothing
INV-051247,800111990,NPS SHOES LTD,INV-0512,47,33.00,CLOTHING,03/04/18,,Fire Stations (North East),Clothing
INV-051248,800111990,NPS SHOES LTD,INV-0512,48,33.00,FOOTWEAR,03/04/18,,Fire Stations (South East),Clothing
INV-051249,800111990,NPS SHOES LTD,INV-0512,49,33.00,FOOTWEAR,03/04/18,,Firefighter Trainees,Clothing
INV-051250,800111990,NPS SHOES LTD,INV-0512,50,33.00,CLOTHING,03/04/18,,Fire Stations (South West),Clothing
INV-051251,800111990,NPS SHOES LTD,INV-0512,51,33.00,CLOTHING,03/04/18,,Community Safety,Clothing
INV-051252,800111990,NPS SHOES LTD,INV-0512,52,33.00,CLOTHING,03/04/18,,Firefighter Trainees,Clothing
INV-051253,800111990,NPS SHOES LTD,INV-0512,53,33.00,FOOTWEAR,03/04/18,,Community Safety,Clothing
INV-051254,800111990,NPS SHOES LTD,INV-0512,54,33.00,FOOTWEAR,03/04/18,,Fire Stations (South West),Clothing
INV-051255,800111990,NPS SHOES LTD,INV-0512,55,66.00,CLOTHING,03/04/18,,Firefighter Trainees,Clothing
INV-051256,800111990,NPS SHOES LTD,INV-0512,56,33.00,FOOTWEAR,03/04/18,,Fire Stations (South West),Clothing
INV-051257,800111990,NPS SHOES LTD,INV-0512,57,33.25,FOOTWEAR,03/04/18,,Fire Stations (South East),Clothing
INV-051258,800111990,NPS SHOES LTD,INV-0512,58,33.25,CLOTHING,03/04/18,,Fire Safety Delivery,Clothing
INV-051259,800111990,NPS SHOES LTD,INV-0512,59,66.00,CLOTHING,03/04/18,,Firefighter Trainees,Clothing
INV-051260,800111990,NPS SHOES LTD,INV-0512,60,33.00,CLOTHING,03/04/18,,Firefighter Trainees,Clothing
INV-051261,800111990,NPS SHOES LTD,INV-0512,61,33.00,CLOTHING,03/04/18,,Fire Stations (North East),Clothing
INV-051262,800111990,NPS SHOES LTD,INV-0512,62,33.00,CLOTHING,03/04/18,,Community Safety,Clothing
INV-051263,800111990,NPS SHOES LTD,INV-0512,63,33.00,CLOTHING,03/04/18,,Fire Stations (South West),Clothing
INV-051264,800111990,NPS SHOES LTD,INV-0512,64,33.00,FOOTWEAR,03/04/18,,Firefighter Trainees,Clothing
INV-051265,800111990,NPS SHOES LTD,INV-0512,65,33.00,CLOTHING,03/04/18,,Firefighter Trainees,Clothing
INV-051266,800111990,NPS SHOES LTD,INV-0512,66,33.00,CLOTHING,03/04/18,,Firefighter Trainees,Clothing
INV-051267,800111990,NPS SHOES LTD,INV-0512,67,33.00,FOOTWEAR,03/04/18,,Fire Stations (South West),Clothing
INV-051268,800111990,NPS SHOES LTD,INV-0512,68,33.00,CLOTHING,03/04/18,,Fire Stations (South West),Clothing
INV-26201,220318K,ENERGY AUDITING AGENCY LTD,INV-2620,1,"9,750.00",PROFESSIONAL SERVICES,03/04/18,"9,750.00",Technical and Service Support,Consultancy
INV/286161,270318K,WALTER FRANK & SONS LIMITED,INV/28616,1,"1,858.50",OPERATIONAL EQUIP-PURCHASE,03/04/18,"5,895.00",Operational Policy,Fire & Rescue
INV/286162,270318K,WALTER FRANK & SONS LIMITED,INV/28616,2,"3,991.50",OPERATIONAL EQUIP-PURCHASE,03/04/18,,Operational Policy,Fire & Rescue
INV/286163,270318K,WALTER FRANK & SONS LIMITED,INV/28616,3,45.00,OPERATIONAL EQUIP-PURCHASE,03/04/18,,Operational Policy,Fire & Rescue
INV/286171,270318K,WALTER FRANK & SONS LIMITED,INV/28617,1,"1,239.00",OPERATIONAL EQUIP-PURCHASE,03/04/18,"1,239.00",Technical and Service Support,Fire & Rescue
INV/286491,270318K,WALTER FRANK & SONS LIMITED,INV/28649,1,619.50,OPERATIONAL EQUIP-PURCHASE,03/04/18,619.50,Technical and Service Support,Fire & Rescue
INV/286581,270318K,WALTER FRANK & SONS LIMITED,INV/28658,1,"1,330.50",OPERATIONAL EQUIP-PURCHASE,03/04/18,"1,355.50",Technical and Service Support,Fire & Rescue
INV/286582,270318K,WALTER FRANK & SONS LIMITED,INV/28658,2,25.00,OPERATIONAL EQUIP-PURCHASE,03/04/18,,Technical and Service Support,Fire & Rescue
INV018595661,190318F,SOFTCAT LIMITED,INV01859566,1,825.00,GENERAL,03/04/18,825.00,Information and Communication Technology,Consultancy
JS570171R1,800112937,JACKSON LIFT GROUP,JS570171R,1,990.00,REACTIVE LIFTS,03/04/18,990.00,Technical and Service Support,Facilities & Management Services
LFB/HAR/0031,280318K,SMITH O'SULLIVAN LTD,LFB/HAR/003,1,"5,828.64",PLANNED BUILDING DECORATIONS,03/04/18,"5,828.64",Technical and Service Support,Works - Construction
LFB/WES/0051,270318K,SMITH O'SULLIVAN LTD,LFB/WES/005,1,"1,004.13",PLANNED BUILDING DECORATIONS,03/04/18,"1,004.13",Technical and Service Support,Works - Construction
LFS1651,280318K,BANNER GROUP LIMITED,LFS165,1,777.00,PUBLIC RELATIONS,03/04/18,777.00,Procurement,Facilities & Management Services
MANFI153371,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,1,"1,594.54",PLANNED CLEANING,03/04/18,"106,341.24",Technical and Service Support,Cleaning & Janitorial
MANFI153372,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,2,766.68,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI153373,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,3,734.35,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI153374,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,4,754.67,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI153375,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,5,"1,315.67",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI153376,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,6,882.41,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI153377,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,7,619.64,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI153378,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,8,760.72,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI153379,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,9,"1,097.67",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533710,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,10,577.65,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533711,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,11,"1,400.89",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533712,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,12,523.83,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533713,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,13,"1,030.54",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533714,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,14,607.40,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533715,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,15,"2,058.99",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533716,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,16,783.15,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533717,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,17,"1,538.07",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533718,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,18,823.47,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533719,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,19,"1,848.82",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533720,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,20,808.87,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533721,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,21,787.14,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533722,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,22,577.23,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533723,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,23,"1,675.21",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533724,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,24,"2,738.18",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533725,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,25,52.30,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533726,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,26,157.55,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533727,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,27,757.02,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533728,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,28,949.53,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533729,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,29,"1,048.50",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533730,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,30,830.71,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533731,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,31,407.07,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533732,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,32,779.04,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533733,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,33,755.91,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533734,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,34,752.83,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533735,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,35,"1,843.05",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533736,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,36,951.08,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533737,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,37,"1,530.03",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533738,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,38,746.88,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533739,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,39,799.82,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533740,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,40,988.45,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533741,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,41,826.36,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533742,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,42,"1,641.15",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533743,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,43,585.26,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533744,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,44,"1,211.26",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533745,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,45,411.10,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533746,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,46,941.25,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533747,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,47,"1,240.67",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533748,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,48,"1,389.54",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533749,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,49,650.28,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533750,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,50,"1,122.31",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533751,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,51,747.65,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533752,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,52,"2,639.85",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533753,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,53,829.70,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533754,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,54,"1,696.83",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533755,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,55,749.70,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533756,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,56,66.19,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533757,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,57,"1,631.19",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533758,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,58,"1,139.11",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533759,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,59,759.73,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533760,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,60,801.85,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533761,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,61,853.51,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533762,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,62,895.78,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533763,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,63,400.93,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533764,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,64,"1,123.20",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533765,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,65,988.68,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533766,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,66,"1,129.03",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533767,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,67,582.07,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533768,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,68,759.78,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533769,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,69,"1,623.84",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533770,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,70,384.28,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533771,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,71,"1,225.08",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533772,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,72,"2,710.61",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533773,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,73,768.39,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533774,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,74,"1,555.87",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533775,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,75,"2,405.18",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533776,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,76,576.58,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533777,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,77,592.11,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533778,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,78,"1,204.47",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533779,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,79,794.49,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533780,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,80,619.01,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533781,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,81,"1,104.74",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533782,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,82,737.07,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533783,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,83,974.18,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533784,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,84,"1,622.34",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533785,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,85,18.64,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533786,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,86,9.54,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533787,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,87,496.86,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533788,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,88,"2,105.31",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533789,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,89,992.51,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533790,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,90,"1,570.91",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533791,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,91,124.91,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533792,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,92,788.45,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533793,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,93,"10,718.74",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533794,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,94,14.79,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533795,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,95,62.85,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533796,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,96,55.46,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533797,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,97,70.98,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533798,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,98,18.49,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI1533799,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,99,673.63,PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI15337100,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,100,"1,104.11",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI15337101,800111957,INTERSERVE ( FACILITIES MGMT),MANFI15337,101,"1,147.30",PLANNED CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI153381,800111969,INTERSERVE ( FACILITIES MGMT),MANFI15338,1,526.52,REACTIVE CLEANING,03/04/18,"1,160.11",Technical and Service Support,Cleaning & Janitorial
MANFI153382,800111969,INTERSERVE ( FACILITIES MGMT),MANFI15338,2,503.38,REACTIVE CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI153383,800111969,INTERSERVE ( FACILITIES MGMT),MANFI15338,3,13.09,REACTIVE CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI153384,800111969,INTERSERVE ( FACILITIES MGMT),MANFI15338,4,52.36,REACTIVE CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI153385,800111969,INTERSERVE ( FACILITIES MGMT),MANFI15338,5,26.18,REACTIVE CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MANFI153386,800111969,INTERSERVE ( FACILITIES MGMT),MANFI15338,6,38.58,REACTIVE CLEANING,03/04/18,,Technical and Service Support,Cleaning & Janitorial
MRI67149181,142207,LEX AUTOLEASE,MRI6714918,1,35.01,LEASE CAR CHARGES,03/04/18,"4,259.52",Procurement,Vehicle Management
MRI67149182,142207,LEX AUTOLEASE,MRI6714918,2,"4,224.51",P/PAYMTS-CAR LEASG-RENTAL,03/04/18,,Procurement,Vehicle Management
MRI67149183,142207,LEX AUTOLEASE,MRI6714918,3,-370.31,VAT CAR LEASING,03/04/18,,Finance Services,Vehicle Management
MRI67149184,142207,LEX AUTOLEASE,MRI6714918,4,370.31,LEASE CAR CHARGES,03/04/18,,Procurement,Vehicle Management
MRI67156151,142207,LEX AUTOLEASE,MRI6715615,1,117.25,LEASE CAR CHARGES,03/04/18,"4,755.24",Procurement,Vehicle Management
MRI67156152,142207,LEX AUTOLEASE,MRI6715615,2,"4,637.99",P/PAYMTS-CAR LEASG-RENTAL,03/04/18,,Procurement,Vehicle Management
MRI67156153,142207,LEX AUTOLEASE,MRI6715615,3,-421.60,VAT CAR LEASING,03/04/18,,Finance Services,Vehicle Management
MRI67156154,142207,LEX AUTOLEASE,MRI6715615,4,421.60,LEASE CAR CHARGES,03/04/18,,Procurement,Vehicle Management
MRI67159601,142207,LEX AUTOLEASE,MRI6715960,1,108.72,LEASE CAR CHARGES,03/04/18,"4,960.44",Procurement,Vehicle Management
MRI67159602,142207,LEX AUTOLEASE,MRI6715960,2,"4,851.72",P/PAYMTS-CAR LEASG-RENTAL,03/04/18,,Procurement,Vehicle Management
MRI67159603,142207,LEX AUTOLEASE,MRI6715960,3,-445.86,VAT CAR LEASING,03/04/18,,Finance Services,Vehicle Management
MRI67159604,142207,LEX AUTOLEASE,MRI6715960,4,445.86,LEASE CAR CHARGES,03/04/18,,Procurement,Vehicle Management
MRI67160701,142207,LEX AUTOLEASE,MRI6716070,1,174.96,LEASE CAR CHARGES,03/04/18,"4,561.56",Procurement,Vehicle Management
MRI67160702,142207,LEX AUTOLEASE,MRI6716070,2,"4,386.60",P/PAYMTS-CAR LEASG-RENTAL,03/04/18,,Procurement,Vehicle Management
MRI67160703,142207,LEX AUTOLEASE,MRI6716070,3,-400.01,VAT CAR LEASING,03/04/18,,Finance Services,Vehicle Management
MRI67160704,142207,LEX AUTOLEASE,MRI6716070,4,400.01,LEASE CAR CHARGES,03/04/18,,Procurement,Vehicle Management
MRI67164031,142207,LEX AUTOLEASE,MRI6716403,1,199.80,LEASE CAR CHARGES,03/04/18,"4,861.87",Procurement,Vehicle Management
MRI67164032,142207,LEX AUTOLEASE,MRI6716403,2,"4,662.07",P/PAYMTS-CAR LEASG-RENTAL,03/04/18,,Procurement,Vehicle Management
MRI67164033,142207,LEX AUTOLEASE,MRI6716403,3,-432.26,VAT CAR LEASING,03/04/18,,Finance Services,Vehicle Management
MRI67164034,142207,LEX AUTOLEASE,MRI6716403,4,432.26,LEASE CAR CHARGES,03/04/18,,Procurement,Vehicle Management
PI773991,280318K,PILLINGER CONTROLS LTD,PI77399,1,"4,869.43",REACTIVE SMALL WORKS AND PROJ,03/04/18,"4,869.43",Technical and Service Support,Works - Construction
PI774001,270318F,PILLINGER CONTROLS LTD,PI77400,1,"2,100.00",REACTIVE SMALL WORKS AND PROJ,03/04/18,"2,100.00",Technical and Service Support,Works - Construction
PI774011,270318F,PILLINGER CONTROLS LTD,PI77401,1,"2,100.00",REACTIVE SMALL WORKS AND PROJ,03/04/18,"2,100.00",Technical and Service Support,Works - Construction
PI774021,270318F,PILLINGER CONTROLS LTD,PI77402,1,525.00,REACTIVE SMALL WORKS AND PROJ,03/04/18,525.00,Technical and Service Support,Works - Construction
PSINV021038791,150318K,CDW LTD,PSINV02103879,1,"1,727.90",ACQUISITIONS,03/04/18,"1,727.90",Finance Services,ICT
PULL5171,280318K,PULLMAN MOTORS,PULL517,1,"1,800.00",OPERATIONAL EQUIP-PURCHASE,03/04/18,"1,800.00",Procurement,Fire & Rescue
PULL5191,280318K,PULLMAN MOTORS,PULL519,1,400.00,OPERATIONAL EQUIP-PURCHASE,03/04/18,400.00,Procurement,Fire & Rescue
SI0409301,270318K,SES WATER,SI040930,1,"1,152.00",CURRENT HYDRANT COSTS,03/04/18,"1,152.00",Procurement,Works - Construction
SI0409311,230318K,SES WATER,SI040931,1,"1,152.00",CURRENT HYDRANT COSTS,03/04/18,"1,152.00",Procurement,Works - Construction
