,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Department,Team Name,Contract Owner,CPS allocated to,Term Contract,OJEU,Awarded,Has ext option,Expired,Service Type,Budget Implications,Actual Cost,Est Cost ,Cost variance,Duration  (months),Extended,Ext post contract,Auth to tender,Framework agreement,Initial start date,Initial end date,Ext start date,Ext end date,Actual exp date,Contracts awarded to
5765,Replacement Boiler - North Kensington FS,Technical and Service Support,Property Project Delivery,Mahmoud Mokhtari,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 24,000","£ 24,000",£ 0,0,No,No,Delegated Authority,,16/11/2015,30/12/2015,,,30/12/2015, Cofely GDF Suez
5764,Replacement of N-Shield Connect,Information and Communications Technology ,Technical Design,Adrian Stewart,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 28,000","£ 28,000",£ 0,36,No,No,Head of Procurement approval for single tender action,,16/11/2015,16/11/2018,,,, Thales E-Security
5763,Replacement Heating System - Southall FS,Technical and Service Support,Property Project Delivery,David Attfield,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 212,813","£ 133,608","£ 79,205",3,No,No,Delegated Authority,,03/05/2016,03/08/2016,,,03/08/2016, BTU (Installation & Maintenance) Ltd 
5762,Fire Safety Works - Finchley and Mill Hill FStns ,Technical and Service Support,Property Project Delivery,David Attfield,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 87,494","£ 106,992","(£ 19,498)",2,No,No,Delegated Authority,,12/01/2016,23/02/2016,,,13/04/2016, Collins Contractors Ltd
5761,Fire Safety Works - Harrow and Northolt FStns,Technical and Service Support,Property Project Delivery,David Attfield,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 60,979","£ 73,288","(£ 12,309)",2,No,No,Delegated Authority,,12/01/2016,23/02/2016,,,13/04/2016, Collins Contractors Ltd
5760,Library Management System,Information and Communications Technology ,Business Intelligence,Andrew Mobbs,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 35,550","£ 20,000","£ 15,550",60,No,No,Delegated Authority,,01/02/2016,31/01/2021,,,, PTFS Europe Ltd
5759,Fire Safety Works - Hendon FS,Technical and Service Support,Property Project Delivery,David Attfield,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 41,265","£ 43,533","(£ 2,268)",1,No,No,Delegated Authority,,24/10/2016,19/11/2016,,,19/11/2016, Collins Contractors Ltd
5758,Footwear,Procurement,Corporate Procurement Services,Gillian Maxwell,Not allocated,,Yes,No,No,No,Goods/Service,Expenditure,,"£ 635,000",,60,No,No,Delegated Authority,,,,,,,
5757,Heavy Duty Lockers,Procurement,Corporate Procurement Services,Lesley Troke,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 95,000","£ 95,000",£ 0,60,No,No,Delegated Authority,,01/03/2016,01/03/2021,,,, Garran Lockers Limited
5755,Catering Consumables,Procurement,Corporate Procurement Services,Lesley Troke,Not allocated,,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 76,000","£ 190,000","(£ 114,000)",24,No,No,Delegated Authority,ESPO Light Catering Framework 97,22/07/2016,22/07/2018,,,, NISBETS PLC
5754,Cleaning Consumables,Procurement,Corporate Procurement Services,Robert Fisher,Robert Fisher,Yes,No,Yes,No,No,Goods/Service,Expenditure,"£ 610,000","£ 610,000",£ 0,46,No,No,Delegated Authority,LCSG Framework Agreement for the Porvision of Cleaning Materials and Janitorial Products ,14/11/2016,01/09/2019,,,, Greenham 
5752,Respiratory Protective Equipment (RPE) Replacement Components,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Not allocated,,Yes,Yes,No,No,Goods/Service,Expenditure,"£ 2,000,000","£ 2,100,000","(£ 100,000)",60,No,No,Budget Holder Approval,,01/07/2016,01/07/2021,,,, Draeger Limited
5751,Renewal of Rear Appliance Bay Doors - Harrow FS,Technical and Service Support,Property Project Delivery,John Bridger,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 49,298","£ 60,000","(£ 10,702)",1,No,No,Delegated Authority,,01/03/2016,29/03/2016,,,29/03/2016, Jewers Ltd
5750,Provision of Gas Automated Meter Reading (AMR) Services,Technical and Service Support,Property Operations Management,Lloyd Bentley,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,60,No,No,Delegated Authority,CCS Framework RM 896,01/04/2016,01/04/2021,,,, Corona Energy
5749,Inspection of Fleet Vehicles,Technical and Service Support,FLEET,Trevor Neal,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 140,000","£ 140,000",£ 0,36,No,No,Delegated Authority,,01/04/2016,01/04/2019,,,, Applus Car Testing Service Ltd
5748,Property Integrator,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,Yes,Yes,No,No,Goods/Service,Expenditure,"£ 13,000,000","£ 13,000,000",£ 0,96,No,No,Delegated Authority,MOPAC Integrator,03/11/2015,03/11/2023,,,, KBR Ltd
5747,LMS Review,Development and Training,Organisational Development,Peter Groves,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 45,000","£ 45,000",£ 0,1,No,No,Budget Holder Approval,,30/10/2015,30/11/2015,,,30/11/2015, Oxford Consulting & Learning Ltd
5746,Renewal of Front and Rear Appliance Bay Doors - Feltham FS,Technical and Service Support,Property Project Delivery,John Bridger,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 64,441","£ 70,000","(£ 5,559)",1,No,No,Delegated Authority,,01/03/2016,29/03/2016,,,29/03/2016, Arkas Ltd
5745,Professional services relating to Mansfield Street,Legal & Democratic Services,Corporate & Commercial,Karen Boother,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 12,125","£ 12,000",£ 125,2,No,No,Head of Procurement approval for single tender action,,01/11/2015,01/01/2016,,,31/12/2015, BRE Global Ltd
5744,Heating and Hot Water Building Services Works - Chingford FS,Technical and Service Support,Property Project Delivery,Gillian Hazlett,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 242,373","£ 205,737","£ 36,636",3,No,No,Committee Decision,,03/05/2016,03/08/2016,,,03/08/2016, REAM Contracts Ltd 
5743,Roof works - Ealing FS,Technical and Service Support,Property Operations Management,Stephen Skipper,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 138,145","£ 84,053","£ 54,092",2,No,No,Committee Decision,,18/12/2015,18/02/2016,,,18/02/2016, Heartfelt Roofing Ltd
5742,Humidifiers for Union Street,Technical and Service Support,Property Operations Management,Neville Harper,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 21,130","£ 21,130",£ 0,1,No,No,Head of Procurement approval for single tender action,,21/12/2015,29/01/2016,,,01/02/2016, Quantech Environmental Ltd
5741,Agreement for the supply of Interim Management Services by a Professional Services Ltd Company that has opted out of the Conduct of Employment Agencies and Employment Businesses Regulations 2003,Procurement,Contracts Management Group,Mark Atkinson,Not allocated,,No,Yes,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,12,Yes,No,Delegated Authority,,19/10/2015,18/10/2016,18/10/2016,30/04/2017,, Odgers Interim
5740,Roof works - Hillingdon FS,Technical and Service Support,Property Operations Management,Stephen Skipper,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 109,469","£ 158,220","(£ 48,751)",2,No,No,Committee Decision,,18/12/2015,18/02/2016,,,18/02/2016, Heartfelt Roofing Limited
5739,Lone Worker Protection Services,Fire Safety (Statutory and Community),FSR Policy Team,Philip Skelton,Not allocated,,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 50,000","£ 80,000","(£ 30,000)",36,No,No,Budget Holder Approval,,04/01/2016,04/01/2019,,,, Skyguard Limited
5738,"EUR IT Management, Delivery and Evaluation System",Operational Resilience,Emergency Planning,Mark Sawyer,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 79,900","£ 79,900",£ 0,16,No,No,Head of Procurement approval for single tender action,,19/10/2015,19/02/2017,,,19/02/2017, 4C Europe UK Ltd
5737,Fire Safety Works - Whitechapel FS,Technical and Service Support,Property Strategic Planning,Paula Taylor,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 72,106","£ 95,279","(£ 23,173)",2,No,No,Delegated Authority,,22/12/2015,08/03/2016,,,08/03/2016, Morrissey Electrical & Building Ltd
5736,Relocation of LFB Museum,Technical and Service Support,Property Strategic Planning,John Grey,Not allocated,,Yes,Yes,No,No,Goods/Service,Expenditure,"£ 250,000","£ 250,000",£ 0,60,No,No,Committee Decision,,01/06/2016,01/06/2021,,,," Premier Moves Ltd, Bishop's Move Ltd"
5735,L8 Water Risk Assessments,Technical and Service Support,Property Operations Management,Neville Harper,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 23,565","£ 120,000","(£ 96,435)",8,No,No,Delegated Authority,,01/03/2016,01/11/2016,,,01/11/2016, Oakleaf Surveying Ltd
5732,Provision of Security Services,Technical and Service Support,Property Strategic Planning,Paul Greenwood,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 640,000","£ 640,000",£ 0,36,No,No,Delegated Authority,CCS Framework 1056,01/01/2016,31/12/2018,,,, Mitie Security Limited 
5731,Fire Safety Works - Twickenham FS,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 31,820","£ 33,880","(£ 2,060)",1,No,No,Delegated Authority,,09/12/2015,09/01/2016,,,11/01/2016, B Nokes Contracts Ltd
5730,Fire Safety Works - Brixton FS,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 30,964","£ 40,645","(£ 9,681)",1,No,No,Delegated Authority,,09/12/2015,09/01/2016,,,11/01/2016, SW Bruce & Co Ltd
5729,Lift Refurbishment - Euston FS  ,Technical and Service Support,Property Project Delivery,John Bridger,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 55,323","£ 55,323",£ 0,2,No,No,Delegated Authority,,28/09/2015,28/11/2015,,,30/11/2015, Jackson Lift Services Ltd
5727,Fire Safety Works - Islington FS,Technical and Service Support,Property Strategic Planning,Paula Taylor,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 31,310","£ 31,310",£ 0,1,No,No,Delegated Authority,,06/11/2015,06/12/2015,,,21/12/2015, B Nokes Contracts Ltd
5726,Fire Safety Works - Ilford FS,Technical and Service Support,Property Strategic Planning,Paula Taylor,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 29,730","£ 29,730",£ 0,1,No,No,Delegated Authority,,06/11/2015,06/12/2015,,,21/12/2015, B Nokes Contracts Ltd
5725,Fire Safety Works - Hornchurch FS,Technical and Service Support,Property Strategic Planning,Paula Taylor,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 23,372","£ 23,372",£ 0,1,No,No,Delegated Authority,,12/11/2015,12/12/2015,,,21/12/2015, Lindfield Electrical Services Ltd
5724,Fire Safety Works - Woodford FS,Technical and Service Support,Property Strategic Planning,Paula Taylor,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 25,930","£ 32,615","(£ 6,685)",1,No,No,Delegated Authority,,11/01/2016,29/01/2016,,,29/01/2016, B Nokes Contracts Ltd
5723,Agreement for the Supply of Electronic Office Supplies ,Procurement,Leavers,Keith Cook,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 228,000","£ 344,000","(£ 116,000)",48,No,No,Budget Holder Approval,LCSG,31/05/2016,31/05/2020,,,, Supplies Team T/A Banner
5722,Redecorations Package 4 - South Small Sites,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,No,Works,Expenditure,"£ 386,295","£ 344,000","£ 42,295",28,No,No,Delegated Authority,LFB,11/12/2015,31/03/2018,,,," B Nokes Contracts Ltd , George Jones & Son (Contractors) Ltd"
5721,Redecorations Package 3 - South Large Sites,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,No,Works,Expenditure,"£ 1,218,440","£ 871,000","£ 347,440",28,No,No,Delegated Authority,LFB,11/12/2015,31/03/2018,,,," AD Construction Group, Collins Contractors Ltd, George Jones & Son (Contractors) Ltd, PJ Harte (Decorating Contractors) Ltd"
5720,Redecorations Package 2 - North Small Sites,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,No,Works,Expenditure,"£ 382,889","£ 350,000","£ 32,889",28,No,No,Delegated Authority,LFB,11/12/2015,31/03/2018,,,," B Nokes Contracts Ltd, Mulalley & Company Ltd, Smith & O'Sullivan Ltd"
5719,Re-development of 8 Albert Embankment,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,Yes,Yes,No,No,Works,Income,"£ 67,000,000","£ 50,000,000","£ 17,000,000",45,No,No,Committee Decision,,24/08/2016,24/05/2020,,,, U and I Group PLC 
5718,Re-decoration Framework Package 1 North Large,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,No,Works,Expenditure,"£ 599,760","£ 688,000","(£ 88,240)",28,No,No,Delegated Authority,LFB,11/12/2015,31/03/2018,,,," Collins Contractors Ltd, Mulalley & Company Ltd, Smith & O'Sullivan Ltd"
5717,Review of TCAP,Operational Resilience and Training Directorate,Personal Development,Rachel Wetheridge,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 31,600","£ 30,000","£ 1,600",1,No,No,Budget Holder Approval,,01/12/2015,08/01/2016,,,08/01/2016, Oxford Consulting & Learning Ltd
5715,Proposed Office Adaptations (for Advice and Counselling Service),Technical and Service Support,Property Project Delivery,David Attfield,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 74,125","£ 70,392","£ 3,733",2,No,No,Delegated Authority,,02/09/2015,23/10/2015,,,23/10/2015, Collins (Contractors) Ltd
5714,Kitchen Refurbishment - Hainault FS,Technical and Service Support,Property Strategic Planning,Paula Taylor,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 109,173","£ 100,203","£ 8,970",2,No,No,Delegated Authority,,23/10/2015,21/12/2015,,,04/01/2016, B Nokes Contracts Ltd
5712,Deed for Provision of Carbon Credits,Procurement,Sustainable Development,Nicole Fletcher,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 277,£ 277,£ 0,1,No,No,Budget Holder Approval,,18/02/2015,04/03/2015,,,04/03/2015, Carbon Footprint Ltd
5711,Consideration Valuation Report ,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 13,000","£ 13,000",£ 0,4,No,No,Standing Order,TfL/90748,01/07/2015,24/10/2015,,,24/10/2015, G.L.Hearn
5709,Fire Safety Works - Romford FS,Technical and Service Support,Property Strategic Planning,Paula Taylor,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 30,550","£ 33,000","(£ 2,450)",1,No,No,Delegated Authority,,02/09/2015,23/09/2015,,,30/10/2015, B Nokes Contracts Ltd
5708,Provision of Chilled Mains Drinking Water Dispenser Services,Technical and Service Support,Contracts Management Group,Timothy Crocker,Not allocated,,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 35,000","£ 35,000",£ 0,12,Yes,Yes,Delegated Authority,ESPO ref 900W,01/07/2015,30/06/2016,01/04/2017,31/10/2017,, Water Coolers Ltd T/A Maestro International
5707,Lay flat hose,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Not allocated,,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 300,000","£ 300,000",£ 0,35,No,No,Budget Holder Approval,YPO Framework ,01/11/2015,31/10/2018,,,, Angus Fire
5706,"Operational research, including modelling, services ",Information and Communications Technology ,Process & System Improvement Team,David Wyatt,Not allocated,,Yes,Yes,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,60,No,No,Budget Holder Approval,,05/11/2015,05/11/2020,,,, Operational Research in Health Ltd (ORH)
5705,Fire Safety Works,Technical and Service Support,Property Project Delivery,Gillian Hazlett,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 26,755","£ 30,000","(£ 3,245)",1,No,No,Delegated Authority,,03/08/2015,31/08/2015,,,18/11/2015, RJ Holland Ltd
5704,Replace Appliance Bay and Rear Extension - Bexley FS,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 162,687","£ 162,687",£ 0,1,No,No,Delegated Authority,,14/03/2016,14/04/2016,,,14/04/2016, Diamond Build Plc
5703,Fire Safety Works,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 47,824","£ 31,000","£ 16,824",1,No,No,Delegated Authority,,21/09/2015,24/10/2015,,,18/11/2015, Morrissey Electrical & Building Ltd
5701,Primary sponsorship for LFB's Fire Bike,"Operations, Prevention and Response",Commissioner & Directors,David Brown,Not allocated,,No,Yes,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,28,No,No,Budget Holder Approval,,01/06/2015,30/09/2017,,,, i3d Group Ltd
5700,2nd Phase of re-engineering of Gas Tight Suits,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 90,000","£ 90,000",£ 0,36,No,No,Head of Procurement approval for single tender action,,14/05/2015,13/05/2018,,,23/03/2017, Respirex International 
5699,Provision of Internet Services,Information and Communications Technology ,ICT Management,Julian Martin,Not allocated,,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 1,800,000","£ 1,800,000",£ 0,36,No,No,Committee Decision,CCS - PSN Services RM1498 Lot 1,13/07/2015,12/07/2018,,,, British Telecommunications plc
5698,Training venue hire,Fire Safety (Statutory and Community),FSR Policy Team,Susan Naylor,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,12,No,No,Budget Holder Approval,,01/06/2015,31/05/2016,,,31/05/2016, CCT Venues
5697,Segmentation services,Information and Communications Technology ,Business Intelligence,Andrew Mobbs,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,24,No,No,Budget Holder Approval,"CCS Data Access, Processing and Analytics framework contract (RM1016)",01/03/2015,28/02/2017,,,28/02/2017, Experian Limited
5696,CHP and PV Installation - Lewisham FS,Technical and Service Support,Property Operations Management,Lloyd Bentley,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 228,197","£ 213,000","£ 15,197",3,No,No,Delegated Authority,,24/08/2015,24/11/2015,,,24/11/2015, REAM Contracts Ltd
5694,Fire Safety Works,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 52,590","£ 60,000","(£ 7,410)",2,No,No,Delegated Authority,,01/09/2015,09/10/2015,,,18/11/2015, B. Nokes Contracts Ltd
5693,Consultancy Services for Control Room Data Sharing,Information and Communications Technology ,Brigade Control Management Team,Scott Hayward,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 33,000","£ 33,000",£ 0,36,No,No,Budget Holder Approval,CCS - Consultancy One RM1502 Lot 1,27/04/2015,26/04/2018,,,, Mott MacDonald Ltd
5692,Control Room (Contingency) Working Arrangements,Information and Communications Technology ,Control & Mobilising Services,David McGarry,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,12,No,No,Budget Holder Approval,,28/05/2014,31/05/2015,,,31/05/2015," Stoke on Trent and Staffordshire Fire and Rescue Authority, London Fire & Emergency Planning Authority, West Midlands Fire and Rescue Authority, North West Fire Control Ltd"
5691,Replacement of failed central heating boiler,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 18,784","£ 18,784",£ 0,1,No,No,Head of Procurement approval for single tender action,,27/04/2015,13/05/2015,,,13/05/2015, Moolands Ltd
5690,Consultancy Services For  Partnership Situational Awareness,"Operations, Prevention and Response",Emergency Planning,John Hetherington,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 49,995","£ 40,000","£ 9,995",36,No,No,Budget Holder Approval,CCS - Consultancy One RM1502 Lot 1,27/04/2015,26/04/2018,,,, Mott MacDonald Ltd
5689,Replacement ID Cards,Human Resources Management,HR Operations,Kelly Knight,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 30,180","£ 30,000",£ 180,0,No,No,Head of Procurement approval for single tender action,,27/05/2015,27/05/2015,,,30/10/2015, Databac
5688,Fire Safety Regulation- Managing Change Seminars,Fire Safety (Statutory and Community),FSR Management Group,Christopher Callow,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 19,750","£ 20,000",(£ 250),2,No,No,Head of Procurement approval for single tender action,,24/03/2015,24/05/2015,,,24/05/2015, Waverley Learning
5687,Contract for the Provision of Vehicle Glass Replacement and Repair Services,Procurement,Vehicle Administration,Floyd Phillip,Hitesh Mistry,Yes,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 40,000","£ 200,000","(£ 160,000)",26,No,No,Committee Decision,ESPO - 275,23/02/2015,30/04/2017,,,30/04/2017, Nationwide Windscreen Services
5686,Kitchen deep cleaning,Technical and Service Support,Contracts Management Group,Timothy Crocker,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 85,000","£ 85,000",£ 0,12,Yes,No,Budget Holder Approval,,15/05/2015,14/05/2016,31/07/2016,07/10/2016,07/10/2016, Regent Samsic London
5685,Provision of Journals,Information and Communications Technology ,Business Intelligence,Andrew Mobbs,Dean Kinsella,No,No,Yes,Yes,No,Goods/Service,Expenditure,£ 0,"£ 21,000","(£ 21,000)",36,No,No,Budget Holder Approval,,19/01/2015,18/01/2018,,,, Prenax Ltd
5684,Redecoration works,Technical and Service Support,Property Project Delivery,David Attfield,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 42,482","£ 68,000","(£ 25,518)",3,No,No,Delegated Authority,,23/03/2015,01/06/2015,,,01/06/2015, George Jones & Son (Contractors) Ltd
5681,Front and rear appliance bay doors,Technical and Service Support,Property Project Delivery,John Bridger,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 68,543","£ 75,000","(£ 6,457)",2,No,No,Delegated Authority,,01/06/2015,17/07/2015,,,30/10/2015, Arkas Ltd
5680,Refurbishment works,Technical and Service Support,Property Project Delivery,David Attfield,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 23,794","£ 31,741","(£ 7,947)",1,No,No,Delegated Authority,,18/03/2015,15/04/2015,,,15/04/2015, Collins (Contractors) Ltd
5679,Fire Safety Works,Technical and Service Support,Property Strategic Planning,Paula Taylor,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 28,050","£ 35,643","(£ 7,593)",2,No,No,Delegated Authority,,03/05/2015,15/06/2015,,,15/06/2015, B Nokes Contracts Ltd
5678,Balcony works project - Eltham FS,Technical and Service Support,Property Project Delivery,Gillian Hazlett,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 201,164","£ 295,000","(£ 93,836)",3,No,No,Delegated Authority,,19/10/2015,22/01/2016,,,22/01/2016, Diamond Build Plc
5677,Front and rear appliance bay doors,Technical and Service Support,Property Project Delivery,John Bridger,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 49,010","£ 60,000","(£ 10,990)",1,No,No,Delegated Authority,,26/05/2015,09/06/2015,,,09/06/2015, Jewers Doors Ltd
5676,Appliance Bay door,Technical and Service Support,Property Project Delivery,David Attfield,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 73,760","£ 186,533","(£ 112,773)",1,No,No,Delegated Authority,,10/06/2015,08/07/2015,,,08/07/2015, Arkas Ltd
5675,Fire safety works,Technical and Service Support,Property Strategic Planning,Paula Taylor,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 25,600","£ 32,148","(£ 6,548)",1,No,No,Delegated Authority,,04/03/2015,27/03/2015,,,27/03/2015, B Nokes Contracts Ltd
5674,Fire safety works,Technical and Service Support,Property Project Delivery,David Attfield,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 46,831","£ 59,800","(£ 12,969)",1,No,No,Delegated Authority,,16/02/2015,16/03/2015,,,16/03/2015, Collins (Contractors) Ltd
5673,Fire safety works,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 44,152","£ 49,912","(£ 5,760)",1,No,No,Delegated Authority,,01/09/2015,22/09/2015,,,18/11/2015, Waterhouse
5672,Mobile Data Terminals and Other Devices for Vehicles and Fire Appliances,Information and Communications Technology ,ICT Management,Julian Martin,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 2,540,000","£ 2,540,000",£ 0,48,No,No,Committee Decision,"CCS Framework 
RM1054 Technology Products (Lot 1: Technology Hardware)",01/05/2015,30/04/2019,,,," Specialist Computer Centres Plc, Insight Direct (UK) Ltd, ERGO Computing UK Ltd "
5671,Fire Engineering Services,Fire Safety (Statutory and Community),FSR Management Group,Lynsey Seal,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 13,540","£ 13,540",£ 0,3,No,No,Head of Procurement approval for single tender action,,20/02/2015,20/05/2015,,,20/05/2015, Brigly Fire
5670,The supply and maintenance of digital production printers ,Communications,Internal Communications and Events,Justina Leitao,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 60,000","£ 60,000",£ 0,36,No,No,Budget Holder Approval,,03/06/2015,02/06/2018,,,, Konica Minolta Ltd
5669,Space rationalisation Phase 3c,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 142,137","£ 148,000","(£ 5,863)",2,No,No,Budget Holder Approval,,20/03/2015,20/05/2015,,,20/05/2015, London Fit Out Ltd
5668,Fuel Cards and Associated Services Framework Agreement RM1027,Procurement,Contracts Management Group,Philip Foster,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 4,000,000","£ 4,000,000",£ 0,48,No,No,Committee Decision,CCS Framework (CCS ran call off competition),17/01/2015,16/01/2019,,,, ALLSTAR BUSINESS SOLUTIONS Ltd
5667,Paper Access Agreement - LCSG Framework,Procurement,Corporate Procurement Services,Gillian Maxwell,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Budget Holder Approval,,01/11/2014,31/10/2018,,,, Office Depot
5666,Redecoration works,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 39,598","£ 71,000","(£ 31,402)",2,No,No,Delegated Authority,,13/03/2015,08/05/2015,,,08/05/2015, George Jones & Son (Contractors) Ltd
5665,Space rationalisation project phase 3a and 3b,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 54,000","£ 54,000",£ 0,2,No,No,Head of Procurement approval for single tender action,,05/11/2014,24/12/2014,,,24/12/2014, London Fit Out Ltd
5664,Redecoration works,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 84,375","£ 150,000","(£ 65,625)",3,No,No,Delegated Authority,,21/03/2015,27/06/2015,,,27/06/2015, Architectural Decorators Ltd
5663,Redecoration works,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 88,200","£ 135,000","(£ 46,800)",3,No,No,Delegated Authority,,23/03/2015,29/06/2015,,,29/06/2015, Architectural Decorators Ltd
