 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,proclass,proclass
800118871,G BURLEY & SONS LTD,69490,100,5.78,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118871,G BURLEY & SONS LTD,69490,101,10.46,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118871,G BURLEY & SONS LTD,69490,102,6.22,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118871,G BURLEY & SONS LTD,69490,103,7.77,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118871,G BURLEY & SONS LTD,69490,104,0.94,PLANNED GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118871,G BURLEY & SONS LTD,69490,105,96.95,PLANNED GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,1,23.77,GROUNDS MAINTENANCE,06/09/18,"5,152.19",Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,2,121.71,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,3,42.63,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,4,21.60,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,5,16.10,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,6,59.62,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,7,46.49,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,8,13.43,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,9,26.24,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,10,54.49,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,11,20.15,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,12,75.82,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,13,95.13,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,14,41.65,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,15,23.77,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,16,121.71,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,17,42.63,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,18,5.94,PLANNED GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,19,46.23,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,20,82.72,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,21,34.37,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,22,65.49,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,23,12.37,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,24,26.31,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,25,69.13,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,26,24.29,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,27,26.77,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,28,96.91,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,29,10.39,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,30,30.66,PLANNED GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,31,30.92,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,32,49.48,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,33,24.48,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,34,34.78,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,35,42.34,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,36,21.77,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,37,16.24,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,38,22.71,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,39,29.41,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,40,11.84,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,41,56.33,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,42,6.51,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,43,60.55,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,44,16.92,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,45,7.40,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,46,16.41,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,47,19.57,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,48,22.28,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,49,62.95,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,50,105.54,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,51,131.56,PLANNED GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,52,6.70,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,53,30.14,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,54,27.57,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,55,26.77,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,56,53.24,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,57,25.89,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,58,52.09,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,59,18.06,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,60,25.72,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,61,21.60,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,62,55.46,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,63,82.92,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,64,34.06,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,65,50.79,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,66,130.56,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,67,65.65,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,68,225.42,PLANNED GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,69,14.46,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,70,22.25,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,71,20.56,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,72,18.25,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,73,26.60,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,74,47.13,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,75,18.55,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,76,28.27,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,77,40.50,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,78,19.16,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,79,50.64,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,80,23.18,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,81,57.15,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,82,26.53,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,83,22.80,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,84,60.15,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,85,419.46,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,86,129.90,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,87,19.54,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,88,34.00,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,89,34.54,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,90,305.43,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,91,13.71,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,92,15.20,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,93,95.63,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,94,49.06,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,95,29.19,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,96,23.24,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,97,25.50,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,98,16.10,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,99,76.75,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,100,31.55,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,101,109.65,PLANNED GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,102,28.42,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,103,21.08,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118414,G BURLEY & SONS LTD,69491,104,76.91,GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118424,G BURLEY & SONS LTD,69492,1,872.00,REACTIVE GROUNDS MAINTENANCE,06/09/18,946.00,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118424,G BURLEY & SONS LTD,69492,2,74.00,REACTIVE GROUNDS MAINTENANCE,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
290818V,CURRIE & BROWN UK LIMITED,7032771,1,"5,565.00",PROF FEES-MISCELLANEOUS,06/09/18,"5,565.00",Technical and Service Support,"Works - Construction, R&M","Works - Construction, R&M"
290818K,CURRIE & BROWN UK LIMITED,7033461,1,"1,855.00",PROF FEES-MISCELLANEOUS,06/09/18,"1,855.00",Technical and Service Support,"Works - Construction, R&M","Works - Construction, R&M"
030918K,E&S B DAVIS LTD,73,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North East),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,75,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,76,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North East),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,77,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North East),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,82,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (South West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,84,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (South East),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,85,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (South West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,86,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (South West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,87,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (South West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,88,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (South West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,89,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (South East),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,90,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,91,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,92,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,93,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North East),Fire & Rescue,Environmental Services
030918K,ARCO GROUP THE,933677113,1,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,358.02,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,2,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,3,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,4,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,5,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,6,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,7,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,8,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,9,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,10,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,11,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,12,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,13,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,14,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,15,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,16,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,17,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,18,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,19,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,20,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,21,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,22,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,23,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,24,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,25,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,26,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,ARCO GROUP THE,933677113,27,13.26,OPERATIONAL EQUIP-PURCHASE,06/09/18,,Fire Stations (South West),Fire & Rescue,Fire & Rescue
030918K,E&S B DAVIS LTD,94,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North West),Fire & Rescue,Environmental Services
300818F,SHARPE PRITCHARD,95345,1,"1,328.00",GENERAL,06/09/18,"1,328.00",Procurement,Consultancy,Legal Services
800118355,HAYS SPECIALIST RECRUITMENT,963704,1,514.92,FRS STAFF AGENCY,06/09/18,514.92,Management Support,Human Resources,Human Resources
800118353,HAYS SPECIALIST RECRUITMENT,963705,1,496.44,FRS STAFF AGENCY,06/09/18,496.44,Central Programme Office (CPO),Human Resources,Human Resources
800118380,HAYS SPECIALIST RECRUITMENT,963706,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118383,HAYS SPECIALIST RECRUITMENT,963707,1,"1,030.37",FRS STAFF AGENCY,06/09/18,"1,030.37",Communications,Human Resources,Human Resources
800118328,HAYS SPECIALIST RECRUITMENT,963708,1,496.44,FRS STAFF AGENCY,06/09/18,496.44,Management Support,Human Resources,Human Resources
800118357,HAYS SPECIALIST RECRUITMENT,963709,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Information and Communication Technology,Human Resources,Human Resources
800118382,HAYS SPECIALIST RECRUITMENT,963710,1,962.15,FRS STAFF AGENCY,06/09/18,962.15,People (CPO),Human Resources,Human Resources
800118322,HAYS SPECIALIST RECRUITMENT,963711,1,496.44,FRS STAFF AGENCY,06/09/18,496.44,Fire Stations (South West),Human Resources,Human Resources
800118348,HAYS SPECIALIST RECRUITMENT,963712,1,377.16,FRS STAFF AGENCY,06/09/18,377.16,Information and Communication Technology,Human Resources,Human Resources
800118379,HAYS SPECIALIST RECRUITMENT,963713,1,"1,414.11",FRS STAFF AGENCY,06/09/18,"1,414.11",Central Programme Office (CPO),Human Resources,Human Resources
800118334,HAYS SPECIALIST RECRUITMENT,963715,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118374,HAYS SPECIALIST RECRUITMENT,963716,1,739.20,FRS STAFF AGENCY,06/09/18,739.20,Strategy & Risk,Human Resources,Human Resources
800118385,HAYS SPECIALIST RECRUITMENT,963717,1,878.85,FRS STAFF AGENCY,06/09/18,878.85,Information and Communication Technology,Human Resources,Human Resources
800118384,HAYS SPECIALIST RECRUITMENT,963718,1,884.80,FRS STAFF AGENCY,06/09/18,884.80,Communications,Human Resources,Human Resources
800118324,HAYS SPECIALIST RECRUITMENT,963719,1,962.15,FRS STAFF AGENCY,06/09/18,962.15,Community Risk Programme (CPO),Human Resources,Human Resources
800118346,HAYS SPECIALIST RECRUITMENT,963720,1,739.20,FRS STAFF AGENCY,06/09/18,739.20,Operational Policy,Human Resources,Human Resources
800118347,HAYS SPECIALIST RECRUITMENT,963721,1,"1,146.94",FRS STAFF AGENCY,06/09/18,"1,146.94",Grenfell Investigation Team,Human Resources,Human Resources
