 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Pro Class
070115C,FLEXIFORM BUSINESS FURNITURE==,413717,1,528,PURCHASES-FURNITURE,12/01/2015,528,Technical and Service Support,Furniture
060115E,FLEXIFORM BUSINESS FURNITURE==,413718,1,"7,698.60",PURCHASES-FURNITURE,12/01/2015,"7,698.60",Technical and Service Support,Furniture
070115C,FLEXIFORM BUSINESS FURNITURE==,413719,1,"3,496.80",PURCHASES-FURNITURE,12/01/2015,"3,496.80",Technical and Service Support,Furniture
140916,MR STEVEN SNOWDEN,417653*,1,"3,000.00",COUNSELS FEES,12/01/2015,"3,000.00",Legal & Democratic Services,Legal Services
140916,MR JACK FERRO=================,419451*,1,800,COUNSELS FEES,12/01/2015,800,Legal & Democratic Services,Legal Services
140914,THAMES WATER UTILITIES LTD====,42153-20857M,1,350.57,WATER & SEWERAGE RATES,12/01/2015,350.57,Technical And Service Support,Utilities
060115E,MITIE SECURITY (LONDON) LTD===,45/573583,1,"11,340.00",PREMISES SECURITY,12/01/2015,"12,120.00",Business Continuity,Facilities & Management S
060115E,MITIE SECURITY (LONDON) LTD===,45/573583,2,780,PREMISES SECURITY,12/01/2015,,Business Continuity,Facilities & Management S
140916,THAMES WATER UTILITIES LTD====,45803-10009M,1,682.79,WATER & SEWERAGE RATES,12/01/2015,682.79,Technical And Service Support,Utilities
140916,THAMES WATER UTILITIES LTD====,47190-45186M,1,"1,839.44",WATER & SEWERAGE RATES,12/01/2015,"1,839.44",Technical And Service Support,Utilities
140914,THAMES WATER UTILITIES LTD====,6514996346+,1,253.43,WATER & SEWERAGE RATES,12/01/2015,253.43,Technical And Service Support,Utilities
140916,MR JOHN CAVANAGH==============,73816B,1,"4,015.00",COUNSELS FEES,12/01/2015,"4,015.00",Legal & Democratic Services,Legal Services
140914,THAMES WATER UTILITIES LTD====,79779-62312N,1,917.99,WATER & SEWERAGE RATES,12/01/2015,917.99,Technical And Service Support,Utilities
140916,THAMES WATER UTILITIES LTD====,86411-42518M,1,910.01,WATER & SEWERAGE RATES,12/01/2015,910.01,Technical And Service Support,Utilities
070115C,ROYAL MAIL (LONDON DIVISION)==,9048794965,1,"1,781.29",POSTAL SERVICES,12/01/2015,"1,950.00",Strategy & Performance,Mail Services
070115C,ROYAL MAIL (LONDON DIVISION)==,9048794965,2,168.71,POSTAL SERVICES,12/01/2015,,Strategy & Performance,Mail Services
070115C,WESTON DIGITAL TECHNOLOGIES===,91208,1,"3,740.43",MAINTENANCE & SUPPORT,12/01/2015,"3,740.43",Information and Communication Technology,ICT
140914,THAMES WATER UTILITIES LTD====,95992-95181M,1,374.16,WATER & SEWERAGE RATES,12/01/2015,374.16,Technical And Service Support,Utilities
060115E,PITNEY BOWES PURCHASE POWER,BC214808,1,"4,040.00",POSTAL SERVICES,12/01/2015,"4,040.00",Strategy & Performance,Mail Services
070115C,THAMES WATER UTILITIES LTD====,CBA1410822,1,"1,185.00",CURRENT HYDRANT COSTS,12/01/2015,"1,185.00",Operational Resilience,Utilities
070115C,THAMES WATER UTILITIES LTD====,CBA1411032,1,"1,185.00",CURRENT HYDRANT COSTS,12/01/2015,"1,185.00",Operational Resilience,Utilities
070115C,THAMES WATER UTILITIES LTD====,CBA1411036,1,"1,185.00",CURRENT HYDRANT COSTS,12/01/2015,"1,185.00",Operational Resilience,Utilities
070115C,THAMES WATER UTILITIES LTD====,CBA1411634,1,"1,185.00",CURRENT HYDRANT COSTS,12/01/2015,"1,185.00",Operational Resilience,Utilities
070115C,THAMES WATER UTILITIES LTD====,CBA1411635,1,436,CURRENT HYDRANT COSTS,12/01/2015,436,Operational Resilience,Utilities
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,1,473.16,FUEL,12/01/2015,"13,322.23",Operations Non Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,2,384.77,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,3,384.14,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,4,350.4,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,5,317.58,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,6,287.45,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,7,263.29,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,8,260.25,FUEL,12/01/2015,,Technical And Service Support,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,9,258.26,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,10,255.46,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,11,246.79,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,12,244.02,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,13,239.84,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,14,231.37,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,15,230.68,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,16,225.95,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,17,224.84,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,18,216.79,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,19,210.09,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,20,209.78,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,21,205.94,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,22,204.37,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,23,204.09,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,24,196.14,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,25,180.57,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,26,180.26,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,27,174.2,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,28,173.3,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,29,167.61,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,30,163.38,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,31,161.29,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,32,160.55,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,33,159.75,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,34,157.49,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,35,154.55,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,36,151.58,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,37,146.42,FUEL,12/01/2015,,Regulatory Fire Safety,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,38,143.36,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,39,143.31,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,40,141.1,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,41,140.12,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,42,139.22,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,43,137.8,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,44,135.57,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,45,129.41,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,46,124.09,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,47,120.95,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,48,120.73,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,49,115.68,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,50,115.1,FUEL,12/01/2015,,Procurement,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,51,113.59,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,52,112.72,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,53,112.5,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,54,109.05,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,55,105.95,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,56,105.2,FUEL,12/01/2015,,Operations Non Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,57,105.11,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,58,95.53,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,59,94.72,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,60,92.99,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,61,92.89,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,62,90.74,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,63,88.86,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,64,83.94,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,65,82.48,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,66,81.61,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,67,80.4,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,68,80.23,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,69,74.45,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,70,73.75,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,71,72.5,FUEL,12/01/2015,,Operational Resilience,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,72,70.72,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,73,70.09,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,74,67.78,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,75,67.59,FUEL,12/01/2015,,Command Units,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,76,65.39,FUEL,12/01/2015,,Operational Resilience,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,77,60.47,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,78,59.45,FUEL,12/01/2015,,Business Continuity,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,79,57.69,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,80,56.95,FUEL,12/01/2015,,Technical And Service Support,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,81,56.14,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,82,54.8,FUEL,12/01/2015,,Command Units,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,83,54.16,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,84,49.52,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,85,48.5,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,86,48.14,FUEL,12/01/2015,,Command Units,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,87,45.94,FUEL,12/01/2015,,Command Units,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,88,43.09,FUEL,12/01/2015,,Command Units,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,89,41.97,FUEL,12/01/2015,,Command Units,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,90,39.37,FUEL,12/01/2015,,Command Units,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,91,33.33,FUEL,12/01/2015,,Command Units,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,92,33.33,FUEL,12/01/2015,,Operational Procedures,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,93,31.67,FUEL,12/01/2015,,Operations Fire Stations,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,94,27.98,FUEL,12/01/2015,,Mobilising,Vehicle Management
800056972,ALLSTAR BUSINESS SOLUTIONS LTD,E2004045703,95,26.11,FUEL,12/01/2015,,CBRN RRT,Vehicle Management
070115C,KEY INDUSTRIAL EQUIPMENT LTD==,I0559075,1,188,OPERATIONAL EQUIP-PURCHASE,12/01/2015,376,Operations Fire Stations,Furniture
070115C,KEY INDUSTRIAL EQUIPMENT LTD==,I0559075,2,188,OPERATIONAL EQUIP-PURCHASE,12/01/2015,,Operations Fire Stations,Furniture
140916,QBE INSURANCE (EUROPE) LTD====,INSTALMENT 2 14/15,1,"165,000.00",INSURANCE CLAIMS,12/01/2015,"330,000.00",Procurement,Vehicle Management
140916,QBE INSURANCE (EUROPE) LTD====,INSTALMENT 2 14/15,2,"165,000.00",PAYMENTS IN ADVANCE,12/01/2015,,Do not include,Vehicle Management
060115E,BLUESKY SHAREPOINT CONSULTING,INV-1446,1,"20,400.00",CONSULTANTS,12/01/2015,"20,400.00",National Operational Guidance Project,Consultancy
070115C,ESTEEM SYSTEMS LTD============,OP/I081879,1,"22,383.00",MAINTENANCE & SUPPORT,12/01/2015,"22,383.00",Information and Communication Technology,ICT
070115C,KCOM GROUP====================,PA171778,1,"1,586.13",DEVELOPMT  EXP-COMPUTER CABLES,12/01/2015,"6,608.37",Technical and Service Support,ICT
070115C,KCOM GROUP====================,PA171778,2,"3,441.72",DEVELOPMT  EXP-COMPUTER CABLES,12/01/2015,,Technical and Service Support,ICT
070115C,KCOM GROUP====================,PA171778,3,718.52,DEVELOPMT  EXP-COMPUTER CABLES,12/01/2015,,Technical and Service Support,ICT
070115C,KCOM GROUP====================,PA171778,4,862,DEVELOPMT  EXP-COMPUTER CABLES,12/01/2015,,Technical and Service Support,ICT
070115C,KCOM GROUP====================,PA171780,1,"4,450.00",DEVELOPMENT  EXPENSES-CONTRACT,12/01/2015,"4,450.00",Property PFI,ICT
070115C,KCOM GROUP====================,PA171781,1,"1,137.00",DEVELOPMENT  EXPENSES-CONTRACT,12/01/2015,"1,137.00",Property PFI,ICT
070115C,KCOM GROUP====================,PA171782,1,642,DEVELOPMENT  EXPENSES-CONTRACT,12/01/2015,642,Property PFI,ICT
070115C,SAFETYNET SOLUTIONS LIMITED===,PSI-0024146,1,314.3,TACTICAL DAY TO DAY,12/01/2015,314.3,Technical And Service Support,Facilities & Management S
060115E,SECURITAS SECURITY SERVICES LT,S-SIN0291876,1,"94,944.96",GENERAL,12/01/2015,"94,944.96",Business Continuity,Fire & Rescue
070115C,HUNTER LODGE==================,SI-05684,1,"6,000.00",ADVERTISING,12/01/2015,"6,000.00",Business Continuity,Facilities & Management S
140920,THE SALVATION ARMY============,3/9/KG,1,"2,522.08",REFRESHMENTS,14/01/2015,"2,522.08",Operational Procedures,Social Community Care S&S
902487,OPENDNS INC,447428,1,"1,564.89",MAINTENANCE & SUPPORT,14/01/2015,"1,564.89",Information and Communication Technology,ICT
140921,PATTINSON BREWER==============,9534,1,"2,800.00",CLAIMANT COSTS AGREED,14/01/2015,"2,800.00",Legal & Democratic Services,Consultancy
140920,ROYAL MAIL (LONDON DIVISION)==,AD5834,1,620,POSTAL SERVICES,14/01/2015,620,Strategy & Performance,Mail Services
140920,JOHN TYLER====================,VAT-C141205,1,456,REFRESHMENTS,14/01/2015,456,Operational Procedures,Social Community Care S&S
080115E,GOVNET COMMUNICATIONS=========,76186,1,295,PROFESSIONAL DEVELOPMENT,15/01/2015,295,Operational Resilience,Human Resources
080115C,MOOLANDS LTD,1562,1,"3,170.00",STRATEGIC (NON CYCLICAL),15/01/2015,"3,170.00",Technical and Service Support,"Works - Construction, R&M"
080115C,MOOLANDS LTD,1583,1,755,STRATEGIC (CYCLICAL),15/01/2015,"7,550.00",Technical and Service Support,"Works - Construction, R&M"
080115C,MOOLANDS LTD,1583,2,755,STRATEGIC (CYCLICAL),15/01/2015,,Technical and Service Support,"Works - Construction, R&M"
080115C,MOOLANDS LTD,1583,3,755,STRATEGIC (CYCLICAL),15/01/2015,,Technical and Service Support,"Works - Construction, R&M"
080115C,MOOLANDS LTD,1583,4,755,STRATEGIC (CYCLICAL),15/01/2015,,Technical and Service Support,"Works - Construction, R&M"
080115C,MOOLANDS LTD,1583,5,755,STRATEGIC (CYCLICAL),15/01/2015,,Technical and Service Support,"Works - Construction, R&M"
080115C,MOOLANDS LTD,1583,6,755,STRATEGIC (CYCLICAL),15/01/2015,,Technical and Service Support,"Works - Construction, R&M"
080115C,MOOLANDS LTD,1583,7,755,STRATEGIC (CYCLICAL),15/01/2015,,Technical and Service Support,"Works - Construction, R&M"
080115C,MOOLANDS LTD,1583,8,755,STRATEGIC (CYCLICAL),15/01/2015,,Technical and Service Support,"Works - Construction, R&M"
080115C,MOOLANDS LTD,1583,9,755,STRATEGIC (CYCLICAL),15/01/2015,,Technical and Service Support,"Works - Construction, R&M"
080115C,MOOLANDS LTD,1583,10,755,STRATEGIC (CYCLICAL),15/01/2015,,Technical and Service Support,"Works - Construction, R&M"
140919,OGILVIE FLEET LTD=============,316186,1,355.22,LEASE CAR CHARGES,15/01/2015,355.22,Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,316186,2,-30.7,VAT CAR LEASING,15/01/2015,,Finance Services,Vehicle Management
140919,OGILVIE FLEET LTD=============,316186,3,30.7,LEASE CAR CHARGES,15/01/2015,,Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,316187,1,393.25,LEASE CAR CHARGES,15/01/2015,393.25,Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,316187,2,-34.53,VAT CAR LEASING,15/01/2015,,Finance Services,Vehicle Management
140919,OGILVIE FLEET LTD=============,316187,3,34.53,LEASE CAR CHARGES,15/01/2015,,Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,316188,1,286.81,LEASE CAR CHARGES,15/01/2015,286.81,Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,316188,2,-23.76,VAT CAR LEASING,15/01/2015,,Finance Services,Vehicle Management
140919,OGILVIE FLEET LTD=============,316188,3,23.76,LEASE CAR CHARGES,15/01/2015,,Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,317635,1,886.41,LEASE CAR CHARGES,15/01/2015,"4,313.88",Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,317635,2,"3,427.47",P/PAYMTS-CAR LEASG-RENTAL,15/01/2015,,Finance Services,Vehicle Management
140919,OGILVIE FLEET LTD=============,317635,3,-365.96,VAT CAR LEASING,15/01/2015,,Finance Services,Vehicle Management
140919,OGILVIE FLEET LTD=============,317635,4,365.96,LEASE CAR CHARGES,15/01/2015,,Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,317636,1,"1,081.75",LEASE CAR CHARGES,15/01/2015,"5,335.68",Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,317636,2,"4,253.93",P/PAYMTS-CAR LEASG-RENTAL,15/01/2015,,Finance Services,Vehicle Management
140919,OGILVIE FLEET LTD=============,317636,3,-464.35,VAT CAR LEASING,15/01/2015,,Finance Services,Vehicle Management
140919,OGILVIE FLEET LTD=============,317636,4,464.35,LEASE CAR CHARGES,15/01/2015,,Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,317637,1,"1,018.86",LEASE CAR CHARGES,15/01/2015,"5,312.64",Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,317637,2,"4,293.78",P/PAYMTS-CAR LEASG-RENTAL,15/01/2015,,Finance Services,Vehicle Management
140919,OGILVIE FLEET LTD=============,317637,3,-468.52,VAT CAR LEASING,15/01/2015,,Finance Services,Vehicle Management
140919,OGILVIE FLEET LTD=============,317637,4,468.52,LEASE CAR CHARGES,15/01/2015,,Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,317638,1,828.51,LEASE CAR CHARGES,15/01/2015,"3,927.36",Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,317638,2,"3,098.85",P/PAYMTS-CAR LEASG-RENTAL,15/01/2015,,Finance Services,Vehicle Management
140919,OGILVIE FLEET LTD=============,317638,3,-345.82,VAT CAR LEASING,15/01/2015,,Finance Services,Vehicle Management
140919,OGILVIE FLEET LTD=============,317638,4,345.82,LEASE CAR CHARGES,15/01/2015,,Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,317639,1,586.95,LEASE CAR CHARGES,15/01/2015,"3,400.56",Procurement,Vehicle Management
140919,OGILVIE FLEET LTD=============,317639,2,"2,813.61",P/PAYMTS-CAR LEASG-RENTAL,15/01/2015,,Finance Services,Vehicle Management
140919,OGILVIE FLEET LTD=============,317639,3,-286.31,VAT CAR LEASING,15/01/2015,,Finance Services,Vehicle Management
140919,OGILVIE FLEET LTD=============,317639,4,286.31,LEASE CAR CHARGES,15/01/2015,,Procurement,Vehicle Management
120115C,OPERATIONAL RESEARCH IN HEALTH,02A/LFB1/52,1,"3,800.00",CONSULTANTS,15/01/2015,"3,800.00",Strategy & Performance,Consultancy
140917,THAMES WATER UTILITIES LTD====,04230-30577K,1,"1,125.17",WATER & SEWERAGE RATES,15/01/2015,"1,125.17",Technical And Service Support,Utilities
080115C,HUNTER APPAREL SOLUTIONS LTD==,62,1,224.4,UNIFORMS - POMS,15/01/2015,748.9,Procurement,Clothing
080115C,HUNTER APPAREL SOLUTIONS LTD==,62,2,524.5,UNIFORMS - POMS,15/01/2015,,Procurement,Clothing
140919,ALPHABET (GB) LIMITED,106157,1,"1,268.46",LEASE CAR CHARGES,15/01/2015,"4,097.23",Procurement,Vehicle Management
140919,ALPHABET (GB) LIMITED,106157,2,"2,828.77",P/PAYMTS-CAR LEASG-RENTAL,15/01/2015,,Finance Services,Vehicle Management
140919,ALPHABET (GB) LIMITED,106157,3,-324.89,VAT CAR LEASING,15/01/2015,,Finance Services,Vehicle Management
140919,ALPHABET (GB) LIMITED,106157,4,324.89,LEASE CAR CHARGES,15/01/2015,,Procurement,Vehicle Management
140919,ALPHABET (GB) LIMITED,106376,1,"1,297.54",LEASE CAR CHARGES,15/01/2015,"4,228.60",Procurement,Vehicle Management
140919,ALPHABET (GB) LIMITED,106376,2,"2,931.06",P/PAYMTS-CAR LEASG-RENTAL,15/01/2015,,Finance Services,Vehicle Management
140919,ALPHABET (GB) LIMITED,106376,3,-363.8,VAT CAR LEASING,15/01/2015,,Finance Services,Vehicle Management
140919,ALPHABET (GB) LIMITED,106376,4,363.8,LEASE CAR CHARGES,15/01/2015,,Procurement,Vehicle Management
140919,ALPHABET (GB) LIMITED,106632,1,"1,273.17",LEASE CAR CHARGES,15/01/2015,"4,343.06",Procurement,Vehicle Management
140919,ALPHABET (GB) LIMITED,106632,2,"3,069.89",P/PAYMTS-CAR LEASG-RENTAL,15/01/2015,,Finance Services,Vehicle Management
