IncidentNumber,FinalDescription [at time of mobilisation],DDDateTimeOfCall,IncType,Motive,ActionParent [firefighting action],[Firefighting] Action,PropertyType,ParentPropertyType,PropertyClass,AtStopDamageSpreadSize,OrganisationName,OrganisationDetail,SaonDescription,StreetDescriptor,PostCode,IncGeo_BoroughName,IncGeo_WardName,LondonBorough,MainCause,LocationFireStarted,LocationOfFirestartOther,MainCauseGroup,IgnitionSourceGroup,WereActiveSafetySystemsPresent,NumberOfFireFightingSystems
129636131,BOILER ALIGHT,17/09/2013 13:28,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Hopscotch Nursery,,,Chevening Road,NW6 6DT,Brent,Queens Park,Outer London,Faulty leads to equipment or appliance,Utility room,,Faulty Appliance or Supply,Heating appliances,No,0
130431131,AFA ACTUATING,19/09/2013 09:49,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,,Manor Park Primary School,,,Greyhound Road,SM1 4AW,Sutton,Sutton Central,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
134360131,AFA ACTUATING,27/09/2013 17:22,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,St. Peters RC Primary School,,,Crescent Road,SE18 7BN,Greenwich,Woolwich Common,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
140570131,FIRE,10/10/2013 14:09,Primary Fire,Deliberate,"Water, soda acid, gas expulsion etc (water stored pressure)",Portable extinguishers,Secondary school,Education,Non Residential,Limited to room of origin,London Borough of Hounslow,,,Wood Lane,TW7 5ED,Hounslow,Osterley and Spring Grove,Outer London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Smoking related,No,0
140646131,COOKER ALIGHT AND AFA ACTUATING,10/10/2013 17:16,Primary Fire,Accidental,Water - from bucket/containers,Small means,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Loughborough Primary School,,,Minet Road,SW9 7UA,Lambeth,Coldharbour,Inner London,Unsafe use of equipment or appliance (heat source),Kitchen,,Human Element,Other item,No,0
142608131,FIRE ALARM ACTUATING,14/10/2013 19:12,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Teddies Nurseries Ltd,,,March Road,TW1 1BW,Richmond upon Thames,St. Margarets and North Twickenham,Outer London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
143463131,SMELL OF BURNING,16/10/2013 17:41,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Upminster Primary School,,,St. Marys Lane,RM14 3BS,Havering,Upminster,Outer London,Fault in equipment or appliance,Corridor/Hall,,Faulty Appliance or Supply,Heating appliances,No,0
145422131,AFA ACTUATING,21/10/2013 07:52,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Stockwell Park School Annexe,,,Dingley Lane,SW16 1AU,Lambeth,St. Leonard's,Inner London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
150789131,FIRE IN KITCHEN,31/10/2013 11:51,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,,,,,Oakington Manor Drive,HA9 6LU,Brent,Tokyngton,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
153125131,MATTRESS ALIGHT IN ROADWAY,04/11/2013 21:49,Primary Fire,Deliberate,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to item 1st ignited,Bishop Challoner Girls School,,,Lukin Street,E1 0AA,Tower Hamlets,Shadwell,Inner London,Heat source and combustibles brought together deliberately,Office,,Human Element,Matches and Candles,No,0
153966131,STRONG SMELL OF BURNING,06/11/2013 13:45,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Secondary school,Education,Non Residential,Limited to item 1st ignited,Christ's School,,,Queens Road,TW10 6HW,Richmond upon Thames,South Richmond,Outer London,Fault in equipment or appliance,Corridor/Hall,,Faulty Appliance or Supply,Lighting,Unknown,0
156726131,SMOKE ISSUING,12/11/2013 14:56,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,St. Ann's Road,N15 6DT,Haringey,St. Ann's,Inner London,Fault in equipment or appliance,Bathroom/Toilet,,Faulty Appliance or Supply,Heating appliances,No,0
156762131,AFA ACTUATING,12/11/2013 15:52,Primary Fire,Accidental,Extinguisher - other,Portable extinguishers,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Wimbledon Chase Middle School,,,Merton Hall Road,SW19 3QB,Merton,Dundonald,Outer London,"Other intentional burning, going out of control",Roof,,Human Element,Other item,No,0
157045131,AFA ACTUATING,13/11/2013 09:08,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Pre School/nursery ,Education,Non Residential,Limited to room of origin,,,,Cricketfield Road,E5 8NS,Hackney,Hackney Downs,Inner London,Cooking – other cooking,Kitchen,,Human Element,Kitchen appliances,No,0
159774131,AFA ACTUATING,19/11/2013 09:59,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Evelyn Grace Academy,,,Shakespeare Road,SE24 0QN,Lambeth,Coldharbour,Inner London,Unsafe use of equipment or appliance (heat source),Process/Production room,,Human Element,Other ignition source,No,0
161698131,AFA ACTUATING,23/11/2013 10:16,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Secondary school,Education,Non Residential,Limited to item 1st ignited,Bentley Wood High School,,,Binyon Crescent,HA7 3NA,Harrow,Stanmore Park,Outer London,"Overheating, unknown cause",Corridor/Hall,,Faulty Appliance or Supply,Lighting,No,0
162671131,SMOKE ISSUING FROM BOILER HOUSE,25/11/2013 14:48,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,City of London Boys School,,,Queen Victoria Street,EC4V 3AL,City of London,Queenhithe,Inner London,Fault in equipment or appliance,Boiler room,,Faulty Appliance or Supply,Electrical distribution,No,0
165926131,FIRE ALL OUT - BRIGADE REQUIRED,02/12/2013 11:06,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Noam Primary School,,,Forty Avenue,HA9 8JW,Brent,Preston,Outer London,Cooking – chip pan/deep fat fryer,Kitchen,,Human Element,Cooker,No,0
169977131,SMOKE ISSUING FROM ELECTRICITY CUPBOARD,11/12/2013 08:57,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Pelham Primary School,,,Southey Road,SW19 1NU,Merton,Abbey,Outer London,Faulty fuel supplies – Electricity,"Under stairs (enclosed, storage area)",,Faulty Appliance or Supply,Electrical distribution,No,0
171003131,FIRE,13/12/2013 14:10,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Long Lane Methodist Church,,,Long Lane,UB10 9PB,Hillingdon,Hillingdon East,Outer London,Fault in equipment or appliance,Other,classroom,Faulty Appliance or Supply,Lighting,No,0
172195131,AFA ACTUATING,16/12/2013 10:28,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Essex Primary School,,,Sheridan Road,E12 6QX,Newham,East Ham North,Inner London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
5745141,FIRE IN KITCHEN,15/01/2014 10:43,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Christ Church C E Primary School,,,Redhill Street,NW1 4BD,Camden,Regent's Park,Inner London,Fault in equipment or appliance,Kitchen,,Faulty Appliance or Supply,Kitchen appliances,No,0
6098141,AFA ACTUATING,16/01/2014 09:06,Primary Fire,Accidental,"Smothering - use of sand, earth, snow etc",Small means,Secondary school,Education,Non Residential,Limited to item 1st ignited,Whitgift School,,,Haling Park,CR2 6YT,Croydon,Waddon,Outer London,Unsafe use of heat source - due to knocking over,Other,Classroom,Human Element,Other item,Yes,1
6637141,FIRE,17/01/2014 15:37,Primary Fire,Accidental,Removal from/of heat source,Small means,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,St. Marys RC Primary School,,,Russell Road,SW19 1QL,Merton,Abbey,Outer London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
8573141,AFA ACTUATING,22/01/2014 14:24,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Heath House Preparatory School,,,Wemyss Road,SE3 0TG,Lewisham,Blackheath,Inner London,Fault in equipment or appliance,Store room,,Faulty Appliance or Supply,Lighting,No,0
8935141,SMELL OF BURNING IN PLANT ROOM,23/01/2014 14:16,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Sacred Heart RC Primary School,,,Roehampton Lane,SW15 5NX,Wandsworth,West Putney,Inner London,Faulty fuel supplies – Electricity,Power house/Plant/Generator,,Faulty Appliance or Supply,Electrical distribution,No,0
13452141,FIRE,03/02/2014 04:11,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to room of origin,Tolworth Girls School,,,Fullers Way North,KT6 7LQ,Kingston upon Thames,Tolworth and Hook Rise,Outer London,Combustible articles too close to heat source (or fire),Other,Class room,Human Element,Other ignition source,No,0
13491141,SMOKE ISSUING,03/02/2014 07:54,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,,Barking Abbey School,,,Sandringham Road,IG11 9AG,Barking and Dagenham,Longbridge,Outer London,Faulty fuel supplies – Electricity,Other,classroom,Faulty Appliance or Supply,Heating appliances,No,0
13954141,SMOKE IN CLASSROOM ON 1ST FLOOR,04/02/2014 10:11,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,King's College School,,,Southside Common,SW19 4TT,Merton,Village,Outer London,Faulty fuel supplies – Electricity,Meeting room,,Faulty Appliance or Supply,Lighting,No,0
14306141,FOUR PUMP FIRE,05/02/2014 05:24,Primary Fire,Accidental,Main branch/Jet (J),"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Roof space only,Tolworth Girls School,,,Fullers Way North,KT6 7LQ,Kingston upon Thames,Tolworth and Hook Rise,Outer London,Faulty fuel supplies – Electricity,Roof space,,Faulty Appliance or Supply,Electrical distribution,No,0
17375141,FIRE AND AFA ACTUATING,12/02/2014 13:36,Primary Fire,Accidental,"Water, soda acid, gas expulsion etc (water stored pressure)",Portable extinguishers,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,Green Lane,IG3 9LH,Redbridge,Goodmayes,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
17788141,SMELL OF UNKNOWN FUMES,13/02/2014 11:30,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,External roof only,Stanley Park Infant School,,,Stanley Park Road,SM5 3JL,Sutton,Carshalton South and Clockhouse,Outer London,Combustible articles too close to heat source (or fire),Roof space,,Human Element,Heating appliances,No,0
18416141,SMELL OF BURNING,14/02/2014 19:41,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Forest Healthcare Trust,,,Whipps Cross Road,E11 1NR,Waltham Forest,Forest,Outer London,Faulty fuel supplies – Electricity,Power house/Plant/Generator,,Faulty Appliance or Supply,Electrical distribution,No,0
26716141,SMELL OF BURNING INSIDE,05/03/2014 04:40,Primary Fire,Accidental,"Water, soda acid, gas expulsion etc (water stored pressure)",Portable extinguishers,Secondary school,Education,Non Residential,Limited to item 1st ignited,Prenderga St. Vale College,,,Elmira Street,SE13 7BN,Lewisham,Lewisham Central,Inner London,Unsafe use of heat source - due to unsafe disposal,Store room,,Human Element,Cooker,No,0
27723141,SMELL OF BURNING,07/03/2014 11:54,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Green Lane Primary School,,,Green Lane,KT4 8AS,Sutton,Worcester Park,Outer London,Faulty fuel supplies – Electricity,Utility room,,Faulty Appliance or Supply,Electrical distribution,No,0
28697141,AFA ACTUATING,09/03/2014 13:48,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Forest Hill Secondary School,,,Dacres Road,SE23 2XN,Lewisham,Perry Vale,Inner London,Combustible articles too close to heat source (or fire),Other,Changing room,Human Element,Heating appliances,No,0
29219141,AFA ACTUATING,10/03/2014 16:21,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Arnhem Wharf Primary School,,,Arnhem Place,E14 3RP,Tower Hamlets,Canary Wharf,Inner London,Fault in equipment or appliance,Not known,,Faulty Appliance or Supply,Lighting,No,0
29923141,FIRE,12/03/2014 09:59,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to room of origin,Highams Park School,,,Handsworth Avenue,E4 9PJ,Waltham Forest,Hatch Lane,Outer London,Accumulation of flammable material,Process/Production room,,Human Element,Other item,No,0
32485141,AFA ACTUATING - SMELL OF BURNING,17/03/2014 09:06,Primary Fire,Accidental,Hosereel (low pressure) (HR) - tank supply only,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,St. Augustines RC Junior School,,,Cranbrook Road,IG2 6RG,Redbridge,Barkingside,Outer London,"Overheating, unknown cause",Reception area,,Faulty Appliance or Supply,Electrical distribution,No,0
33342141,FIRE,18/03/2014 23:10,Primary Fire,Accidental,Main branch/Jet (J),"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to floor of origin (not whole building),Highgate Wood Secondary School,,,Montenotte Road,N8 8RN,Haringey,Crouch End,Inner London,Combustible articles too close to heat source (or fire),Other,Skip adjacent to building,Human Element,Other ignition source,No,0
34336141,SMOKE ISSUING,21/03/2014 11:13,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Ealing Hammersmith & West London College,,,Gliddon Road,W14 9BL,Hammersmith and Fulham,Avonmore and Brook Green,Inner London,"Overheating, unknown cause",Kitchen,,Faulty Appliance or Supply,White goods,No,0
35684141,AFA ACTUATING,24/03/2014 08:45,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,,St. Marks Church of England Academy,,,Acacia Road,CR4 1SF,Merton,Figge's Marsh,Outer London,Fault in equipment or appliance,Other,Classroom,Faulty Appliance or Supply,Other item,No,0
35752141,AFA ACTUATING,24/03/2014 11:17,Primary Fire,Accidental,Removal from/of heat source,Small means,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,St. Cyprian's Greek Orthodox Primary School,,,Springfield Road,CR7 8DZ,Croydon,Upper Norwood,Outer London,"Overheating, unknown cause",Boiler room,,Faulty Appliance or Supply,Heating appliances,No,0
36928141,FIRE,27/03/2014 06:50,Primary Fire,Accidental,Main branch/Jet (J),"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Fenstanton Junior School,,,Abbots Park,SW2 3PW,Lambeth,Tulse Hill,Inner London,Fault in equipment or appliance,Power house/Plant/Generator,,Faulty Appliance or Supply,Heating appliances,Yes,1
39457141,AFA ACTUATING,01/04/2014 12:28,Primary Fire,Deliberate,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Beachcroft School,,,Finchley Road,NW8 0NW,Westminster,Abbey Road,Inner London,Heat source and combustibles brought together deliberately,Corridor/Hall,,Human Element,Smoking related,No,0
40302141,AFA ACTUATING AND SMELL OF BURNING,03/04/2014 08:56,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,St. Clements & St. James C of E Primary School,,,Penzance Place,W11 4PG,Kensington and Chelsea,Norland,Inner London,"Overheating, unknown cause",Corridor/Hall,,Faulty Appliance or Supply,Electrical distribution,No,0
43690141,WINDOW FRAME ALIGHT,10/04/2014 19:39,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Pre School/nursery ,Education,Non Residential,Limited to room of origin,Rascals Nursery,,,Verulam Avenue,E17 8ER,Waltham Forest,Markhouse,Outer London,Unsafe use of equipment or appliance (heat source),Other,Window,Human Element,Heating appliances,No,0
50014141,FIRE,24/04/2014 13:24,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to room of origin,Trust Plus,,,St. Pauls Way,E3 4FT,Tower Hamlets,Mile End,Inner London,Fault in equipment or appliance,Other,Class room,Faulty Appliance or Supply,Other item,Yes,1
52852141,2 MATTRESSES ALIGHT,30/04/2014 19:27,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Gorringe Park Primary School,,,Sandy Lane,CR4 2YA,Merton,Figge's Marsh,Outer London,"Other intentional burning, going out of control",Other,outside of school,Human Element,Matches and Candles,No,0
56264141,OVEN ALIGHT,07/05/2014 10:51,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to room of origin,Holy Family Catholic School & Sixth Form,,,Shernhall Street,E17 9RT,Waltham Forest,Hoe Street,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
56668141,AFA ACTUATING,08/05/2014 09:43,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Bonneville Primary School,,,Bonneville Gardens,SW4 9LB,Lambeth,Clapham Common,Inner London,Combustible articles too close to heat source (or fire),Other,Classroom,Human Element,Heating appliances,No,0
57529141,FIRE IN BOILER ROOM,10/05/2014 07:35,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Secondary school,Education,Non Residential,Limited to item 1st ignited,Trinity Catholic Lower High School,,,Sydney Road,IG8 0TB,Redbridge,Monkhams,Outer London,Fault in equipment or appliance,Boiler room,,Faulty Appliance or Supply,Electrical distribution,No,0
59376141,SMOKE ISSUING FROM ELECTRICAL BOX,14/05/2014 16:13,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,,Park Hill School,,,Queens Road,KT2 7SH,Kingston upon Thames,Coombe Hill,Outer London,Faulty fuel supplies – Electricity,Office,,Faulty Appliance or Supply,Lighting,No,0
59718141,AFA ACTUATING,15/05/2014 12:07,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Harris Girls Academy,,,Homestall Road,SE22 0NR,Southwark,Peckham Rye,Inner London,Combustible articles too close to heat source (or fire),Other,classroom,Human Element,Other ignition source,No,0
60216141,FIRE IN TOILETS,16/05/2014 11:17,Primary Fire,Deliberate,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to room of origin,Langdon Park Secondary School,,,Bright Street,E14 0RZ,Tower Hamlets,Lansbury,Inner London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Smoking related,No,0
64267141,SIX PUMP FIRE,23/05/2014 11:26,Primary Fire,Accidental,Main branch/Jet (J),"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to room of origin,Wandle Valley School,,,Welbeck Road,SM5 1LW,Sutton,Wandle Valley,Outer London,Unsafe use of heat source - due to unsafe disposal,Other,Unoccupied area of school buildings,Human Element,Matches and Candles,No,0
70150141,AFA ACTUATING,05/06/2014 10:56,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Kings Oak Primary School,,,Dickerage Lane,KT3 3RZ,Kingston upon Thames,Norbiton,Outer London,Unsafe use of equipment or appliance (heat source),Kitchen,,Human Element,Kitchen appliances,No,0
76980141,SIX PUMP FIRE  TL X 1  HL X 1,17/06/2014 22:30,Primary Fire,Deliberate,Main branch/Jet (J),"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to 2 floors (not whole building),Christ's School,,,Queens Road,TW10 6HW,Richmond upon Thames,South Richmond,Outer London,Heat source and combustibles brought together deliberately,Roof,,Human Element,Other ignition source,No,0
77904141,SMOKE ISSUING,19/06/2014 18:34,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,,The Northcote Gardens,,,Salcott Road,SW11 6DQ,Wandsworth,Northcote,Inner London,Faulty fuel supplies – Electricity,Corridor/Hall,,Faulty Appliance or Supply,Lighting,No,0
78111141,FOUR PUMP FIRE,20/06/2014 06:34,Primary Fire,Accidental,Main branch/Jet (J),"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to room of origin,Rush Croft Sports College,,,Rushcroft Road,E4 8SG,Waltham Forest,Larkswood,Outer London,Fault in equipment or appliance,Store room,,Faulty Appliance or Supply,Audio-Visual,No,0
81166141,SMELL OF BURNING FROM ELECTRICITY CUPBOARD,25/06/2014 08:59,Primary Fire,Not Known,Burned out (Allowed to burn under control),None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Holy Family Catholic School & Sixth Form,,,Shernhall Street,E17 3EA,Waltham Forest,Wood Street,Outer London,"Overheating, unknown cause",Power house/Plant/Generator,,Faulty Appliance or Supply,Electrical distribution,No,0
81778141,TUMBLE DRYER ALIGHT,26/06/2014 11:42,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Carville Day Nursery,,,West Avenue Road,E17 9SF,Waltham Forest,Hoe Street,Outer London,"Overheating, unknown cause",Store room,,Faulty Appliance or Supply,White goods,No,0
84779141,FOUR PUMP FIRE,02/07/2014 09:21,Primary Fire,Deliberate,Main branch/Jet (J),"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to floor of origin (not whole building),Morpeth Secondary School,,,Portman Place,E2 0PX,Tower Hamlets,Bethnal Green,Inner London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Other ignition source,No,0
88683141,FIRE,09/07/2014 13:08,Primary Fire,Accidental,Removal from/of heat source,Small means,Secondary school,Education,Non Residential,Limited to room of origin,Trinity School,,,Heathway,RM10 7SJ,Barking and Dagenham,Heath,Outer London,Unsafe use of equipment or appliance (heat source),Kitchen,,Human Element,Cooker,No,0
91237141,SMOKE ISSUING,14/07/2014 10:57,Primary Fire,Accidental,CO2 (carbon dioxide),Portable extinguishers,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,Caretakers House,Hawkshead Road,NW10 9UR,Brent,Harlesden,Outer London,Faulty fuel supplies – Electricity,Utility room,,Faulty Appliance or Supply,Electrical distribution,No,0
96408141,COOKER ALIGHT,23/07/2014 09:54,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Pre School/nursery ,Education,Non Residential,Limited to room of origin,,,,Stephendale Road,SW6 2PR,Hammersmith and Fulham,Sands End,Inner London,Cooking – chip pan/deep fat fryer,Kitchen,,Human Element,Cooker,No,0
96432141,SMOKE ISSUING FROM ELECTRICS,23/07/2014 11:11,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Southwark Park Primary School,,,Galleywall Road,SE16 3PB,Southwark,South Bermondsey,Inner London,Faulty fuel supplies – Electricity,Utility room,,Faulty Appliance or Supply,Electrical distribution,No,0
101992141,AFA ACTUATING,02/08/2014 10:58,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,St. William of York School,,,Brockley Park,SE23 1PS,Lewisham,Crofton Park,Inner London,Combustible articles too close to heat source (or fire),Other,Classroom,Human Element,Cooker,No,0
103095141,SMOKE ISSUING FROM SHOP SIGN,04/08/2014 07:16,Primary Fire,Accidental,Dry powder (DP),Portable extinguishers,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Little Learners,,,Upminster Road,RM12 6PL,Havering,St. Andrew's,Outer London,"Overheating, unknown cause",Reception area,,Faulty Appliance or Supply,Electrical distribution,No,0
104884141,FOUR PUMP FIRE,07/08/2014 12:32,Primary Fire,Accidental,Main branch/Jet (J),"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to room of origin,Joseph Hood Primary,,,Whatley Avenue,SW20 9NS,Merton,Cannon Hill,Outer London,Fault in equipment or appliance,Kitchen,,Faulty Appliance or Supply,White goods,No,0
106713141,SMELLOF BURNING AND VISABLE SIGNS OF SMOULDERING IN ROOF,10/08/2014 13:23,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,St. Marys RC School,,,Glenure Road,SE9 1UF,Greenwich,Eltham North,Outer London,Natural occurrence,Roof,,Other,Other ignition source,No,0
110523141,FIRE,18/08/2014 06:36,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to item 1st ignited,Wembley High Technology College,,,East Lane,HA0 3NT,Brent,Northwick Park,Outer London,Faulty fuel supplies – Electricity,Office,,Faulty Appliance or Supply,Electrical distribution,No,0
110724141,AFA ACTUATING,18/08/2014 16:46,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Alleyns School,,,Townley Road,SE22 8SU,Southwark,Village,Inner London,Faulty fuel supplies – Electricity,Corridor/Hall,,Faulty Appliance or Supply,Lighting,No,0
116068141,FIRE ALL OUT - BRIGADE REQUIRED,30/08/2014 10:15,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to room of origin,Trust Plus,,,St. Pauls Way,E3 4FT,Tower Hamlets,Mile End,Inner London,Unsafe use of heat source - due to unsafe disposal,Other,classroom,Human Element,Other ignition source,Yes,1
125762141,SMELL OF BURNING FROM BOILER,19/09/2014 12:24,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,London Underground Ltd,,,Greenford Road,HA1 3QN,Harrow,Harrow on the Hill,Outer London,Faulty fuel supplies – Electricity,Utility room,,Faulty Appliance or Supply,Electrical distribution,No,0
130925141,AFA ACTUATING,29/09/2014 10:48,Primary Fire,Deliberate,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to room of origin,Chase Lane Primary School,,,York Road,E4 8LA,Waltham Forest,Valley,Outer London,Heat source and combustibles brought together deliberately,Cloakroom,,Human Element,Matches and Candles,No,0
131931141,AFA  ACTUATING,01/10/2014 13:30,Primary Fire,Deliberate,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Dagenham Park C of E School,,,School Road,RM10 9QH,Barking and Dagenham,River,Outer London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Smoking related,No,0
132310141,FIRE IN KITCHEN,02/10/2014 09:18,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,Comer Crescent,UB2 4XD,Ealing,Norwood Green,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
132573141,SMELL OF BURNING,02/10/2014 17:21,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,The Northcote Gardens,,,Salcott Road,SW11 6DQ,Wandsworth,Northcote,Inner London,Fault in equipment or appliance,Corridor/Hall,,Faulty Appliance or Supply,Electrical distribution,No,0
