 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Pro Class
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,36,172.5,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,37,169.11,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,38,168.53,FUEL,05/02/2015,,Regulatory Fire Safety,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,39,165.4,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,40,162.52,FUEL,05/02/2015,,Business Continuity,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,41,158.29,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,42,156.05,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,43,151.84,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,44,148.78,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,45,147.84,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,46,144.78,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,47,143.85,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,48,142.97,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,49,137.55,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,50,136.89,FUEL,05/02/2015,,Operational Resilience,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,51,131.42,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,52,127.83,FUEL,05/02/2015,,Technical And Service Support,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,53,127.13,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,54,124.68,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,55,122.8,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,56,122.18,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,57,117.89,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,58,116.14,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,59,114.56,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,60,110.98,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,61,102.93,FUEL,05/02/2015,,Operational Resilience,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,62,101.46,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,63,100.32,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,64,99.29,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,65,99.03,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,66,98.99,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,67,97.97,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,68,97.73,FUEL,05/02/2015,,Technical And Service Support,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,69,94.15,FUEL,05/02/2015,,Command Units,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,70,89.85,FUEL,05/02/2015,,Information and Communication Technology,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,71,88.43,FUEL,05/02/2015,,Command Units,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,72,87.66,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,73,87.35,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,74,85.76,FUEL,05/02/2015,,Operations Non Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,75,84.46,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,76,84.18,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,77,83.97,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,78,83.21,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,79,82.82,FUEL,05/02/2015,,LIFE - LFB Funded,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,80,82.23,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,81,78.99,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,82,78.46,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,83,77.96,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,84,76.67,FUEL,05/02/2015,,Command Units,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,85,76.16,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,86,65.22,FUEL,05/02/2015,,Command Units,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,87,64.95,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,88,61.92,FUEL,05/02/2015,,Command Units,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,89,60.79,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,90,58.34,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,91,57.91,FUEL,05/02/2015,,Operations Non Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,92,57.1,FUEL,05/02/2015,,Command Units,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,93,54.58,FUEL,05/02/2015,,Command Units,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,94,48.94,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,95,45.04,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,96,40.02,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,97,39.12,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,98,34.5,FUEL,05/02/2015,,Command Units,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,99,33.33,FUEL,05/02/2015,,Operational Procedures,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,100,29.63,FUEL,05/02/2015,,Operational Procedures,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,101,24.7,FUEL,05/02/2015,,Operations Fire Stations,Vehicle Management
800058018,ALLSTAR BUSINESS SOLUTIONS LTD,E2004181324,102,18.35,FUEL,05/02/2015,,CBRN RRT,Vehicle Management
140943,GOOD ENERGY===================,GE106451EA,1,688.5,ELECTRICITY,05/02/2015,688.5,Technical And Service Support,Utilities
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,1,93.3,UNIFORMS - POMS,05/02/2015,"2,453.20",Procurement,Clothing
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,2,94,UNIFORMS - POMS,05/02/2015,,Procurement,Clothing
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,3,85.8,UNIFORMS - POMS,05/02/2015,,Procurement,Clothing
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,4,312.5,UNIFORMS - POMS,05/02/2015,,Procurement,Clothing
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,5,178.6,UNIFORMS - POMS,05/02/2015,,Procurement,Clothing
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,6,178.6,UNIFORMS - POMS,05/02/2015,,Procurement,Clothing
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,7,314.5,UNIFORMS - POMS,05/02/2015,,Procurement,Clothing
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,8,179.6,UNIFORMS - POMS,05/02/2015,,Procurement,Clothing
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,9,329,UNIFORMS - POMS,05/02/2015,,Procurement,Clothing
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,10,326.5,UNIFORMS - POMS,05/02/2015,,Procurement,Clothing
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,11,95.1,UNIFORMS - POMS,05/02/2015,,Procurement,Clothing
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,12,86.8,UNIFORMS - POMS,05/02/2015,,Procurement,Clothing
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,13,86.8,UNIFORMS - POMS,05/02/2015,,Procurement,Clothing
260115G,THE WYEDEAN WEAVING COMPANY LD,I-14117,14,92.1,UNIFORMS - POMS,05/02/2015,,Procurement,Clothing
020215C,HALL FUELS,I07262237,1,892.11,FUEL,05/02/2015,892.11,Operations Fire Stations,Vehicle Management
020215C,HALL FUELS,I07265175,1,"1,839.40",FUEL,05/02/2015,"1,839.40",Operations Fire Stations,Vehicle Management
260115G,HALL FUELS,I07308752,1,"2,669.70",FUEL,05/02/2015,"2,669.70",Operations Fire Stations,Vehicle Management
220115E,HALL FUELS,I07312542,1,"2,225.50",FUEL,05/02/2015,"2,225.50",Operations Fire Stations,Vehicle Management
020215C,JACKSON LIFT GROUP============,JS399588,1,87.08,STRATEGIC (CYCLICAL),05/02/2015,"2,393.86",Technical And Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,2,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical And Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,3,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,4,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,5,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,6,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,7,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,8,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,9,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,10,43.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,11,43.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,12,109.17,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,13,109.17,STRATEGIC (CYCLICAL),05/02/2015,,Technical And Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,14,109.17,STRATEGIC (CYCLICAL),05/02/2015,,Technical And Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,15,109.17,STRATEGIC (CYCLICAL),05/02/2015,,Technical And Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,16,109.17,STRATEGIC (CYCLICAL),05/02/2015,,Technical And Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,17,109.17,STRATEGIC (CYCLICAL),05/02/2015,,Technical And Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,18,43.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical And Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,19,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,20,43.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,21,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,22,43.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,23,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,24,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,25,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,26,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,27,43.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,28,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
020215C,JACKSON LIFT GROUP============,JS399588,29,87.08,STRATEGIC (CYCLICAL),05/02/2015,,Technical and Service Support,Facilities & Management S
300115C,COFELY WORKPLACE LIMITED,M133448,1,421.94,TACTICAL DAY TO DAY,05/02/2015,"19,166.81",Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,2,26.51,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,3,228.8,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,4,459.04,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,5,35.37,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,6,327.16,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,7,245.5,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,8,"1,143.09",TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,9,445.19,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,10,408.38,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,11,339.52,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,12,126.09,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,13,"1,133.74",TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,14,447.65,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,15,612.27,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,16,305.59,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,17,599.57,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,18,281.07,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,19,65.71,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,20,716.59,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,21,235.74,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,22,293.13,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,23,223.95,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,24,86.04,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,25,"1,121.28",TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,26,12.87,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,27,33.14,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,28,911.4,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,29,349.17,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,30,79.53,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,31,47.16,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,32,35.37,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,33,431.77,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,34,78.9,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,35,852.5,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,36,534.68,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,37,58.95,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,38,45.04,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,39,120.02,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,40,264.4,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,41,46.39,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,42,837.06,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,43,192.97,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,44,352,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,45,178.68,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,46,579.53,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,47,124.5,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,48,"1,371.77",TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,49,286,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,50,470.38,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,51,269.87,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133448,52,273.84,TACTICAL DAY TO DAY,05/02/2015,,Technical And Service Support,"Works - Construction, R&M"
260115G,COFELY WORKPLACE LIMITED,M133750,1,"1,050.85",STRATEGIC (NON CYCLICAL),05/02/2015,"1,050.85",Technical and Service Support,"Works - Construction, R&M"
300115C,COFELY WORKPLACE LIMITED,M133751,1,"1,953.33",TACTICAL DAY TO DAY,05/02/2015,"1,953.33",Technical And Service Support,"Works - Construction, R&M"
260115G,COFELY WORKPLACE LIMITED,M133752,1,"1,754.85",STRATEGIC (NON CYCLICAL),05/02/2015,"2,004.35",Technical and Service Support,"Works - Construction, R&M"
260115G,COFELY WORKPLACE LIMITED,M133752,2,249.5,STRATEGIC (NON CYCLICAL),05/02/2015,,Technical and Service Support,"Works - Construction, R&M"
260115G,COFELY WORKPLACE LIMITED,M133753,1,"4,163.30",STRATEGIC (NON CYCLICAL),05/02/2015,"4,163.30",Technical and Service Support,"Works - Construction, R&M"
300115C,CANNON'S MSA LTD,NV1081548,1,299.97,TACTICAL DAY TO DAY,05/02/2015,299.97,Technical And Service Support,Vehicle Management
020215C,PHOENIX SOFTWARE LTD==========,OP/I745335,1,"9,880.00",MAINTENANCE & SUPPORT,05/02/2015,"15,776.80",Information and Communication Technology,ICT
020215C,PHOENIX SOFTWARE LTD==========,OP/I745335,2,"4,936.80",MAINTENANCE & SUPPORT,05/02/2015,,Information and Communication Technology,ICT
020215C,PHOENIX SOFTWARE LTD==========,OP/I745335,3,960,MAINTENANCE & SUPPORT,05/02/2015,,Information and Communication Technology,ICT
140943,VEOLIA WATER PROJECTS LTD=====,SI-14-0008453,1,"4,595.67",ELECTRICITY,05/02/2015,"4,595.67",Technical And Service Support,Utilities
290115C,SPEAKERS TRUST,WEB004261,1,275,PROFESSIONAL DEVELOPMENT,05/02/2015,550,LIFE - LFB Funded,Human Resources
290115C,SPEAKERS TRUST,WEB004261,2,275,PROFESSIONAL DEVELOPMENT,05/02/2015,,LIFE - LFB Funded,Human Resources
040215G,UKDN WATERFLOW BEXLEYHEATH,1717,1,480,TACTICAL DAY TO DAY,09/02/2015,480,Technical And Service Support,"Works - Construction, R&M"
030215E,MOOLANDS LTD,1730,1,"1,645.00",STRATEGIC (NON CYCLICAL),09/02/2015,"1,645.00",Technical And Service Support,"Works - Construction, R&M"
800053521,AZTEC COMPUTING LTD===========,10458,1,"1,400.00",MAINTENANCE & SUPPORT,09/02/2015,"1,400.00",Information and Communication Technology,ICT
040215G,VISTA LANDSCAPE MANAGEMENT LTD,120460,1,144.25,GROUNDS MAINTENANCE,09/02/2015,"2,955.91",Technical And Service Support,"Works - Construction, R&M"
040215G,VISTA LANDSCAPE MANAGEMENT LTD,120460,2,26.71,GROUNDS MAINTENANCE,09/02/2015,,Technical And Service Support,"Works - Construction, R&M"
040215G,VISTA LANDSCAPE MANAGEMENT LTD,120460,3,29.23,GROUNDS MAINTENANCE,09/02/2015,,Technical And Service Support,"Works - Construction, R&M"
040215G,VISTA LANDSCAPE MANAGEMENT LTD,120460,4,32.26,GROUNDS MAINTENANCE,09/02/2015,,Technical And Service Support,"Works - Construction, R&M"
040215G,VISTA LANDSCAPE MANAGEMENT LTD,120460,5,113.22,GROUNDS MAINTENANCE,09/02/2015,,Technical And Service Support,"Works - Construction, R&M"
040215G,VISTA LANDSCAPE MANAGEMENT LTD,120460,6,25.42,GROUNDS MAINTENANCE,09/02/2015,,Technical And Service Support,"Works - Construction, R&M"
040215G,VISTA LANDSCAPE MANAGEMENT LTD,120460,7,33.14,GROUNDS MAINTENANCE,09/02/2015,,Technical And Service Support,"Works - Construction, R&M"
040215G,VISTA LANDSCAPE MANAGEMENT LTD,120460,8,26.46,GROUNDS MAINTENANCE,09/02/2015,,Technical And Service Support,"Works - Construction, R&M"
